attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Id,Khóa đại diện cho công ty chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate.,,
Securities Company Code,Mã định danh công ty chứng khoán. Map từ PK bảng nguồn.,Text,false,false,draft,FIMS.SECURITIESCOMPANY.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FIMS.SECURITIESCOMPANY,
Geographic Area Id,FK đến quốc gia của công ty chứng khoán.,Surrogate Key,true,false,draft,FIMS.SECURITIESCOMPANY.NaId,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL.,,
Geographic Area Code,Mã quốc gia.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.NaId,FK target: Geographic Area.Geographic Area Code. Pair with Geographic Area Id.,,
Full Name,Tên công ty chứng khoán.,Text,false,false,draft,FIMS.SECURITIESCOMPANY.Name,,,
English Name,Tên tiếng Anh.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.EName,,,
Abbreviation,Tên viết tắt.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.ShortName,,,
Charter Capital Amount,Vốn điều lệ (VNĐ).,Currency Amount,true,false,draft,FIMS.SECURITIESCOMPANY.Capital,,,
Life Cycle Status Code,Trạng thái hoạt động. ID lấy từ bảng STATUS.,Classification Value,true,false,draft,FIMS.SECURITIESCOMPANY.StatusId,Scheme: LIFE_CYCLE_STATUS.,,
Director Name,Tên Tổng giám đốc (denormalized).,Text,true,false,draft,FIMS.SECURITIESCOMPANY.Director,Denormalized snapshot — không dùng để join.,,
Depository Certificate Number,Chứng nhận lưu ký.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.DepCert,,,
Business Type Codes,"Danh sách mã nghiệp vụ kinh doanh. Từ bảng junction SECCOMBUSINES.",Array<Text>,true,false,draft,FIMS.SECCOMBUSINES.BuId,"Pure junction SECCOMBUSINES → denormalize thành ARRAY. Scheme: FIMS_BUSINESS_TYPE. HLD decision: FIMS_HLD_Tier1.md.",,
Company Type Codes,"Danh sách mã loại hình doanh nghiệp. Từ bảng junction SECCOMTYPE.",Array<Text>,true,false,draft,FIMS.SECCOMTYPE.CompTypeId,"Pure junction SECCOMTYPE → denormalize thành ARRAY. Scheme: FIMS_COMPANY_TYPE. HLD decision: FIMS_HLD_Tier1.md.",,
Description,Ghi chú.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.Description,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.SECURITIESCOMPANY.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.SECURITIESCOMPANY.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.SECURITIESCOMPANY.DateModified,,,
