attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Foreign Fund Management Organization Unit Id,Khóa đại diện cho VPĐD/CN công ty QLQ nước ngoài tại VN.,Surrogate Key,false,true,draft,,PK surrogate.,,
Foreign Fund Management Organization Unit Code,Mã định danh VPĐD/CN QLQ NN. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.FORBRCH.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.FORBRCH,
Foreign Fund Management Organization Unit Name,Tên VPĐD/CN công ty QLQ nước ngoài tại VN.,Text,false,false,draft,FMS.FORBRCH.Name,,,
Foreign Fund Management Organization Unit English Name,Tên tiếng Anh VPĐD/CN.,Text,true,false,draft,FMS.FORBRCH.EnName,,,
Practice Status Code,Trạng thái hoạt động.,Classification Value,true,false,draft,FMS.FORBRCH.Status,Scheme: FMS_OPERATION_STATUS.,,
End Date,Ngày chấm dứt hoạt động.,Date,true,false,draft,FMS.FORBRCH.EndDate,,,
Change License Number,Số giấy phép điều chỉnh gần nhất.,Text,true,false,draft,FMS.FORBRCH.ChangeLicense,Denormalized — map vào IP Alt Identification.,,
Change License Date,Ngày cấp giấy phép điều chỉnh.,Date,true,false,draft,FMS.FORBRCH.ChangeLicenseDate,Denormalized — map vào IP Alt Identification.,,
Change Note,Nội dung thay đổi theo giấy phép điều chỉnh.,Text,true,false,draft,FMS.FORBRCH.ChangeNote,,,
Business Type Codes,Danh sách mã ngành nghề kinh doanh.,Array<Text>,true,false,draft,FMS.FGBUSINESS.BuId,"Pure junction FGBUSINESS → denormalize thành ARRAY. HLD decision: FMS_HLD_Tier2.md.",,
Created By,Người tạo bản ghi.,Text,true,false,draft,FMS.FORBRCH.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.FORBRCH.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.FORBRCH.DateModified,,,
