attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Discretionary Investment Investor Id,Khóa đại diện cho nhà đầu tư ủy thác.,Surrogate Key,false,true,draft,,PK surrogate.,,
Discretionary Investment Investor Code,Mã định danh nhà đầu tư ủy thác. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.INVES.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.INVES,
Investor Name,Tên nhà đầu tư ủy thác (cá nhân hoặc tổ chức).,Text,false,false,draft,FMS.INVES.Name,,,
Dorf Indicator,Loại hình trong/ngoài nước. 1=Trong nước; 0=Nước ngoài.,Indicator,true,false,draft,FMS.INVES.Dorf,,,
Nationality Code,Quốc tịch nhà đầu tư.,Classification Value,true,false,draft,FMS.INVES.NatId,Scheme: FMS_NATIONAL.,,
Stockholder Type Code,Loại hình nhà đầu tư/cổ đông.,Classification Value,true,false,draft,FMS.INVES.StoId,Scheme: FMS_STOCKHOLDER_TYPE.,,
Relationship Type Code,Mối quan hệ cổ đông với tổ chức liên quan.,Classification Value,true,false,draft,FMS.INVES.RelationShip,Scheme: FMS_RELATION_TYPE.,,
Fund Management Company Id,FK đến công ty QLQ đang nhận ủy thác.,Surrogate Key,true,false,draft,FMS.INVES.SecId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ đang nhận ủy thác.,Text,true,false,draft,FMS.INVES.SecId,FK target: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FMS.INVES.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.INVES.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.INVES.DateModified,,,
