attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Member Periodic Report Id,Khóa đại diện cho báo cáo định kỳ thành viên.,Surrogate Key,false,true,draft,,PK surrogate.,,
Member Periodic Report Code,Mã định danh báo cáo. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.RPTMEMBER.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.RPTMEMBER,
Fund Management Company Id,FK đến công ty QLQ nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTMEMBER.SecId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ.,Text,true,false,draft,FMS.RPTMEMBER.SecId,FK target: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Investment Fund Id,FK đến quỹ đầu tư nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTMEMBER.FndId,FK target: Investment Fund.Investment Fund Id.,,
Investment Fund Code,Mã quỹ đầu tư.,Text,true,false,draft,FMS.RPTMEMBER.FndId,FK target: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,,
Custodian Bank Id,FK đến ngân hàng LKGS nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTMEMBER.BkMId,FK target: Custodian Bank.Custodian Bank Id.,,
Custodian Bank Code,Mã ngân hàng LKGS.,Text,true,false,draft,FMS.RPTMEMBER.BkMId,FK target: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id.,,
Foreign Fund Management Organization Unit Id,FK đến VPĐD/CN QLQ NN nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTMEMBER.FrBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id.,,
Foreign Fund Management Organization Unit Code,Mã VPĐD/CN QLQ NN.,Text,true,false,draft,FMS.RPTMEMBER.FrBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id.,,
Report Template Id,FK đến biểu mẫu báo cáo.,Surrogate Key,true,false,draft,FMS.RPTMEMBER.RptId,FK target: Report Template.Report Template Id.,,
Report Template Code,Mã biểu mẫu báo cáo.,Text,true,false,draft,FMS.RPTMEMBER.RptId,FK target: Report Template.Report Template Code. Pair with Report Template Id.,,
Reporting Period Id,FK đến kỳ báo cáo.,Surrogate Key,false,false,draft,FMS.RPTMEMBER.PrdId,FK target: Reporting Period.Reporting Period Id.,,
Reporting Period Code,Mã kỳ báo cáo.,Text,false,false,draft,FMS.RPTMEMBER.PrdId,FK target: Reporting Period.Reporting Period Code. Pair with Reporting Period Id.,,
Is Import Indicator,Là báo cáo có import: 1-Có; 2-Không.,Indicator,true,false,draft,FMS.RPTMEMBER.IsImport,,,
Report Name,Tên báo cáo.,Text,true,false,draft,FMS.RPTMEMBER.RptName,,,
Content Summary,Tóm tắt nội dung báo cáo.,Text,true,false,draft,FMS.RPTMEMBER.ContentSummary,,,
Report Type Code,Loại báo cáo: định kỳ hoặc bất thường.,Classification Value,true,false,draft,FMS.RPTMEMBER.ReportType,Scheme: FMS_REPORT_TYPE.,,
Reporting Member Type Code,Loại thành viên nộp báo cáo.,Classification Value,true,false,draft,FMS.RPTMEMBER.Type,Scheme: FMS_REPORTING_MEMBER_TYPE.,,
Reporting Period Type Code,Kiểu kỳ báo cáo (tháng/quý/năm).,Classification Value,true,false,draft,FMS.RPTMEMBER.PeriodType,Scheme: FMS_REPORTING_PERIOD_TYPE.,,
Year Value,Năm báo cáo.,Text,true,false,draft,FMS.RPTMEMBER.YearValue,,,
Day Report,Ngày trong kỳ báo cáo.,Small Counter,true,false,draft,FMS.RPTMEMBER.DayReport,,,
Submission Deadline Date,Thời hạn nộp báo cáo.,Date,true,false,draft,FMS.RPTMEMBER.DeadlineSend,,,
Submission Date,Ngày nộp báo cáo thực tế.,Date,true,false,draft,FMS.RPTMEMBER.DateSubmitted,,,
Report Submission Status Code,Trạng thái nộp báo cáo.,Classification Value,true,false,draft,FMS.RPTMEMBER.Status,Scheme: FMS_REPORT_SUBMISSION_STATUS.,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FMS.RPTMEMBER.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.RPTMEMBER.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.RPTMEMBER.DateModified,,,
