attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Member Report Value Id,Khóa đại diện cho giá trị chỉ tiêu trong báo cáo thành viên.,Surrogate Key,false,true,draft,,PK surrogate.,,
Member Report Value Code,Mã định danh giá trị chỉ tiêu. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.RPTVALUES.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.RPTVALUES,
Member Periodic Report Id,FK đến báo cáo định kỳ thành viên.,Surrogate Key,false,false,draft,FMS.RPTVALUES.MebId,FK target: Member Periodic Report.Member Periodic Report Id.,,
Member Periodic Report Code,Mã báo cáo định kỳ.,Text,false,false,draft,FMS.RPTVALUES.MebId,FK target: Member Periodic Report.Member Periodic Report Code. Pair with Member Periodic Report Id.,,
Fund Management Company Id,FK đến công ty QLQ nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTVALUES.SecId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ.,Text,true,false,draft,FMS.RPTVALUES.SecId,FK target: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Investment Fund Id,FK đến quỹ đầu tư nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTVALUES.FndId,FK target: Investment Fund.Investment Fund Id.,,
Investment Fund Code,Mã quỹ đầu tư.,Text,true,false,draft,FMS.RPTVALUES.FndId,FK target: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,,
Custodian Bank Id,FK đến ngân hàng LKGS nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTVALUES.BkMId,FK target: Custodian Bank.Custodian Bank Id.,,
Custodian Bank Code,Mã ngân hàng LKGS.,Text,true,false,draft,FMS.RPTVALUES.BkMId,FK target: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id.,,
Foreign Fund Management Organization Unit Id,FK đến VPĐD/CN QLQ NN nộp báo cáo (nullable).,Surrogate Key,true,false,draft,FMS.RPTVALUES.FrBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id.,,
Foreign Fund Management Organization Unit Code,Mã VPĐD/CN QLQ NN.,Text,true,false,draft,FMS.RPTVALUES.FrBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id.,,
Reporting Period Id,FK đến kỳ báo cáo.,Surrogate Key,true,false,draft,FMS.RPTVALUES.PrdId,FK target: Reporting Period.Reporting Period Id.,,
Reporting Period Code,Mã kỳ báo cáo.,Text,true,false,draft,FMS.RPTVALUES.PrdId,FK target: Reporting Period.Reporting Period Code. Pair with Reporting Period Id.,,
Report Sheet Id,Mã trang/sheet trong biểu mẫu báo cáo.,Text,true,false,draft,FMS.RPTVALUES.SheetId,Định danh trang biểu mẫu — denormalized.,,
Report Target Id,Mã chỉ tiêu trong sheet báo cáo.,Text,true,false,draft,FMS.RPTVALUES.TgtId,Định danh chỉ tiêu — denormalized.,,
Report Id,Mã biểu mẫu báo cáo.,Text,true,false,draft,FMS.RPTVALUES.RptId,Định danh biểu mẫu — denormalized.,,
Value,Giá trị chỉ tiêu (text để chứa mọi kiểu dữ liệu).,Text,true,false,draft,FMS.RPTVALUES.Values,,,
Accumulated Value,Giá trị lũy kế của chỉ tiêu.,Text,true,false,draft,FMS.RPTVALUES.AccValues,,,
Format Data Type Code,Kiểu dữ liệu định dạng của chỉ tiêu.,Classification Value,true,false,draft,FMS.RPTVALUES.FormatDataType,Scheme: FMS_CELL_DATA_TYPE.,,
Is Dynamic Indicator,Cờ đánh dấu chỉ tiêu động (người dùng tự thêm).,Indicator,true,false,draft,FMS.RPTVALUES.IsDynamic,,,
Reporting Period Type Code,Kiểu kỳ báo cáo (tháng/quý/năm).,Classification Value,true,false,draft,FMS.RPTVALUES.PeriodType,Scheme: FMS_REPORTING_PERIOD_TYPE.,,
Value Type Code,Loại giá trị trong báo cáo.,Classification Value,true,false,draft,FMS.RPTVALUES.Type,Scheme: FMS_REPORT_VALUE_TYPE.,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FMS.RPTVALUES.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Modified By,Người cập nhật bản ghi lần cuối.,Text,true,false,draft,FMS.RPTVALUES.ModifyBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.RPTVALUES.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.RPTVALUES.DateModified,,,
