attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Foreign Fund Management Organization Unit Staff Id,Khóa đại diện cho nhân sự tại VPĐD/CN QLQ nước ngoài.,Surrogate Key,false,true,draft,,PK surrogate.,,
Foreign Fund Management Organization Unit Staff Code,Mã định danh nhân sự VPĐD/CN QLQ NN. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.STFFGBRCH.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.STFFGBRCH,
Foreign Fund Management Organization Unit Id,FK đến VPĐD/CN QLQ nước ngoài.,Surrogate Key,false,false,draft,FMS.STFFGBRCH.FgBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id.,,
Foreign Fund Management Organization Unit Code,Mã VPĐD/CN QLQ nước ngoài.,Text,false,false,draft,FMS.STFFGBRCH.FgBrId,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id.,,
Fund Management Company Key Person Id,FK đến nhân sự giữ vai trò tại VPĐD/CN QLQ NN.,Surrogate Key,false,false,draft,FMS.STFFGBRCH.TLId,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id.,,
Fund Management Company Key Person Code,Mã nhân sự.,Text,false,false,draft,FMS.STFFGBRCH.TLId,FK target: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Fund Management Company Key Person Id.,,
Organization Unit Type Code,Loại đơn vị: VPĐD hoặc CN NN.,Classification Value,true,false,draft,FMS.STFFGBRCH.FnType,Scheme: FMS_FOREIGN_OU_TYPE.,,
Is Legal Representative Indicator,Cờ đánh dấu người đại diện pháp luật tại VPĐD/CN.,Indicator,true,false,draft,FMS.STFFGBRCH.Isr,,,
Is Disclosure Representative Indicator,Cờ đánh dấu đại diện công bố thông tin.,Indicator,true,false,draft,FMS.STFFGBRCH.Isp,,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.STFFGBRCH.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.STFFGBRCH.DateModified,,,
