attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Fund Management Conduct Violation Id,Khóa đại diện cho hành vi vi phạm quản lý quỹ.,Surrogate Key,false,true,draft,,PK surrogate.,,
Fund Management Conduct Violation Code,Mã định danh vi phạm. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.VIOLT.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=FMS.VIOLT,
Fund Management Company Id,FK đến công ty QLQ vi phạm (nullable).,Surrogate Key,true,false,draft,FMS.VIOLT.SecId,FK target: Fund Management Company.Fund Management Company Id.,,
Fund Management Company Code,Mã công ty QLQ.,Text,true,false,draft,FMS.VIOLT.SecId,FK target: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,,
Investment Fund Id,FK đến quỹ đầu tư liên quan vi phạm (nullable).,Surrogate Key,true,false,draft,FMS.VIOLT.FndId,FK target: Investment Fund.Investment Fund Id.,,
Investment Fund Code,Mã quỹ đầu tư.,Text,true,false,draft,FMS.VIOLT.FndId,FK target: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,,
Violation Type Code,Loại vi phạm.,Classification Value,true,false,draft,FMS.VIOLT.ViolType,Scheme: FMS_VIOLATION_TYPE.,,
Violation Content,Nội dung mô tả vi phạm.,Text,true,false,draft,FMS.VIOLT.ViolContent,,,
Violation Date,Ngày xác định vi phạm.,Date,true,false,draft,FMS.VIOLT.ViolDate,,,
Violation Status Code,Trạng thái xử lý vi phạm.,Classification Value,true,false,draft,FMS.VIOLT.ViolStatus,Scheme: FMS_VIOLATION_STATUS.,,
Note,Ghi chú bổ sung về vi phạm.,Text,true,false,draft,FMS.VIOLT.Note,,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FMS.VIOLT.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FMS.VIOLT.DateModified,,,
