attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Audit Firm Legal Representative Id,Khóa đại diện cho người đại diện pháp luật của công ty kiểm toán.,Surrogate Key,false,true,draft,,PK surrogate.,,
Audit Firm Legal Representative Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.af_legal_representative.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.af_legal_representative,
Audit Firm Id,FK đến công ty kiểm toán.,Surrogate Key,false,false,draft,IDS.af_legal_representative.af_profile_id,FK target: Audit Firm.Audit Firm Id.,,
Audit Firm Code,Mã công ty kiểm toán.,Text,false,false,draft,IDS.af_legal_representative.af_profile_id,FK target: Audit Firm.Audit Firm Code. Pair with Audit Firm Id.,,
Full Name,Họ tên người đại diện pháp luật.,Text,true,false,draft,IDS.af_legal_representative.full_name,,,
Position Title Code,Chức vụ.,Classification Value,true,false,draft,IDS.af_legal_representative.position_title_cd,Scheme: IDS_AF_POSITION_TITLE. Dùng chung với af_auditor_approval.,IDS_AF_POSITION_TITLE,
Appointment Start Date,Ngày bổ nhiệm.,Date,true,false,draft,IDS.af_legal_representative.appointment_start_date,,,
Appointment End Date,Ngày kết thúc nhiệm kỳ.,Date,true,false,draft,IDS.af_legal_representative.appointment_end_date,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.af_legal_representative.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.af_legal_representative.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.af_legal_representative.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.af_legal_representative.last_updated_date,,,
