attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Audit Firm Warning Id,Khóa đại diện cho nhắc nhở công ty kiểm toán/kiểm toán viên.,Surrogate Key,false,true,draft,,PK surrogate.,,
Audit Firm Warning Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.af_warning.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.af_warning,
Audit Firm Approval Id,FK đến hồ sơ chấp thuận công ty kiểm toán (nullable khi đối tượng là KTV).,Surrogate Key,true,false,draft,IDS.af_warning.af_approval_id,FK target: Audit Firm Approval.Audit Firm Approval Id. Nullable — NULL khi warning_target_type_code = kiểm toán viên.,,
Audit Firm Approval Code,Mã hồ sơ chấp thuận công ty kiểm toán.,Text,true,false,draft,IDS.af_warning.af_approval_id,FK target: Audit Firm Approval.Audit Firm Approval Code. Pair with Audit Firm Approval Id.,,
Auditor Approval Id,FK đến hồ sơ chấp thuận kiểm toán viên (nullable khi đối tượng là công ty KT).,Surrogate Key,true,false,draft,IDS.af_warning.af_auditor_approval_id,FK target: Auditor Approval.Auditor Approval Id. Nullable — NULL khi warning_target_type_code = công ty kiểm toán.,,
Auditor Approval Code,Mã hồ sơ chấp thuận kiểm toán viên.,Text,true,false,draft,IDS.af_warning.af_auditor_approval_id,FK target: Auditor Approval.Auditor Approval Code. Pair with Auditor Approval Id.,,
Warning Target Type Code,Đối tượng nhắc nhở (công ty kiểm toán hay kiểm toán viên).,Classification Value,true,false,draft,IDS.af_warning.warning_target_type_cd,Scheme: IDS_WARNING_TARGET_TYPE.,IDS_WARNING_TARGET_TYPE,
Warning Source Type Code,Cơ quan nhắc nhở (BTC hay UBCKNN).,Classification Value,true,false,draft,IDS.af_warning.warning_source_type_cd,Scheme: IDS_WARNING_SOURCE_TYPE.,IDS_WARNING_SOURCE_TYPE,
Warning Document Number,Số văn bản quyết định nhắc nhở.,Text,true,false,draft,IDS.af_warning.warning_doc_no,,,
Warning Issue Date,Ngày ban hành văn bản nhắc nhở.,Date,true,false,draft,IDS.af_warning.warning_issue_date,,,
Warning Start Date,Ngày bắt đầu hiệu lực nhắc nhở.,Date,true,false,draft,IDS.af_warning.warning_start_date,,,
Warning End Date,Ngày kết thúc hiệu lực nhắc nhở.,Date,true,false,draft,IDS.af_warning.warning_end_date,,,
Warning Content,Nội dung quyết định nhắc nhở.,Text,true,false,draft,IDS.af_warning.warning_content,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.af_warning.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.af_warning.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.af_warning.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.af_warning.last_updated_date,,,
