attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Public Company Inspection Id,Khóa đại diện cho bản ghi thanh tra/kiểm tra công ty đại chúng.,Surrogate Key,false,true,draft,,PK surrogate.,,
Public Company Inspection Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.company_inspection.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.company_inspection,
Public Company Id,FK đến công ty đại chúng.,Surrogate Key,false,false,draft,IDS.company_inspection.company_profile_id,FK target: Public Company.Public Company Id.,,
Public Company Code,Mã công ty đại chúng.,Text,false,false,draft,IDS.company_inspection.company_profile_id,FK target: Public Company.Public Company Code. Pair with Public Company Id.,,
Inspection Type Code,Loại thanh tra/kiểm tra.,Classification Value,true,false,draft,IDS.company_inspection.inspection_type_cd,Scheme: IDS_INSPECTION_TYPE.,IDS_INSPECTION_TYPE,
Decision Number,Số quyết định thanh tra/kiểm tra.,Text,true,false,draft,IDS.company_inspection.decision_no,,,
Decision Date,Ngày quyết định.,Date,true,false,draft,IDS.company_inspection.decision_date,,,
Inspection Period,Thời kỳ thanh tra/kiểm tra.,Text,true,false,draft,IDS.company_inspection.inspection_period,Text tự do — nguồn mô tả dạng chuỗi (VD ""2020-2022"").,,
Inspection Date,Thời gian thanh tra/kiểm tra.,Date,true,false,draft,IDS.company_inspection.inspection_date,,,
Inspection Mode Code,Thanh tra định kỳ/bất thường.,Classification Value,true,false,draft,IDS.company_inspection.inspection_mode_cd,Scheme: IDS_INSPECTION_MODE.,IDS_INSPECTION_MODE,
Inspection Scope,Nội dung kiểm tra/thanh tra.,Text,true,false,draft,IDS.company_inspection.inspection_scope,,,
Lead Inspection Unit Name,Đơn vị chủ trì kiểm tra/thanh tra (tiếng Việt).,Text,true,false,draft,IDS.company_inspection.lead_inspection_unit_vi,Text denormalized — đơn vị chủ trì không có FK đến shared Regulatory Authority Organization Unit trong scope IDS.,,
Lead Inspection Unit English Name,Đơn vị chủ trì kiểm tra/thanh tra (tiếng Anh).,Text,true,false,draft,IDS.company_inspection.lead_inspection_unit_en,Text denormalized.,,
Inspection Minutes Name,Tên biên bản kiểm tra/thanh tra.,Text,true,false,draft,IDS.company_inspection.inspection_minutes_name,,,
Inspection File Url,Đường dẫn biên bản kiểm tra/thanh tra.,Text,true,false,draft,IDS.company_inspection.inspection_file_url,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.company_inspection.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.company_inspection.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.company_inspection.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.company_inspection.last_updated_date,,,
