attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Disclosure Form Definition Id,Khóa đại diện cho định nghĩa loại hồ sơ/tin CBTT.,Surrogate Key,false,true,draft,,PK surrogate.,,
Disclosure Form Definition Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.forms.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.forms,
Disclosure Form Definition Business Code,Mã form (mã nghiệp vụ).,Text,true,false,draft,IDS.forms.form_cd,Mã nghiệp vụ — khác BK kỹ thuật.,,
Disclosure Form Definition Name,Tên form (tiếng Việt).,Text,true,false,draft,IDS.forms.form_name_vi,,,
Disclosure Form Definition English Name,Tên form (tiếng Anh).,Text,true,false,draft,IDS.forms.form_name_en,,,
Form Type Code,"Loại tin hay hồ sơ (hồ sơ, cbtt).",Classification Value,true,false,draft,IDS.forms.form_type_cd,Scheme: IDS_FORM_TYPE.,IDS_FORM_TYPE,
News Type Code,Loại tin gốc.,Classification Value,true,false,draft,IDS.forms.news_type_cd,Scheme: IDS_NEWS_TYPE. Dùng chung với notifications.news_type_cd.,IDS_NEWS_TYPE,
Sub News Type Code,Loại tin con.,Classification Value,true,false,draft,IDS.forms.sub_news_type_cd,Scheme: IDS_SUB_NEWS_TYPE.,IDS_SUB_NEWS_TYPE,
Officer Approval Flag,Chuyên viên tự động duyệt (1=đã duyệt / 0=chưa duyệt).,Boolean,true,false,draft,IDS.forms.officer_approval_flg,,,
Post Checked Flag,Hậu kiểm tin (1=đã kiểm tra / 0=chưa kiểm tra).,Boolean,true,false,draft,IDS.forms.post_checked_flg,,,
Activated Flag,Kích hoạt (1=đã kích hoạt / 0=chưa kích hoạt).,Boolean,true,false,draft,IDS.forms.activated_flg,,,
CA Signed Flag,"Ký CA (chứng thư số): 0=bắt buộc / 1=không bắt buộc.",Boolean,true,false,draft,IDS.forms.ca_signed_flg,,,
Leader Approval Flag,Form tự động duyệt cấp lãnh đạo (1=đã duyệt / 0=chưa duyệt).,Boolean,true,false,draft,IDS.forms.leader_approval_flg,,,
Published Flag,Form được công bố (1=được công bố / 0=chưa công bố).,Boolean,true,false,draft,IDS.forms.published_flg,,,
Title Formula,Công thức cho tiêu đề form tin.,Text,true,false,draft,IDS.forms.title_formula,,,
Parent Disclosure Form Definition Id,FK đến form cha (self-join).,Surrogate Key,true,false,draft,IDS.forms.parent_id,FK target: Disclosure Form Definition.Disclosure Form Definition Id. Self-join.,,
Parent Disclosure Form Definition Code,Mã form cha.,Text,true,false,draft,IDS.forms.parent_id,FK target: Disclosure Form Definition.Disclosure Form Definition Code. Pair with Parent Disclosure Form Definition Id. Self-join.,,
Report Type,"Loại báo cáo (tháng, quý, năm, bán niên...).",Text,true,false,draft,IDS.forms.report_type,Text denormalized — không có scheme tài liệu hóa.,,
Control Unit Code,Đơn vị kiểm soát (Dept_cd của bảng departments).,Text,true,false,draft,IDS.forms.control_unit_cd,Denormalized text — departments out-of-scope theo HLD; FK Regulatory Authority Organization Unit không có lookup trong IDS scope.,,
Operating Unit Codes,"Đơn vị sử dụng (nhiều đơn vị cách nhau bằng "";"" Dept_cd của bảng departments).",Text,true,false,draft,IDS.forms.operating_unit_cd,Denormalized text — multi-value chuỗi delimited; departments out-of-scope.,,
Created User,User khi tạo hồ sơ thuộc (ny/tv).,Text,true,false,draft,IDS.forms.created_user,Text tự do từ nguồn.,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.forms.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.forms.created_at,Nguồn dùng tên cột created_at (khác các bảng khác dùng created_date).,,
Created Date,Ngày tạo (legacy field).,Timestamp,true,false,draft,IDS.forms.created_date,Nguồn có cả created_at lẫn created_date — giữ cả hai.,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.forms.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.forms.last_updated_date,,,
