attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Stock Holder Relationship Id,Khóa đại diện cho quan hệ giữa 2 cổ đông.,Surrogate Key,false,true,draft,,PK surrogate.,,
Stock Holder Relationship Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.holder_relationship.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.holder_relationship,
Stock Holder Id,FK đến cổ đông chính.,Surrogate Key,false,false,draft,IDS.holder_relationship.stock_holder_id,FK target: Stock Holder.Stock Holder Id.,,
Stock Holder Code,Mã cổ đông chính.,Text,false,false,draft,IDS.holder_relationship.stock_holder_id,FK target: Stock Holder.Stock Holder Code. Pair with Stock Holder Id.,,
Related Stock Holder Id,FK đến cổ đông liên quan.,Surrogate Key,false,false,draft,IDS.holder_relationship.related_holder_id,FK target: Stock Holder.Stock Holder Id. Cặp FK thứ 2.,,
Related Stock Holder Code,Mã cổ đông liên quan.,Text,false,false,draft,IDS.holder_relationship.related_holder_id,FK target: Stock Holder.Stock Holder Code. Pair with Related Stock Holder Id.,,
Relationship Type Code,Loại quan hệ giữa 2 cổ đông.,Classification Value,true,false,draft,IDS.holder_relationship.relationship_type_cd,Scheme: IDS_HOLDER_RELATIONSHIP_TYPE.,IDS_HOLDER_RELATIONSHIP_TYPE,
Effective Date,Ngày hiệu lực quan hệ.,Date,true,false,draft,IDS.holder_relationship.effective_date,,,
End Date,Ngày hết hiệu lực quan hệ.,Date,true,false,draft,IDS.holder_relationship.end_date,,,
Active Flag,Trạng thái quan hệ (1=active / 0=inactive).,Boolean,true,false,draft,IDS.holder_relationship.active_flg,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.holder_relationship.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.holder_relationship.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.holder_relationship.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.holder_relationship.last_updated_date,,,
