attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Periodic Report Form Id,Khóa đại diện cho biểu mẫu báo cáo định kỳ.,Surrogate Key,false,true,draft,,PK surrogate.,,
Periodic Report Form Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.rep_forms.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.rep_forms,
Periodic Report Form Business Code,Mã form (mã nghiệp vụ).,Text,true,false,draft,IDS.rep_forms.report_cd,Mã nghiệp vụ — khác BK kỹ thuật.,,
Periodic Report Form Name,Tên form báo cáo (tiếng Việt).,Text,true,false,draft,IDS.rep_forms.report_name_vi,,,
Periodic Report Form English Name,Tên form báo cáo (tiếng Anh).,Text,true,false,draft,IDS.rep_forms.report_name_en,,,
Report Frequency Type Code,"Loại báo cáo định kỳ (0=BC tháng / 1=BC quý / 2=BC năm / 3=BC thường niên / 4=BC trực tuyến 6 tháng đầu năm / 5=BC trực tuyến 6 tháng cuối năm).",Classification Value,true,false,draft,IDS.rep_forms.rf_report_type_cd,Scheme: IDS_PERIODIC_REPORT_FREQUENCY.,IDS_PERIODIC_REPORT_FREQUENCY,
Published Flag,Báo cáo được công bố hay không (1=có / 0=không).,Boolean,true,false,draft,IDS.rep_forms.published_flg,,,
Report Configuration Link,Đường link cấu hình biểu mẫu.,Text,true,false,draft,IDS.rep_forms.report_link,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.rep_forms.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.rep_forms.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.rep_forms.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.rep_forms.last_updated_date,,,
