attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Stock Control Id,Khóa đại diện cho bản ghi hạn chế chuyển nhượng cổ phiếu.,Surrogate Key,false,true,draft,,PK surrogate.,,
Stock Control Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,IDS.stock_controls.id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=IDS.stock_controls,
Stock Holder Id,FK đến cổ đông.,Surrogate Key,false,false,draft,IDS.stock_controls.stock_holder_id,FK target: Stock Holder.Stock Holder Id.,,
Stock Holder Code,Mã cổ đông.,Text,false,false,draft,IDS.stock_controls.stock_holder_id,FK target: Stock Holder.Stock Holder Code. Pair with Stock Holder Id.,,
Restricted Share Quantity,Số cổ phiếu bị hạn chế chuyển nhượng.,Small Counter,true,false,draft,IDS.stock_controls.restricted_share_qty,,,
Restriction Start Date,Ngày bắt đầu hạn chế.,Date,true,false,draft,IDS.stock_controls.restriction_start_date,,,
Restriction End Date,Ngày hết hạn chế.,Date,true,false,draft,IDS.stock_controls.restriction_end_date,,,
Restriction Type Code,Loại hạn chế chuyển nhượng.,Classification Value,true,false,draft,IDS.stock_controls.restriction_type_cd,Scheme: IDS_STOCK_RESTRICTION_TYPE.,IDS_STOCK_RESTRICTION_TYPE,
Export Status Flag,Dùng cho giám sát (1=insert / 2=update).,Indicator,true,false,draft,IDS.stock_controls.exp_status_flg,,,
Created By Login Name,Người tạo (login_name của logins).,Text,true,false,draft,IDS.stock_controls.created_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,IDS.stock_controls.created_date,,,
Last Updated By Login Name,Người sửa (login_name của logins).,Text,true,false,draft,IDS.stock_controls.last_updated_by,Denormalized — logins là bảng hệ thống out-of-scope.,,
Last Updated Timestamp,Ngày sửa.,Timestamp,true,false,draft,IDS.stock_controls.last_updated_date,,,
