attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Application Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Government Registration"" (Arrangement). Hồ sơ đăng ký CCHN.",,
License Application Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.Applications.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.Applications,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.qlnhn.Applications.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.qlnhn.Applications.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Certificate Type Code,Mã loại chứng chỉ đăng ký,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.CertificateId,Scheme: CERTIFICATE_TYPE.,,
Application Status Code,Trạng thái hồ sơ (FK → ApplicationStatuses),Classification Value,true,false,draft,NHNCK.qlnhn.Applications.StatusId,Scheme: APPLICATION_STATUS.,,
License Certificate Document Id,FK đến CCHN đã được cấp (nếu có),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.,,
License Certificate Document Code,Mã CCHN đã cấp,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.,,
Previous Certificate Type Code,Mã loại chứng chỉ trước đó,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateId,Scheme: CERTIFICATE_TYPE.,,
Previous License Certificate Document Id,FK đến CCHN trước đó,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.,,
Previous License Certificate Document Code,Mã CCHN trước đó,Text,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with Previous License Certificate Document Id.,,
Examination Assessment Id,FK đến đợt thi (nếu hồ sơ gắn với kỳ thi),Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.ExamSessionId,FK target: Securities Practitioner Qualification Examination Assessment.Examination Assessment Id.,,
Examination Assessment Code,Mã đợt thi,Text,true,false,draft,NHNCK.qlnhn.Applications.ExamSessionId,FK target: Securities Practitioner Qualification Examination Assessment.Examination Assessment Code. Pair with Examination Assessment Id.,,
Assignee Officer Id,FK đến cán bộ xử lý,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.AssigneeId,FK target: Regulatory Authority Officer.Officer Id.,,
Assignee Officer Code,Mã cán bộ xử lý,Text,true,false,draft,NHNCK.qlnhn.Applications.AssigneeId,FK target: Regulatory Authority Officer.Officer Code. Pair with Assignee Officer Id.,,
License Application Verification Status Id,FK đến yêu cầu phê duyệt lãnh đạo,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.InfoVerifyId,FK target: Securities Practitioner License Application Verification Status.License Application Verification Status Id.,,
License Application Verification Status Code,Mã yêu cầu phê duyệt,Text,true,false,draft,NHNCK.qlnhn.Applications.InfoVerifyId,FK target: Securities Practitioner License Application Verification Status.License Application Verification Status Code. Pair with License Application Verification Status Id.,,
Application Code,Mã hồ sơ (mã nghiệp vụ),Text,true,false,draft,NHNCK.qlnhn.Applications.ApplicationCode,"Mã nghiệp vụ, khác BK.",,
Application Title,Tiêu đề hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.Title,,,
Registration Type Code,Loại đăng ký,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.RegistrationType,Scheme: REGISTRATION_TYPE.,,
Application Type Code,Loại hồ sơ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.ApplicationType,Scheme: APPLICATION_TYPE.,,
Submission Date,Ngày nộp hồ sơ,Date,true,false,draft,NHNCK.qlnhn.Applications.SubmissionDate,,,
Supplement Date,Ngày bổ sung hồ sơ,Date,true,false,draft,NHNCK.qlnhn.Applications.SupplementDate,,,
Supplement Letter Date,Ngày thư yêu cầu bổ sung,Date,true,false,draft,NHNCK.qlnhn.Applications.SupplementLetterDate,,,
Reissue Reason,Lý do cấp lại,Text,true,false,draft,NHNCK.qlnhn.Applications.ReissueReason,,,
Rejection Reason,Lý do từ chối,Text,true,false,draft,NHNCK.qlnhn.Applications.RejectionReason,,,
Certificate Number,Số chứng chỉ (snapshot tại thời điểm cấp),Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateNumber,Denormalized snapshot.,,
Issue Date,Ngày cấp chứng chỉ (snapshot),Date,true,false,draft,NHNCK.qlnhn.Applications.IssueDate,Denormalized snapshot.,,
Previous Certificate Number,Số chứng chỉ trước đó (snapshot),Text,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateNumber,Denormalized snapshot.,,
Previous Issue Date,Ngày cấp chứng chỉ trước đó (snapshot),Date,true,false,draft,NHNCK.qlnhn.Applications.PreviousIssueDate,Denormalized snapshot.,,
Reissue HSM Code,Mã tái cấp HSM,Text,true,false,draft,NHNCK.qlnhn.Applications.ReissueHSM,,,
Certificate Receipt Method Code,Phương thức nhận chứng chỉ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptMethod,Scheme: RECEIPT_METHOD.,,
Certificate Receipt Address,Địa chỉ nhận chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptAddress,,,
Certificate Receipt Phone,Số điện thoại nhận chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptPhone,,,
