attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Certificate Group Document Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Government Registration Document"". Nhóm cấp/thu hồi/hủy chứng chỉ.",,
License Certificate Group Document Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.CertificateRecordGroups.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.CertificateRecordGroups,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,,
Group Name,Tên nhóm,Text,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.GroupName,"BCV: ""Group Name"" (Group). Giữ nguyên BCV term.",,
Group Type Code,Loại nhóm (Cấp/Thu hồi/Hủy/Chuyển đổi),Classification Value,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.GroupType,Scheme: GROUP_TYPE.,,
License Decision Document Id,FK đến quyết định,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.DecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Id.,,
License Decision Document Code,Mã quyết định,Text,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.DecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with License Decision Document Id.,,
Group Status Code,Trạng thái nhóm,Classification Value,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.Status,Scheme: GROUP_STATUS.,,
Created By Officer Id,FK đến Regulatory Authority Officer,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.CreatedAt,,,
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.CertificateRecordGroups.UpdatedAt,,,
