attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Certificate Document Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Government Registration Document"" (Documentation). Chứng chỉ hành nghề được cấp.",,
License Certificate Document Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.CertificateRecords.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.CertificateRecords,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecords.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Professional Full Name,Họ và tên người hành nghề (snapshot tại thời điểm cấp),Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.ProfessionalFullName,Denormalized snapshot.,,
Certificate Type Code,Mã loại chứng chỉ,Classification Value,true,false,draft,NHNCK.qlnhn.CertificateRecords.CertificateId,Scheme: CERTIFICATE_TYPE.,,
Issuance Decision Document Id,FK đến quyết định cấp,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecords.IssueDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Id.,,
Issuance Decision Document Code,Mã quyết định cấp,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.IssueDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Issuance Decision Document Id.,,
Revocation Decision Document Id,FK đến quyết định thu hồi,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecords.RevocationDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Id. Nullable — chỉ có khi bị thu hồi.,,
Revocation Decision Document Code,Mã quyết định thu hồi,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.RevocationDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Revocation Decision Document Id.,,
Cancellation Decision Document Id,FK đến quyết định hủy,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecords.CannellationDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Id. Nullable — chỉ có khi bị hủy.,,
Cancellation Decision Document Code,Mã quyết định hủy,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.CannellationDecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Cancellation Decision Document Id.,,
Certificate Number,Số chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.CertificateNumber,,,
Certificate Issue Date,Ngày cấp chứng chỉ,Date,true,false,draft,NHNCK.qlnhn.CertificateRecords.IssueDate,,,
Revocation Date,Ngày thu hồi chứng chỉ,Date,true,false,draft,NHNCK.qlnhn.CertificateRecords.RevocationDate,NULL = chưa bị thu hồi.,,
Revocation Reason,Lý do thu hồi,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.RevocationReason,,,
Certificate Status Code,"Trạng thái (0: Chưa sử dụng, 1: Đang sử dụng, 2: Thu hồi, 3: Đã hủy)",Classification Value,true,false,draft,NHNCK.qlnhn.CertificateRecords.Status,Scheme: CERTIFICATE_STATUS.,,
Process Status Code,"Trạng thái xử lý (Đã cấp, Đã ký, Đã trả)",Classification Value,true,false,draft,NHNCK.qlnhn.CertificateRecords.ProcessStatus,Scheme: CERTIFICATE_PROCESS_STATUS.,,
Certificate Description,Mô tả,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.Description,,,
Allow Reissue Indicator,"Cho phép cấp lại (0: Không, 1: Có)",Boolean,true,false,draft,NHNCK.qlnhn.CertificateRecords.AllowReissue,,,
Created By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.qlnhn.CertificateRecords.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.qlnhn.CertificateRecords.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.CertificateRecords.CreatedAt,,,
