attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Organization Unit Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Organization"" (Involved Party). Phòng ban thuộc đơn vị UBCK.",,
Organization Unit Code,Mã phòng ban. BK,Text,false,false,draft,NHNCK.qlnhn.Departments.DepartmentCode,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.Departments,
Organization Unit Type Code,Phân loại — Phòng ban (Department),Classification Value,false,false,draft,,,ORGANIZATION_UNIT_TYPE=DEPARTMENT,
Organization Unit Name,Tên phòng ban,Text,true,false,draft,NHNCK.qlnhn.Departments.DepartmentName,,,
Parent Organization Unit Id,FK đến đơn vị cha (Units),Surrogate Key,true,false,draft,NHNCK.qlnhn.Departments.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Id.,,
Parent Organization Unit Code,Mã đơn vị cha,Text,true,false,draft,NHNCK.qlnhn.Departments.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Code. Pair with Parent Organization Unit Id.,,
Organization Unit Description,Mô tả,Text,true,false,draft,NHNCK.qlnhn.Departments.Description,,,
Organization Unit Status Code,Trạng thái,Classification Value,true,false,draft,NHNCK.qlnhn.Departments.Status,Scheme: ORGANIZATION_UNIT_STATUS.,,
Sort Order,Thứ tự sắp xếp,Small Counter,true,false,draft,NHNCK.qlnhn.Departments.SortOrder,,,
