attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Organization Employment Report Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Employer Registration"" (Documentation)."
Organization Employment Report Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.OrganizationReports.Id,BK chính.
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.OrganizationReports,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.qlnhn.OrganizationReports.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.qlnhn.OrganizationReports.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.
Securities Organization Id,FK đến tổ chức,Surrogate Key,true,false,draft,NHNCK.qlnhn.OrganizationReports.OrganizationId,FK target: Securities Organization Reference.Securities Organization Reference Id.
Securities Organization Code,Mã tổ chức,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.OrganizationId,FK target: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Id.
Certificate Type Code,Mã loại chứng chỉ,Classification Value,true,false,draft,NHNCK.qlnhn.OrganizationReports.CertificateId,Scheme: CERTIFICATE_TYPE.
License Certificate Document Id,FK đến chứng chỉ,Surrogate Key,true,false,draft,NHNCK.qlnhn.OrganizationReports.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.
License Certificate Document Code,Mã chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.
Parent Organization Employment Report Id,FK self-ref — báo cáo cha,Surrogate Key,true,false,draft,NHNCK.qlnhn.OrganizationReports.ParentReportId,FK target: Securities Practitioner Organization Employment Report.Organization Employment Report Id. Self-referencing.
Parent Organization Employment Report Code,Mã báo cáo cha,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.ParentReportId,FK target: Securities Practitioner Organization Employment Report.Organization Employment Report Code. Pair with Parent Organization Employment Report Id.
Report Type Code,Loại báo cáo,Classification Value,true,false,draft,NHNCK.qlnhn.OrganizationReports.Type,Scheme: REPORT_TYPE.
Report Date,Ngày báo cáo,Date,true,false,draft,NHNCK.qlnhn.OrganizationReports.ReportDate,
Full Name,Họ và tên (snapshot từ tổ chức báo cáo),Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.FullName,Denormalized snapshot — không prefix vì snapshot của Practitioner (entity cha qua FK).
Date Of Birth,Ngày sinh (snapshot),Date,true,false,draft,NHNCK.qlnhn.OrganizationReports.BirthDate,Denormalized snapshot.
Identification Number,Số chứng minh thư (snapshot),Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.IdentityNumber,Denormalized snapshot.
Position Name,Chức vụ,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.Position,Text tự do. Suffix Name.
Department Name,Phòng ban,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.Department,Text tự do.
Business Department Name,Phòng ban nghiệp vụ,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.BusinessDepartment,Phân biệt với Department Name.
Workplace Name,Nơi công tác,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.Workplace,Text tự do.
Hire Date,Ngày tiếp nhận,Date,true,false,draft,NHNCK.qlnhn.OrganizationReports.HireDate,"BCV: gần nhất ""Individual Employment Status Date""."
Termination Date,Ngày thôi việc,Date,true,false,draft,NHNCK.qlnhn.OrganizationReports.TerminationDate,NULL = đang làm việc.
Certificate Number,Số chứng chỉ (snapshot),Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.CertificateNumber,Denormalized snapshot.
Certificate Issue Date,Ngày cấp chứng chỉ (snapshot),Date,true,false,draft,NHNCK.qlnhn.OrganizationReports.IssueDate,Denormalized snapshot.
Discipline Description,Kỷ luật (vi phạm hoặc xử phạt),Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.Disciplines,
Report Description,Mô tả báo cáo,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.Description,
Sync Id,Mã đồng bộ,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.SyncId,Metadata đồng bộ — trường nghiệp vụ bình thường (không ds_).
Sync Created Timestamp,Ngày tạo đồng bộ,Timestamp,true,false,draft,NHNCK.qlnhn.OrganizationReports.SyncCreatedAt,Metadata đồng bộ.
Sync Updated Timestamp,Ngày cập nhật đồng bộ,Timestamp,true,false,draft,NHNCK.qlnhn.OrganizationReports.SyncUpdatedAt,Metadata đồng bộ.
Created By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.qlnhn.OrganizationReports.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.qlnhn.OrganizationReports.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.OrganizationReports.CreatedAt,
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.OrganizationReports.UpdatedAt,
