attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Practitioner Related Party Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Related Involved Party"" (Involved Party). Quan hệ gia đình/xã hội.",,
Securities Practitioner Related Party Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.ProfessionalRelationships.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.ProfessionalRelationships,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.qlnhn.ProfessionalRelationships.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.qlnhn.ProfessionalRelationships.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Related Party Full Name,Họ và tên người liên quan,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.FullName,,,
Relationship Type Code,"Quan hệ (1: Vợ/Chồng, 2: Con, 3: Bố, 4: Mẹ, 5: Ông, 6: Bà)",Classification Value,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.RelationshipType,Scheme: RELATIONSHIP_TYPE.,,
Birth Year,Năm sinh,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.BirthYear,"Text vì là năm dạng ""1990"".",,
Country Code,Quốc gia,Classification Value,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.CountryId,Scheme: COUNTRY.,,
Identity Reference Code,Mã định danh giấy tờ tùy thân,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.IdentityId,FK bảng identity riêng — lưu BK dạng Text.,,
Address,Địa chỉ,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.Address,,,
Occupation Name,Nghề nghiệp,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.Occupation,Text tự do.,,
Workplace Name,Nơi làm việc,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.Workplace,Text tự do.,,
Related Party Note,Ghi chú,Text,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.Note,,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.ProfessionalRelationships.CreatedAt,,,
