attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Risk Alert Id,Khóa đại diện cho bản ghi cảnh báo rủi ro.,Surrogate Key,false,true,draft,,,,
Risk Alert Code,Mã định danh cảnh báo. BK. Map từ PK bảng nguồn.,Text,false,false,draft,QLRR.risk_alert.id,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=QLRR.risk_alert,
Risk Alert Config Id,FK đến cấu hình ngưỡng cảnh báo.,Surrogate Key,false,false,draft,QLRR.risk_alert.alert_config_id,FK target: Risk Alert Config.Risk Alert Config Id.,,
Risk Alert Config Code,Mã cấu hình cảnh báo.,Text,false,false,draft,QLRR.risk_alert.alert_config_id,FK target: Risk Alert Config.Risk Alert Config Code. Pair with Risk Alert Config Id.,,
Risk Indicator Id,FK đến chỉ tiêu rủi ro (hệ thống lẫn tự tạo sau gộp).,Surrogate Key,false,false,draft,QLRR.risk_alert.indicator_id,"FK target: Risk Indicator.Risk Indicator Id. HLD T2-02: indicator_type=1 map indicator_id; indicator_type=2 map custom_indicator_id — cả 2 về ds_indicator_id.",,
Risk Indicator Code,Mã chỉ tiêu rủi ro.,Text,false,false,draft,QLRR.risk_alert.indicator_id,FK target: Risk Indicator.Risk Indicator Code. Pair with Risk Indicator Id.,,
Period Date,Kỳ dữ liệu bị cảnh báo.,Date,false,false,draft,QLRR.risk_alert.period_date,,,
Current Value,Giá trị chỉ tiêu tại kỳ bị cảnh báo.,Text,false,false,draft,QLRR.risk_alert.current_value,Lưu dạng Text — giá trị số thập phân.,,
Previous Value,"Giá trị kỳ trước (dùng để hiển thị, null nếu không xác định).",Text,true,false,draft,QLRR.risk_alert.previous_value,Lưu dạng Text — giá trị số thập phân.,,
Change Amount,Giá trị chênh lệch tuyệt đối.,Text,true,false,draft,QLRR.risk_alert.change_amount,Lưu dạng Text — giá trị số thập phân.,,
Change Percent,Chênh lệch phần trăm.,Text,true,false,draft,QLRR.risk_alert.change_percent,Lưu dạng Text — giá trị số thập phân.,,
Threshold Direction Code,"Chiều ngưỡng tại thời điểm phát cảnh báo: 1=Tăng, 2=Giảm, 3=Tăng/Giảm.",Classification Value,false,false,draft,QLRR.risk_alert.threshold_direction,Scheme: RISK_ALERT_THRESHOLD_DIRECTION. Snapshot ngưỡng tại thời điểm phát cảnh báo.,RISK_ALERT_THRESHOLD_DIRECTION,
Threshold Unit Code,"Đơn vị ngưỡng tại thời điểm phát cảnh báo: 1=%, 2=Điểm, …",Classification Value,true,false,draft,QLRR.risk_alert.threshold_unit_code,Scheme: RISK_UNIT. Snapshot.,RISK_UNIT,
Threshold Value,Giá trị ngưỡng tại thời điểm phát cảnh báo.,Text,false,false,draft,QLRR.risk_alert.threshold_value,Lưu dạng Text. Snapshot ngưỡng.,,,
Compare Period Count,Số kỳ so sánh tại thời điểm phát cảnh báo.,Small Counter,true,false,draft,QLRR.risk_alert.compare_period_time,Snapshot.,,
Alert Message,Nội dung thông báo cảnh báo (đã render từ template).,Text,true,false,draft,QLRR.risk_alert.alert_message,,,
Triggered At,Thời điểm phát sinh cảnh báo.,Timestamp,false,false,draft,QLRR.risk_alert.triggered_at,,,
Triggered By Schedule Id,FK đến lịch đồng bộ đã kích hoạt cảnh báo. Nullable khi alert thủ công.,Surrogate Key,true,false,draft,QLRR.risk_alert.triggered_by_job_id,"FK target: Risk Indicator Schedule.Risk Indicator Schedule Id. Nullable — HLD T3-02: alert thủ công không có triggered_by_job_id.",,
Triggered By Schedule Code,Mã lịch đồng bộ đã kích hoạt cảnh báo.,Text,true,false,draft,QLRR.risk_alert.triggered_by_job_id,"FK target: Risk Indicator Schedule.Risk Indicator Schedule Code. Pair with Triggered By Schedule Id. Nullable.",,
Handler User Id,User ID người được giao xử lý cảnh báo (denormalized).,Text,true,false,draft,QLRR.risk_alert.handler_user_id,Denormalized — không có User entity trên Silver.,,
Handler User Name,Tên người được giao xử lý cảnh báo (denormalized).,Text,true,false,draft,QLRR.risk_alert.handler_user_name,Denormalized. Pair với Handler User Id.,,
Alert Status Code,"Trạng thái cảnh báo: 0=Chưa xử lý, 1=Đang xử lý, 2=Đã xử lý, 3=Đã huỷ/Đã bỏ qua.",Classification Value,false,false,draft,QLRR.risk_alert.status,Scheme: RISK_ALERT_STATUS.,RISK_ALERT_STATUS,
Assigned At,Thời điểm phân công xử lý cảnh báo.,Timestamp,true,false,draft,QLRR.risk_alert.assigned_at,,,
