attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Report Template Column Id,Khóa đại diện cho cột biểu mẫu báo cáo.,Surrogate Key,false,true,draft,,PK surrogate.,,
Report Template Column Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.BM_BAO_CAO_COT.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.BM_BAO_CAO_COT,
Report Template Id,FK đến biểu mẫu báo cáo.,Surrogate Key,false,false,draft,SCMS.BM_BAO_CAO_COT.BM_BAO_CAO_ID,FK target: Report Template.Report Template Id.,,
Report Template Code,Mã biểu mẫu báo cáo.,Text,false,false,draft,SCMS.BM_BAO_CAO_COT.BM_BAO_CAO_ID,Lookup pair: Report Template.Report Template Code. Pair with Report Template Id.,,
Report Template Sheet Id,FK đến sheet biểu mẫu báo cáo.,Surrogate Key,false,false,draft,SCMS.BM_BAO_CAO_COT.BM_SHEET_ID,FK target: Report Template Sheet.Report Template Sheet Id.,,
Report Template Sheet Code,Mã sheet biểu mẫu.,Text,false,false,draft,SCMS.BM_BAO_CAO_COT.BM_SHEET_ID,Lookup pair: Report Template Sheet.Report Template Sheet Code. Pair with Report Template Sheet Id.,,
Column Business Code,Mã cột (mã nghiệp vụ).,Text,true,false,draft,SCMS.BM_BAO_CAO_COT.MA_COT,,,
Column Name,Tên cột.,Text,true,false,draft,SCMS.BM_BAO_CAO_COT.TEN_COT,,,
Description,Mô tả cột.,Text,true,false,draft,SCMS.BM_BAO_CAO_COT.MO_TA,,,
Sort Order,Thứ tự hiển thị.,Small Counter,true,false,draft,SCMS.BM_BAO_CAO_COT.SAP_XEP,,,
Is Key Indicator,Cờ khóa chính báo cáo: 1-Là khóa chính; 0-Không.,Indicator,true,false,draft,SCMS.BM_BAO_CAO_COT.KHOA_CHINH,,,
Is Active Flag,Trạng thái sử dụng: 1-Sử dụng; 0-Không sử dụng.,Boolean,true,false,draft,SCMS.BM_BAO_CAO_COT.SU_DUNG,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.BM_BAO_CAO_COT.NGAY_CAP_NHAT,,,
