attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Shareholder Representative Id,Khóa đại diện cho người đại diện cổ đông.,Surrogate Key,false,true,draft,,PK surrogate.,,
Securities Company Shareholder Representative Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.CTCK_CD_DAI_DIEN.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_CD_DAI_DIEN,
Securities Company Shareholder Id,FK đến cổ đông được đại diện.,Surrogate Key,false,false,draft,SCMS.CTCK_CD_DAI_DIEN.CTCK_CO_DONG_ID,FK target: Securities Company Shareholder.Securities Company Shareholder Id.,,
Securities Company Shareholder Code,Mã cổ đông.,Text,false,false,draft,SCMS.CTCK_CD_DAI_DIEN.CTCK_CO_DONG_ID,FK target: Securities Company Shareholder.Securities Company Shareholder Code. Pair with Securities Company Shareholder Id.,,
Securities Company Id,FK đến công ty chứng khoán.,Surrogate Key,false,false,draft,SCMS.CTCK_CD_DAI_DIEN.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.CTCK_CD_DAI_DIEN.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Representative Name,Họ và tên người đại diện.,Text,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.NGUOI_DAI_DIEN,Denormalized — tên cá nhân đại diện.,,
Position Name,Chức vụ người đại diện.,Text,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.CHUC_VU,Text tự do.,,
Share Quantity,Số lượng cổ phần được đại diện.,Small Counter,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.SO_LUONG_CP,,,
Share Ratio,Tỷ lệ cổ phần được đại diện (%).,Percentage,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.TY_LE_NAM_GIU,,,
Attachment File,Tệp đính kèm.,Text,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.FILE_DINH_KEM,,,
Note,Ghi chú.,Text,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.GHI_CHU,,,
Representative Status Code,Trạng thái người đại diện.,Classification Value,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.TRANG_THAI,Scheme: SCMS_SHAREHOLDER_REPRESENTATIVE_STATUS.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.CTCK_CD_DAI_DIEN.NGAY_CAP_NHAT,,,
