attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Shareholder Related Party Id,Khóa đại diện cho người có quan hệ với cổ đông.,Surrogate Key,false,true,draft,,PK surrogate.,,
Securities Company Shareholder Related Party Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_CD_MOI_QUAN_HE,
Securities Company Shareholder Id,FK đến cổ đông có người liên quan.,Surrogate Key,false,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.CTCK_CO_DONG_ID,FK target: Securities Company Shareholder.Securities Company Shareholder Id.,,
Securities Company Shareholder Code,Mã cổ đông.,Text,false,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.CTCK_CO_DONG_ID,FK target: Securities Company Shareholder.Securities Company Shareholder Code. Pair with Securities Company Shareholder Id.,,
Securities Company Id,FK đến công ty chứng khoán.,Surrogate Key,false,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Related Party Full Name,Họ và tên người có quan hệ.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.HO_TEN,,,
Relationship Type Code,Loại mối quan hệ với cổ đông.,Classification Value,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.MOI_QUAN_HE,Scheme: SCMS_RELATED_PARTY_RELATIONSHIP.,,
Related Party Identity Document Number,Số CMND/CCCD.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.SO_CMND,,,
Related Party Identity Document Date,Ngày cấp.,Date,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.NGAY_CAP,,,
Related Party Identity Document Issuer,Nơi cấp.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.NOI_CAP,,,
Related Party Workplace Name,Nơi làm việc.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.NOI_LAM_VIEC,,,
Related Party Job Position Name,Vị trí công việc.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.VI_TRI_CONG_VIEC,,,
Related Securities Company Name,Tên CTCK có liên quan (nếu người liên quan cũng là cổ đông CTCK khác).,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.TEN_CTCK_CO_CP,Denormalized — tên công ty liên quan. Không có FK đến CTCK_THONG_TIN.,,
Share Quantity,Số lượng cổ phần người liên quan nắm giữ tại CTCK.,Currency Amount,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.SO_LUONG_CP,,,
Share Ratio,Tỷ lệ cổ phần người liên quan nắm giữ (%).,Percentage,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.TY_LE_NAM_GIU,,,
Attachment File,Tệp đính kèm.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.FILE_DINH_KEM,,,
Note,Ghi chú.,Text,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.GHI_CHU,,,
Related Party Status Code,Trạng thái bản ghi người liên quan.,Classification Value,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.TRANG_THAI,Scheme: SCMS_SHAREHOLDER_RELATED_PARTY_STATUS.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.scms.CTCK_CD_MOI_QUAN_HE.NGAY_CAP_NHAT,,,
