attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Practitioner Id,Khóa đại diện cho người hành nghề chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate. Shared entity với NHNCK.Professionals.,,
Practitioner Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_NGUOI_HANH_NGHE_CK,
Securities Company Id,FK đến công ty chứng khoán nơi hành nghề.,Surrogate Key,false,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Employee Code,Mã nhân viên nội bộ CTCK.,Text,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.MA_NHAN_VIEN,Mã nhân viên do CTCK cấp — bổ sung từ SCMS. Không có trong NHNCK.,,
Full Name,Họ và tên người hành nghề.,Text,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.HO_TEN,,,
Date Of Birth,Ngày sinh.,Date,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.NGAY_SINH,,,
License Number,Số chứng chỉ hành nghề chứng khoán.,Text,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.SO_CHUNG_CHI_HNCK,,,
Employment Start Date,Ngày bắt đầu làm việc tại CTCK.,Date,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.NGAY_BAT_DAU_LAM,,,
Employment End Date,Ngày nghỉ việc.,Date,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.NGAY_NGHI_VIEC,,,
Note,Ghi chú.,Text,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.GHI_CHU,,,
Practitioner Status Code,Trạng thái người hành nghề tại CTCK.,Classification Value,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.TRANG_THAI,Scheme: SCMS_COMPANY_STATUS.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.CTCK_NGUOI_HANH_NGHE_CK.NGAY_TAO,,,
