attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Senior Personnel Id,Khóa đại diện cho nhân sự cao cấp CTCK.,Surrogate Key,false,true,draft,,PK surrogate.,,
Securities Company Senior Personnel Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_NHAN_SU_CAO_CAP,
Securities Company Id,FK đến công ty chứng khoán.,Surrogate Key,false,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Organization Unit Id,FK đến chi nhánh trực thuộc (nếu có).,Surrogate Key,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.CTCK_CHI_NHANH_ID,FK target: Securities Company Organization Unit.Securities Company Organization Unit Id. Nullable — nhân sự trụ sở không có chi nhánh.,,
Organization Unit Code,Mã chi nhánh trực thuộc.,Text,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.CTCK_CHI_NHANH_ID,FK target: Securities Company Organization Unit.Securities Company Organization Unit Code. Pair with Organization Unit Id.,,
Full Name,Họ và tên nhân sự cao cấp.,Text,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.HO_TEN,,,
Individual Gender Code,Giới tính.,Classification Value,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.GIOI_TINH,Scheme: INDIVIDUAL_GENDER.,,
Date Of Birth,Ngày sinh.,Date,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.NGAY_SINH,,,
Birth Place,Nơi sinh.,Text,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.NOI_SINH,,,
Nationality Id,FK đến quốc tịch nhân sự.,Surrogate Key,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.DM_QUOC_TICH_ID,FK target: Geographic Area.Geographic Area Id. Lookup: DM_QUOC_TICH.,,
Nationality Code,Mã quốc tịch nhân sự.,Text,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.DM_QUOC_TICH_ID,FK target: Geographic Area.Geographic Area Code. Pair with Nationality Id.,,
Position Type Code,Chức vụ đảm nhận.,Classification Value,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.CHUC_VU_ID,Scheme: SCMS_POSITION_TYPE. FK đến bảng danh mục DM_CHUC_VU — lưu dạng Classification Value.,,
Shareholder Type Code,Loại cổ đông nếu đồng thời là cổ đông.,Classification Value,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.LOAI_CO_DONG,"Scheme: SCMS_SHAREHOLDER_RELATION_TYPE. Ghi nhận khi nhân sự cao cấp đồng thời là cổ đông.",,,
Resignation Date,Ngày thôi việc.,Date,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.NGAY_THOI_VIEC,,,
Note,Ghi chú.,Text,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.GHI_CHU,,,
Personnel Status Code,Trạng thái nhân sự.,Classification Value,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.TRANG_THAI_NHAN_SU,Scheme: SCMS_PERSONNEL_STATUS.,,
Is Draft Indicator,Cờ bảng tạm: 0-Bảng tạm; 1-Chính thức.,Indicator,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.IS_BANG_TAM,,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.NGAY_CAP_NHAT,,,
Life Cycle Status Code,Trạng thái bản ghi chung.,Classification Value,true,false,draft,SCMS.CTCK_NHAN_SU_CAO_CAP.TRANG_THAI,Scheme: LIFE_CYCLE_STATUS. Cần profile data để xác định giá trị.,,
