attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Id,Khóa đại diện cho công ty chứng khoán.,Surrogate Key,false,true,draft,,PK surrogate. Shared entity với FIMS.SECURITIESCOMPANY.,,
Securities Company Code,Mã định danh CTCK (tự động tăng). BK kỹ thuật.,Text,false,false,draft,SCMS.CTCK_THONG_TIN.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_THONG_TIN,
Securities Company Business Key,ID duy nhất của CTCK dùng liên thông hệ thống (BK nghiệp vụ).,Text,true,false,draft,SCMS.CTCK_THONG_TIN.CTCK_THONG_TIN_ID,Trường BK nghiệp vụ — khác với PK kỹ thuật. Dùng liên thông giữa hệ thống.,,
Securities Company Business Code,Mã số CTCK (mã nghiệp vụ ngắn).,Text,true,false,draft,SCMS.CTCK_THONG_TIN.MA_SO,Mã nghiệp vụ — khác BK kỹ thuật.,,
Securities Company Name,Tên tiếng Việt.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.TEN_TIENG_VIET,,,
Securities Company English Name,Tên tiếng Anh.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.TEN_TIENG_ANH,,,
Securities Company Short Name,Tên viết tắt.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.TEN_VIET_TAT,,,
Nationality Geographic Area Id,FK đến quốc gia đăng ký.,Surrogate Key,true,false,draft,SCMS.CTCK_THONG_TIN.QUOC_GIA_ID,FK target: Geographic Area.Geographic Area Id. Lookup: DM_QUOC_TICH.,,
Nationality Geographic Area Code,Mã quốc gia đăng ký.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.QUOC_GIA_ID,FK target: Geographic Area.Geographic Area Code. Pair with Nationality Geographic Area Id.,,
Charter Capital Amount,Vốn điều lệ.,Currency Amount,true,false,draft,SCMS.CTCK_THONG_TIN.VON_DIEU_LE,,,
Tax Code,Mã số thuế.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.MA_SO_THUE,Mã số thuế — trường nghiệp vụ riêng.,,
Business License Number,Số giấy phép kinh doanh.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.GIAY_PHEP_KINH_DOANH,,,
Business License Date,Ngày cấp giấy phép kinh doanh.,Date,true,false,draft,SCMS.CTCK_THONG_TIN.NGAY_CAP_GPKD,,,
Business License Issuer,Nơi cấp giấy phép kinh doanh.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.NOI_CAP_GPKD,,,
Company Type Code,Loại hình công ty.,Classification Value,true,false,draft,SCMS.CTCK_THONG_TIN.LOAI_CONG_TY_ID,Scheme: SCMS_COMPANY_TYPE.,,
Share Quantity,Số lượng cổ phần.,Small Counter,true,false,draft,SCMS.CTCK_THONG_TIN.SO_LUONG_CO_PHAN,,,
Business Sector Codes,Danh sách mã ngành nghề kinh doanh.,Array<Text>,true,false,draft,SCMS.LK_CTCK_NGANH_NGHE_KD.DM_NGANH_NGHE_KD_ID,Pure junction LK_CTCK_NGANH_NGHE_KD → denormalize thành ARRAY. Scheme: SCMS_BUSINESS_SECTOR. HLD decision: SCMS_HLD_Tier1.md.,,
Is Listed Indicator,Cờ niêm yết: 1-Có niêm yết; 0-Không.,Indicator,true,false,draft,SCMS.CTCK_THONG_TIN.NIEM_YET,,,
Stock Exchange Name,Sàn niêm yết.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.SAN_NIEM_YET,Text denormalized — tên sàn.,,
Securities Code,Mã chứng khoán niêm yết.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.MA_CHUNG_KHOAN,,,
Registration Date,Ngày đăng ký CTDC.,Date,true,false,draft,SCMS.CTCK_THONG_TIN.NGAY_DANG_KY_CTDC,,,
Registration Decision Number,Số quyết định đăng ký.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.SO_QUYET_DINH,,,
Termination Date,Ngày kết thúc CTDC.,Date,true,false,draft,SCMS.CTCK_THONG_TIN.NGAY_KET_THUC_CTDC,,,
Termination Decision Number,Số quyết định kết thúc.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.SO_QUYET_DINH_KET_THUC,,,
Company Status Code,Trạng thái hoạt động của CTCK.,Classification Value,true,false,draft,SCMS.CTCK_THONG_TIN.TRANG_THAI,Scheme: SCMS_COMPANY_STATUS.,,
Is Draft Indicator,Cờ bảng tạm: 1-Bảng tạm; 0-Chính thức.,Indicator,true,false,draft,SCMS.CTCK_THONG_TIN.IS_BANG_TAM,,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.CTCK_THONG_TIN.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.CTCK_THONG_TIN.NGAY_CAP_NHAT,,,
