attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Involved Party Id,FK đến công ty chứng khoán.,Surrogate Key,false,false,draft,SCMS.CTCK_THONG_TIN.ID,FK target: Securities Company.Securities Company Id.,,
Involved Party Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.CTCK_THONG_TIN.ID,Lookup pair: Securities Company.Securities Company Code. Pair with Involved Party Id.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_THONG_TIN,
Electronic Address Type Code,Loại kênh liên lạc — điện thoại.,Classification Value,false,false,draft,,Scheme: IP_ELEC_ADDR_TYPE. ETL-derived.,IP_ELEC_ADDR_TYPE=PHONE,PHONE
Electronic Address Value,Số điện thoại.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.DIEN_THOAI,,IP_ELEC_ADDR_TYPE=PHONE,
Electronic Address Type Code,Loại kênh liên lạc — fax.,Classification Value,false,false,draft,,Scheme: IP_ELEC_ADDR_TYPE. ETL-derived.,IP_ELEC_ADDR_TYPE=FAX,FAX
Electronic Address Value,Số fax.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.FAX,,IP_ELEC_ADDR_TYPE=FAX,
Electronic Address Type Code,Loại kênh liên lạc — email.,Classification Value,false,false,draft,,Scheme: IP_ELEC_ADDR_TYPE. ETL-derived.,IP_ELEC_ADDR_TYPE=EMAIL,EMAIL
Electronic Address Value,Email.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.EMAIL,,IP_ELEC_ADDR_TYPE=EMAIL,
Electronic Address Type Code,Loại kênh liên lạc — website.,Classification Value,false,false,draft,,Scheme: IP_ELEC_ADDR_TYPE. ETL-derived: hardcode WEBSITE.,IP_ELEC_ADDR_TYPE=WEBSITE,WEBSITE
Electronic Address Value,Địa chỉ website.,Text,true,false,draft,SCMS.CTCK_THONG_TIN.WEBSITE,,IP_ELEC_ADDR_TYPE=WEBSITE,
