attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Audit Firm Practitioner Id,Khóa đại diện cho kiểm toán viên.,Surrogate Key,false,true,draft,,PK surrogate.,,
Audit Firm Practitioner Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CT_KIEM_TOAN_VIEN,
Audit Firm Id,FK đến công ty kiểm toán.,Surrogate Key,false,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.CT_KIEM_TOAN_ID,FK target: Audit Firm.Audit Firm Id.,,
Audit Firm Code,Mã công ty kiểm toán.,Text,false,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.CT_KIEM_TOAN_ID,FK target: Audit Firm.Audit Firm Code. Pair with Audit Firm Id.,,
Full Name,Họ và tên kiểm toán viên.,Text,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.HO_TEN,,,
Certificate Number,Số chứng chỉ hành nghề kiểm toán.,Text,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.SO_CHUNG_CHI,,,
Certificate Date,Ngày cấp chứng chỉ.,Date,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.NGAY_CAP,,,
Approval Date,Ngày UBCKNN chấp thuận.,Date,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.NGAY_CHAP_THUAN,,,
Revocation Date,Ngày hủy chấp thuận.,Date,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.NGAY_HUY_CHAP_THUAN,,,
Note,Ghi chú.,Text,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.GHI_CHU,,,
Audit Firm Practitioner Status Code,Trạng thái kiểm toán viên.,Classification Value,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.TRANG_THAI,Scheme: SCMS_AUDIT_FIRM_PRACTITIONER_STATUS.,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.scms.CT_KIEM_TOAN_VIEN.NGAY_CAP_NHAT,,,
