attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Report Indicator Id,Khóa đại diện cho chỉ tiêu báo cáo.,Surrogate Key,false,true,draft,,PK surrogate.,,
Report Indicator Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.scms.DM_CHI_TIEU.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.DM_CHI_TIEU,
Indicator Group Code,Nhóm chỉ tiêu báo cáo.,Classification Value,true,false,draft,SCMS.scms.DM_CHI_TIEU.DM_CHI_TIEU_DM_ID,Scheme: SCMS_INDICATOR_GROUP. FK đến bảng danh mục DM_CHI_TIEU_DM — lưu dạng Classification Value.,,
Indicator Business Code,Mã chỉ tiêu (mã nghiệp vụ).,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.MA_CHI_TIEU,Mã nghiệp vụ — khác BK kỹ thuật.,,
Indicator Name,Tên chỉ tiêu.,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.TEN_CHI_TIEU,,,
Parent Indicator Code,Mã chỉ tiêu cha (phân cấp).,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.MA_PHAN_CAP_CHA,Self-join trên Indicator Business Code — lưu code dạng Text thay vì FK surrogate do phân cấp mã nghiệp vụ.,,
Hierarchy Code,Mã phân cấp đầy đủ (path code).,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.MA_PHAN_CAP,Mã phân cấp đầy đủ — có thể là hierarchical code dạng "1.1.2".,,
Is Repeatable Indicator,Cờ lặp: 1-Lặp; 0-Không lặp.,Indicator,true,false,draft,SCMS.scms.DM_CHI_TIEU.LAP,,,
Indicator Data Type Code,Kiểu dữ liệu chỉ tiêu: 1-Danh mục; 2-Công thức; 3-Số; 4-Ký tự; 5-Ngày tháng.,Classification Value,true,false,draft,SCMS.scms.DM_CHI_TIEU.KIEU_DU_LIEU,Scheme: SCMS_INDICATOR_DATA_TYPE.,,
Repeatable Catalog Name,Tên danh mục nếu chỉ tiêu là lặp danh mục.,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.DANH_MUC_LAP,Tên bảng/danh mục nguồn khi KIEU_DU_LIEU=1 (danh mục).,,
Calculation Method Code,Cách tính: 1-Cộng dồn; 2-Tính đến thời điểm.,Classification Value,true,false,draft,SCMS.scms.DM_CHI_TIEU.CACH_TINH,Scheme: SCMS_CALCULATION_METHOD.,,
Description,Mô tả chỉ tiêu.,Text,true,false,draft,SCMS.scms.DM_CHI_TIEU.MO_TA,,,
Is Active Indicator,Trạng thái sử dụng: 1-Sử dụng; 0-Không sử dụng.,Indicator,true,false,draft,SCMS.scms.DM_CHI_TIEU.SU_DUNG,,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.scms.DM_CHI_TIEU.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.scms.DM_CHI_TIEU.NGAY_CAP_NHAT,,,
