attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Complaint Processing Conclusion Id,Khóa đại diện cho kết luận giải quyết đơn thư.,Surrogate Key,false,true,draft,,,,
Complaint Processing Conclusion Code,Mã kết luận. Map từ PK ThanhTra.DT_KET_LUAN.ID.,Text,false,false,draft,ThanhTra.DT_KET_LUAN.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.DT_KET_LUAN,
Complaint Processing Case Id,FK đến Complaint Processing Case.,Surrogate Key,false,false,draft,ThanhTra.DT_KET_LUAN.HO_SO_ID,FK target: Complaint Processing Case.Complaint Processing Case Id.,,
Complaint Processing Case Code,Mã hồ sơ đơn thư.,Text,false,false,draft,ThanhTra.DT_KET_LUAN.HO_SO_ID,Lookup pair: Complaint Processing Case.Complaint Processing Case Code. Pair with Complaint Processing Case Id.,,
Conclusion Number,Số kết luận.,Text,true,false,draft,ThanhTra.DT_KET_LUAN.SO_KET_LUAN,,,
Conclusion Date,Ngày kết luận.,Date,true,false,draft,ThanhTra.DT_KET_LUAN.NGAY_KET_LUAN,,,
Resolution Result Code,Kết quả giải quyết: DUNG / SAI / DUNG_MOT_PHAN.,Classification Value,true,false,draft,ThanhTra.DT_KET_LUAN.KET_QUA,Scheme: TT_RESOLUTION_RESULT.,,
Conclusion Content,Nội dung kết luận.,Text,true,false,draft,ThanhTra.DT_KET_LUAN.KET_LUAN,,,
Official Conclusion Date,Ngày ra kết luận chính thức.,Date,true,false,draft,ThanhTra.DT_KET_LUAN.NGAY_RA_KET_LUAN,,,
Referred to Ministry Date,Ngày chuyển cho thanh tra bộ.,Date,true,false,draft,ThanhTra.DT_KET_LUAN.NGAY_CHUYEN_THANH_TRA_BO,,,
Conclusion Status Code,Trạng thái: DANG_GIAI_QUYET / DA_HOAN_THANH.,Classification Value,false,false,draft,ThanhTra.DT_KET_LUAN.TRANG_THAI,Scheme: TT_CASE_STATUS.,,
Remark,Ghi chú.,Text,true,false,draft,ThanhTra.DT_KET_LUAN.GHI_CHU,,,
