attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Surveillance Penalty Announcement Id,Khóa đại diện cho thông báo công bố xử phạt từ giám sát.,Surrogate Key,false,true,draft,,,,
Surveillance Penalty Announcement Code,Mã công bố. Map từ PK ThanhTra.GS_CONG_BO_XU_PHAT.ID.,Text,false,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.GS_CONG_BO_XU_PHAT,
Surveillance Enforcement Case Id,FK đến Surveillance Enforcement Case (via HO_SO_ID — redundant navigation FK).,Surrogate Key,true,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.HO_SO_ID,FK target: Surveillance Enforcement Case.Surveillance Enforcement Case Id.,,
Surveillance Enforcement Case Code,Mã hồ sơ giám sát.,Text,true,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.HO_SO_ID,Lookup pair: Surveillance Enforcement Case.Surveillance Enforcement Case Code. Pair with Surveillance Enforcement Case Id.,,
Surveillance Enforcement Decision Id,FK đến Surveillance Enforcement Decision (via QUYET_DINH_XU_PHAT_ID).,Surrogate Key,false,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.QUYET_DINH_XU_PHAT_ID,FK target: Surveillance Enforcement Decision.Surveillance Enforcement Decision Id.,,
Surveillance Enforcement Decision Code,Mã quyết định xử phạt.,Text,false,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.QUYET_DINH_XU_PHAT_ID,Lookup pair: Surveillance Enforcement Decision.Surveillance Enforcement Decision Code. Pair with Surveillance Enforcement Decision Id.,,
Announcement Channel,Chuyên mục / kênh công bố.,Text,true,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.CHUYEN_MUC,,,
Announcement Content,Nội dung công bố.,Text,true,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.NOI_DUNG_CONG_BO,,,
Announcement Date,Ngày công bố.,Date,true,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.NGAY_CONG_BO,,,
Announcement Status Code,Trạng thái: CHO_DUYET / DA_DUYET.,Classification Value,false,false,draft,ThanhTra.GS_CONG_BO_XU_PHAT.TRANG_THAI,Scheme: TT_ANNOUNCEMENT_STATUS.,,
