attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Surveillance Enforcement Decision File Attachment Id,Khóa đại diện cho file đính kèm quyết định xử phạt giám sát.,Surrogate Key,false,true,draft,,,,
Surveillance Enforcement Decision File Attachment Code,"Mã file. Map từ PK ThanhTra.GS_VAN_BAN_XU_LY_FILE.ID.",Text,false,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.ID,"BK của entity.",,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.GS_VAN_BAN_XU_LY_FILE,
Surveillance Enforcement Decision Id,FK đến Surveillance Enforcement Decision.,Surrogate Key,false,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.VAN_BAN_XU_LY_ID,"FK target: Surveillance Enforcement Decision.Surveillance Enforcement Decision Id.",,
Surveillance Enforcement Decision Code,Mã quyết định xử phạt.,Text,false,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.VAN_BAN_XU_LY_ID,"FK target: Surveillance Enforcement Decision.Surveillance Enforcement Decision Code. Pair with Surveillance Enforcement Decision Id.",,
Document Number,Số hiệu văn bản.,Text,true,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.SO_HIEU,,,
Document Name,Tên tài liệu.,Text,false,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.TEN_TAI_LIEU,,,
Page Count,Số trang.,Small Counter,true,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.SO_TRANG,,,
Document Source,Nguồn gốc tài liệu.,Text,true,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.NGUON_GOC,,,
Attachment File Name,Tên file đính kèm.,Text,true,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.FILE_NAME,,,
Attachment File URL,Đường dẫn file.,Text,true,false,draft,ThanhTra.GS_VAN_BAN_XU_LY_FILE.FILE_PATH,,,
