attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Anti-Corruption Report Id,Khóa đại diện cho báo cáo phòng chống tham nhũng.,Surrogate Key,false,true,draft,,,,
Anti-Corruption Report Code,"Mã báo cáo PCTN. Map từ PK ThanhTra.PCTN_BAO_CAO.ID.",Text,false,false,draft,ThanhTra.PCTN_BAO_CAO.ID,"BK của entity.",,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.PCTN_BAO_CAO,
Report Name,Tên báo cáo phòng chống tham nhũng.,Text,false,false,draft,ThanhTra.PCTN_BAO_CAO.TEN_BAO_CAO,,,
Report Date,Ngày lập báo cáo.,Date,true,false,draft,ThanhTra.PCTN_BAO_CAO.NGAY_LAP_BAO_CAO,,,
Report Sent Date,Ngày gửi báo cáo.,Date,true,false,draft,ThanhTra.PCTN_BAO_CAO.NGAY_GUI_BAO_CAO,,,
Period From Date,Từ ngày tổng hợp.,Date,true,false,draft,ThanhTra.PCTN_BAO_CAO.TU_NGAY_TONG_HOP,,,
Period To Date,Đến ngày tổng hợp.,Date,true,false,draft,ThanhTra.PCTN_BAO_CAO.DEN_NGAY_TONG_HOP,,,
Citizen Reception Result,Kết quả tiếp công dân.,Text,true,false,draft,ThanhTra.PCTN_BAO_CAO.KET_QUA_TIEP_CONG_DAN,,,
Complaint Processing Result,Kết quả xử lý khiếu nại tố cáo.,Text,true,false,draft,ThanhTra.PCTN_BAO_CAO.KET_QUA_XU_LY_KNTC,,,
Report File URL,Đường dẫn file báo cáo.,Text,true,false,draft,ThanhTra.PCTN_BAO_CAO.FILE_BAO_CAO,,,
