attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Inspection Penalty Announcement Id,Khóa đại diện cho công bố xử phạt từ kết luận thanh tra.,Surrogate Key,false,true,draft,,,,
Inspection Penalty Announcement Code,Mã công bố. Map từ PK ThanhTra.TT_CONG_BO_XU_PHAT.ID.,Text,false,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.TT_CONG_BO_XU_PHAT,
Inspection Case Id,FK đến Inspection Case (via HO_SO_ID — redundant navigation FK).,Surrogate Key,true,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.HO_SO_ID,FK target: Inspection Case.Inspection Case Id.,,
Inspection Case Code,Mã hồ sơ thanh tra.,Text,true,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.HO_SO_ID,Lookup pair: Inspection Case.Inspection Case Code. Pair with Inspection Case Id.,,
Inspection Case Conclusion Id,FK đến Inspection Case Conclusion.,Surrogate Key,false,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.QUYET_DINH_XU_PHAT_ID,FK target: Inspection Case Conclusion.Inspection Case Conclusion Id.,,
Inspection Case Conclusion Code,Mã kết luận thanh tra.,Text,false,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.QUYET_DINH_XU_PHAT_ID,Lookup pair: Inspection Case Conclusion.Inspection Case Conclusion Code. Pair with Inspection Case Conclusion Id.,,
Announcement Channel,Chuyên mục trên cổng TTĐT.,Text,true,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.CHUYEN_MUC,,,
Announcement Content,Nội dung công bố.,Text,true,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.NOI_DUNG_CONG_BO,,,
Announcement Date,Ngày công bố.,Date,true,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.NGAY_CONG_BO,,,
Announcement Status Code,Trạng thái: CHO_DUYET / DA_DUYET.,Classification Value,false,false,draft,ThanhTra.TT_CONG_BO_XU_PHAT.TRANG_THAI,Scheme: TT_ANNOUNCEMENT_STATUS.,,
