attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Inspection Case Officer Assignment Id,Khóa đại diện cho phân công cán bộ xử lý hồ sơ thanh tra.,Surrogate Key,false,true,draft,,,,
Inspection Case Officer Assignment Code,Mã phân công. Map từ PK ThanhTra.TT_HO_SO_CAN_BO.ID.,Text,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.ID,BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=ThanhTra.TT_HO_SO_CAN_BO,
Inspection Case Id,FK đến Inspection Case.,Surrogate Key,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.HO_SO_ID,FK target: Inspection Case.Inspection Case Id.,,
Inspection Case Code,Mã hồ sơ thanh tra.,Text,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.HO_SO_ID,Lookup pair: Inspection Case.Inspection Case Code. Pair with Inspection Case Id.,,
Inspection Officer Id,FK đến Inspection Officer — cán bộ được phân công.,Surrogate Key,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.CAN_BO_ID,FK target: Inspection Officer.Inspection Officer Id.,,
Inspection Officer Code,Mã cán bộ.,Text,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.CAN_BO_ID,Lookup pair: Inspection Officer.Inspection Officer Code. Pair with Inspection Officer Id.,,
Officer Role Code,Loại phân công: LANH_DAO / CHUYEN_VIEN.,Classification Value,false,false,draft,ThanhTra.TT_HO_SO_CAN_BO.LOAI_PHAN_CONG,Scheme: TT_OFFICER_ROLE.,,
Assignment Date,Ngày phân công.,Date,true,false,draft,ThanhTra.TT_HO_SO_CAN_BO.NGAY_PHAN_CONG,,,
Remark,Ghi chú phân công.,Text,true,false,draft,ThanhTra.TT_HO_SO_CAN_BO.GHI_CHU,,,
