Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
HT_THAM_SO,ID,,PK,
HT_THAM_SO,MA_THAM_SO,Mã tham số,,
HT_THAM_SO,GIA_TRI,Giá trị,,
HT_THAM_SO,STT,Số thứ tự,,
HT_THAM_SO,TRANG_THAI,Trạng thái,,
HT_THAM_SO,KIEU_DU_LIEU,Kiểu dữ liệu,,
HT_THAM_SO,MO_TA,Mô tả,,
HT_THAM_SO,NGAY_CAP_NHAT,Ngày cập nhật,,
NHAT_KY_HE_THONG,ID,,PK,
NHAT_KY_HE_THONG,TEN_DANG_NHAP,Tên đăng nhập,,
NHAT_KY_HE_THONG,MO_TA,Mô tả,,
NHAT_KY_HE_THONG,HANH_DONG,Hành động,,
NHAT_KY_HE_THONG,NGAY_TAO,Ngày tạo,,
NHAT_KY_HE_THONG,IPCLIENT,IP Client,,
NHAT_KY_HE_THONG,CHUC_NANG,Chức năng,,
THIET_LAP_LICH,ID,,PK,
THIET_LAP_LICH,LOAI,Loại: 1. Truyền đi; 2. Nhận về,,
THIET_LAP_LICH,CHUC_NANG_ID,ID chức năng,FK,FK suy luận → CHUC_NANG
THIET_LAP_LICH,DINH_KY,"Định kỳ:
0. Hàng ngày; 1. Hàng tháng; 2. Hàng năm; 3. Khi có yêu cầu; 4 Quý, 5: Nửa năm.",,
THIET_LAP_LICH,NGAY_BAT_DAU,Ngày tiến hành truyền/ nhận dữ liệu,,
THIET_LAP_LICH,GIO_BAT_DAU,Giờ bắt đầu truyền/ nhận dữ liệu,,
THIET_LAP_LICH,PHUT_BAT_DAU,Phút bắt đầu truyền/ nhận dữ liệu,,
THIET_LAP_LICH,TRANG_THAI,Trạng thái: 1. Sử dụng; 2. Ngừng sử dụng,,
THIET_LAP_LICH,DM_DON_VI_ID,Danh mục đơn vị,FK,FK suy luận → DM_DON_VI.ID
CONG_TY_KIEM_TOAN,ID,,PK,
CONG_TY_KIEM_TOAN,SO_QD_GD,Số quyết định chấp thuận,,
CONG_TY_KIEM_TOAN,NGAY_QD,Ngày quyết định,,
CONG_TY_KIEM_TOAN,TEN,Tên công ty,,
CONG_TY_KIEM_TOAN,DIA_CHI,Địa chỉ trụ sở chính,,
CONG_TY_KIEM_TOAN,SDT,Số điện thoại,,
CONG_TY_KIEM_TOAN,FAX,Fax,,
CONG_TY_KIEM_TOAN,NAM_CT,Năm chấp thuận,,
CONG_TY_KIEM_TOAN,SO_KTV,Số kiểm toán viên được chấp thuận,,
CONG_TY_KIEM_TOAN,MST,Mã số thuế,,
CONG_TY_KIEM_TOAN,GOI_TIN_ID,ID gói tin,FK,FK suy luận → CAU_HINH_GOI_TIN.ID
CONG_TY_KIEM_TOAN,DKKD,Đăng ký kinh doanh,,
CONG_TY_KIEM_TOAN,GUID,,,
DN_RUI_RO_CAO,ID,,PK,
DN_RUI_RO_CAO,MA_SO_DOANH_NGHIEP,Mã số doanh nghiệp,,
DN_RUI_RO_CAO,TEN_DOANH_NGHIEP,Tên doanh nghiệp,,
DN_RUI_RO_CAO,DIA_CHI_TSC,Địa chỉ trụ sở chính,,
DN_RUI_RO_CAO,CQ_THUE_QUAN_LY,Cơ quan quản lý thuế,,
DN_RUI_RO_CAO,NAM_DANH_GIA_RUI_RO,Năm đanh giá rủi ro,,
DN_RUI_RO_CAO,GOI_TIN_ID,ID gói tin,FK,FK suy luận → CAU_HINH_GOI_TIN.ID
GOI_TIN,ID,ID,PK,
GOI_TIN,MA_GOI_TIN,Mã gói tin,,
GOI_TIN,LOAI,1. Gói tin đến; 2. Gói tin đi,,
GOI_TIN,DON_VI_TRUYEN,1. TCT; 2. UBCKNN,,
GOI_TIN,DON_VI_NHAN,1. TCT; 2. UBCKNN,,
GOI_TIN,NGUOI_GUI,Người gửi,,
GOI_TIN,TRANG_THAI,"Trạng thái gói tin:
1. Chưa tiếp nhận; 2. Đã tiếp nhận; 3. Đã gửi; 4. Lỗi;  5. Mới tạo;  6. Đợi phản hồi 7. Message gửi TCT",,
GOI_TIN,NOI_DUNG,Nội dung XML gửi/ nhận,,
GOI_TIN,MO_TA,Mô tả,,
GOI_TIN,NGAY_GUI,Ngày gửi,,
GOI_TIN,NGAY_TIEP_NHAN,Ngày tiếp nhận,,
GOI_TIN,VERSION,Phiên bản,,
GOI_TIN,SENDER_CODE,Mã hệ thống gửi,,
GOI_TIN,SENDER_NAME,Tên hệ thống gửi,,
GOI_TIN,RECEIVER_CODE,Mã hệ thống nhận,,
GOI_TIN,RECEIVER_NAME,Tên hệ thống nhận,,
GOI_TIN,TRAN_CODE,Mã TRAN_CODE,,
GOI_TIN,MSG_ID,Message ID,,FK suy luận → MSG
GOI_TIN,MSG_REFID,,,
GOI_TIN,ID_LINK,,,
GOI_TIN,ORIGINAL_CODE,,,
GOI_TIN,ORIGINAL_NAME,,,
GOI_TIN,ORIGINAL_DATE,,,
GOI_TIN,ERROR_CODE,,,
GOI_TIN,ERROR_DESC,,,
GOI_TIN,SPARE1,,,
GOI_TIN,SPARE2,,,
GOI_TIN,SPARE3,,,
KIEM_TOAN_VIEN,ID,null,PK,
KIEM_TOAN_VIEN,CONG_TY_KIEM_TOAN_ID,ID Công ty kiểm toán,FK,FK suy luận → CONG_TY_KIEM_TOAN.ID
KIEM_TOAN_VIEN,TEN_KTV,Tên kiểm toán viên,,
KIEM_TOAN_VIEN,SO_GCN,Số giấy chứng nhận đăng ký hành nghề,,
KIEM_TOAN_VIEN,NGAY_CT,Ngày chấp thuận,,
KIEM_TOAN_VIEN,NGAY_HUY_CT,Ngày hủy chấp thuận,,
THONG_TIN_DK_THUE,ID,,PK,
THONG_TIN_DK_THUE,GOI_TIN_ID,ID gói tin,FK,FK suy luận → CAU_HINH_GOI_TIN.ID
THONG_TIN_DK_THUE,TEN_NGUOI_NOP,Tên người nộp thuế,,
THONG_TIN_DK_THUE,MA_SO_THUE,Mã số thuế,,
THONG_TIN_DK_THUE,DIA_CHI_TSC,Địa chỉ trụ sở chính,,
THONG_TIN_DK_THUE,DIEN_THOAI,Điện thoại,,
THONG_TIN_DK_THUE,FAX,Fax,,
THONG_TIN_DK_THUE,VON_DIEU_LE,Vốn điều lệ,,
THONG_TIN_DK_THUE,NGANH_NGHE_KD,Ngành nghề kinh doanh,,
THONG_TIN_DK_THUE,SO_GIAY_PHEP,Số giấy phép thành lập,,
THONG_TIN_DK_THUE,NGAY_CAP,Ngày cấp,,
THONG_TIN_DK_THUE,CO_QUAN_CAP,Cơ quan cấp giấy phép thành lập,,
THONG_TIN_DK_THUE,SO_QUYET_DINH,Số quyết định thành lập,,
THONG_TIN_DK_THUE,NGAY_BAN_HANH,Ngày ban hành quyết định,,
THONG_TIN_DK_THUE,CO_QUAN_BAN_HANH,Cơ quan ban hành quyết định thành lập,,
THONG_TIN_DK_THUE,DON_VI_CHU_QUAN,Đơn vị chủ quan/ đơn vị quản lý trực thuộc,,
THONG_TIN_DK_THUE,NGAY_BD_HDKD,Ngày bắt đầu hoạt động kinh doanh,,
THONG_TIN_DK_THUE,TEN_NGUOI_DAI_DIEN_KD,Tên người đại diện kinh doanh,,
THONG_TIN_DK_THUE,SO_CMT,Số CMT/ hộ chiếu người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,,
THONG_TIN_DK_THUE,SO_DIEN_THOAI,Số ĐT người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,,
THONG_TIN_DK_THUE,TEN_GIAM_DOC,Tên giám đốc/ tổng giám đốc,,
THONG_TIN_DK_THUE,SO_DIEN_THOAI_GD,Số điện thoại giám đốc/ tổng giám đốc,,
THONG_TIN_DK_THUE,TRANG_THAI_HOAT_DONG,"Trạng thái hoạt động:
00, 04: Đang hoạt động; 01: Tổ chức ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 03: Tổ chức ngừng hoạt động nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 05: Ngừng kinh doanh có thời hạn; 06: Không hoạt động tại địa chỉ đã đăng ký",,
THONG_TIN_DK_THUE,LY_DO_NGUNG_HOAT_DONG,Lý do ngừng hoạt động,,
THONG_TIN_DK_THUE,LOAI_NGUNG_HOAT_DONG,"Loạt ngừng hoạt động:
1. Giải thể ; 2. Phá sản; 3. Chuyển đổi loại hình doanh nghiệp, tổ chức sắp xếp loại doanh nghiệp; 4. Cho làm thủ tục giải thể; 5. Cho làm thủ tục phá sản; 6. Cho làm thủ tục tổ chức lại tổ chức kinh tế; 7. Bị thu hồi giấy phép hoạt động; 8. Đóng theo đơn vị chủ quản (đối với MST 13 số); 9. Khác",,
THONG_TIN_DK_THUE,CO_QUAN_QUAN_LY_TRUC_TIEP,Cơ quan quản lý trực tiếp,,
THONG_TIN_DK_THUE,MA_CQQL_QLT,Mã cơ quan quản lý thuế,,
THONG_TIN_DK_THUE,LOAITIEN_VON_DL_VN,Loại tiền vốn điều lệ,,
THONG_TIN_DK_THUE,SOTIEN_VON_DL_NN,Vốn điều lệ nước ngoài,,
THONG_TIN_DK_THUE,LOAITIEN_VON_DL_NN,Loại tiền vốn điều lệ nước ngoài,,
THONG_TIN_DK_THUE,DVCQ_VN_DIACHI,Địa chỉ đơn vị chủ quản,,
THONG_TIN_DK_THUE,MOTA_DIACHI_KD,Mô tả địa chỉ -  kinh doanh,,
THONG_TIN_DK_THUE,MA_TINH_KD,Mã tỉnh - kinh doanh,,
THONG_TIN_DK_THUE,MA_HUYEN_KD,Mã huyện - kinh doanh,,
THONG_TIN_DK_THUE,MA_XA_KD,Mã xã - kinh doanh,,
THONG_TIN_DK_THUE,DIEN_THOAI_KD,Điện thoại - kinh doanh,,
THONG_TIN_DK_THUE,EMAIL_KD,Email - kinh doanh,,
THONG_TIN_DK_THUE,FAX_KD,Fax - kinh doanh,,
THONG_TIN_DK_THUE,TAM_NGHI_TU_NGAY,Tạm nghỉ/Từ ngày,,
THONG_TIN_DK_THUE,TAM_NGHI_DEN_NGAY,Tạm nghỉ/Đến ngày,,
THONG_TIN_DK_THUE,TAM_NGHI_LY_DO,Lý do tạm nghỉ,,
THONG_TIN_DK_THUE,TAM_NGHI_SO_TBAO,Số thông báo - tạm nghỉ,,
THONG_TIN_DK_THUE,TAM_NGHI_NGAY_TB_NNT,Ngày thông báo  - tạm nghỉ,,
THONG_TIN_DK_THUE,NGUNG_HD_NGAY,Ngày ngừng hoạt động,,
THONG_TIN_DK_THUE,NGUNG_HD_LY_DO,Lý do ngừng hoạt động,,
THONG_TIN_DK_THUE,NGUNG_HD_GHI_CHU,Ghi chú ngừng hoạt động,,
THONG_TIN_DK_THUE,NGUNG_HD_SO_TBAO,Số thông báo ngừng hoạt động,,
THONG_TIN_DK_THUE,TEN_TRANG_THAI,Tên trạng thái người nộp thuế,,
THONG_TIN_DK_THUE,MA_NGANH,Mã ngành nghề kinh doanh,,
THONG_TIN_DK_THUE,TEN_TINH_KD,Tên tỉnh - Kinh doanh,,
THONG_TIN_DK_THUE,TEN_HUYEN_KD,Tên huyện - KD,,
THONG_TIN_DK_THUE,TEN_XA,Tên xã - KD,,
UBCK_XU_PHAT,ID,,PK,
UBCK_XU_PHAT,SO_QD_GD,Số quyết định xử phạt,,
UBCK_XU_PHAT,NGAY_QD,Ngày quyết định xử phạt,,
UBCK_XU_PHAT,TEN,Tên đối tượng bị xử phạt,,
UBCK_XU_PHAT,DIA_CHI,Địa chỉ trụ sở chính,,
UBCK_XU_PHAT,LV_HD,Lĩnh vực hoạt động,,
UBCK_XU_PHAT,MST,Mã số thuế,,
UBCK_XU_PHAT,TEN_NDD,Tên người đại diện pháp luật,,
UBCK_XU_PHAT,HANH_VI,Hành vi vi phạm,,
UBCK_XU_PHAT,SO_TIEN,Số tiền xử phạt,,
UBCK_XU_PHAT,HINH_THUC,Hình thức xử phạt bổ sung,,
UBCK_XU_PHAT,BIEN_PHAP,Biện pháp khắc phục hậu quả,,
UBCK_XU_PHAT,GOI_TIN_ID,ID gói tin,FK,FK suy luận → CAU_HINH_GOI_TIN.ID
UBCK_XU_PHAT,NGAY_CAP,Ngày cấp,,
UBCK_XU_PHAT,NOI_CAP,Nơi cấp,,
TCT_BAO_CAO,ID,,PK,
TCT_BAO_CAO,MA_DVU,Mã dịch vụ,,
TCT_BAO_CAO,TEN_DVU,Tên dịch vụ,,
TCT_BAO_CAO,PHIEN_BAN_DVU,Phiên bản dịch vụ,,
TCT_BAO_CAO,TT_NHACC_DVU,Thông tin nhà cung cấp dịch vụ,,
TCT_BAO_CAO,MA_TKHAI,Mã tờ khai,,
TCT_BAO_CAO,TEN_TKHAI,Tên tờ khai,,
TCT_BAO_CAO,MO_TA_BMAU,Mô tả biểu mẫu,,
TCT_BAO_CAO,PBAN_TKHAI_XML,Phiên bản tờ khai XML,,
TCT_BAO_CAO,LOAI_TKHAI,Loại tờ khai,,
TCT_BAO_CAO,SO_LAN,Số lần,,
TCT_BAO_CAO,KIEU_KY,Kiểu kỳ,,
TCT_BAO_CAO,KY_KKHAI,Kỳ kê khai,,
TCT_BAO_CAO,KY_KKHAI_TU_NGAY,Kỳ kê khai từ ngày,,
TCT_BAO_CAO,KY_KKHAI_DEN_NGAY,Kỳ kê khai đến ngày,,
TCT_BAO_CAO,KY_KKHAI_TU_THANG,Kỳ kê khai từ tháng,,
TCT_BAO_CAO,KY_KKHAI_DEN_THANG,Kỳ kê khai đến tháng,,
TCT_BAO_CAO,MA_CQTHUE_NOI_NOP,Mã cơ quan thuế nơi nộp,,
