Stt,Yêu cầu người sử dụng,Ý nghĩa
1,Đồng bộ Danh mục Quốc gia từ HTTT về ứng dụng Kho CSDL,Danh mục Quốc gia
2,Đồng bộ Danh mục Vùng/miền từ HTTT về ứng dụng Kho CSDL,Danh mục Vùng/miền
3,Đồng bộ Danh mục Tỉnh/Thành phố (cũ) từ HTTT về ứng dụng Kho CSDL,Danh mục Tỉnh/Thành phố (cũ)
4,Đồng bộ Danh mục Tỉnh/Thành phố (mới) từ HTTT về ứng dụng Kho CSDL,Danh mục Tỉnh/Thành phố (mới)
5,Đồng bộ Danh mục Quận/Huyện (cũ) từ HTTT về ứng dụng Kho CSDL,Danh mục Quận/Huyện (cũ)
6,Đồng bộ Danh mục Phường/Xã/Thị trấn (cũ) từ HTTT về ứng dụng Kho CSDL,Danh mục Phường/Xã/Thị trấn (cũ)
7,Đồng bộ Danh mục Phường/Xã/Thị trấn (mới) từ HTTT về ứng dụng Kho CSDL,Danh mục Phường/Xã/Thị trấn (mới)
8,Đồng bộ Danh mục đơn vị/phòng ban từ HTTT về ứng dụng Kho CSDL,Danh mục đơn vị/phòng ban
9,Đồng bộ Danh mục loại chức vụ từ HTTT về ứng dụng Kho CSDL,Danh mục loại chức vụ
10,Đồng bộ Danh mục chức vụ từ HTTT về ứng dụng Kho CSDL,Danh mục chức vụ
11,Đồng bộ Danh mục đơn vị tiền tệ từ HTTT về ứng dụng Kho CSDL,Danh mục đơn vị tiền tệ
12,Đồng bộ Danh mục loại chứng khoán từ HTTT về ứng dụng Kho CSDL,Danh mục loại chứng khoán
13,Đồng bộ Danh mục thị trường từ HTTT về ứng dụng Kho CSDL,Danh mục thị trường
14,Đồng bộ Danh mục chứng khoán từ HTTT về ứng dụng Kho CSDL,Danh mục chứng khoán
15,Đồng bộ Danh mục mệnh giá cổ phần từ HTTT về ứng dụng Kho CSDL,Danh mục mệnh giá cổ phần
16,Đồng bộ Danh mục chỉ tiêu từ HTTT về ứng dụng Kho CSDL,Danh mục chỉ tiêu
17,Đồng bộ Danh mục loại báo cáo tài chính từ HTTT về ứng dụng Kho CSDL,Danh mục loại báo cáo tài chính
18,Đồng bộ Danh mục nghiệp vụ kinh doanh từ HTTT về ứng dụng Kho CSDL,Danh mục nghiệp vụ kinh doanh
19,Đồng bộ Danh mục loại chức vụ doanh nghiệp từ HTTT về ứng dụng Kho CSDL,Danh mục loại chức vụ doanh nghiệp
20,Đồng bộ Danh mục chức vụ trong doanh nghiệp từ HTTT về ứng dụng Kho CSDL,Danh mục chức vụ trong doanh nghiệp
21,Đồng bộ Danh mục loại công ty từ HTTT về ứng dụng Kho CSDL,Danh mục loại công ty
22,Đồng bộ Danh mục dịch vụ từ HTTT về ứng dụng Kho CSDL,Danh mục dịch vụ
23,Đồng bộ Danh mục sự vụ từ HTTT về ứng dụng Kho CSDL,Danh mục sự vụ
24,Đồng bộ Danh mục loại nhà đầu tư/cổ đông từ HTTT về ứng dụng Kho CSDL,Danh mục loại nhà đầu tư/cổ đông
25,Đồng bộ Danh mục loại đại lý từ HTTT về ứng dụng Kho CSDL,Danh mục loại đại lý
26,Đồng bộ Danh mục mối quan hệ từ HTTT về ứng dụng Kho CSDL,Danh mục mối quan hệ
27,Đồng bộ Danh mục trình độ từ HTTT về ứng dụng Kho CSDL,Danh mục trình độ
28,Đồng bộ Danh mục loại chứng chỉ hành nghề từ HTTT về ứng dụng Kho CSDL,Danh mục loại chứng chỉ hành nghề
29,Đồng bộ Thông tin ngày nghỉ từ HTTT về ứng dụng Kho CSDL,Thông tin ngày nghỉ
30,Đồng bộ Danh mục thủ tục hành chính từ HTTT về ứng dụng Kho CSDL,Danh mục thủ tục hành chính
31,Đồng bộ Danh mục thành phần TTHC từ HTTT về ứng dụng Kho CSDL,Danh mục thành phần TTHC
32,Đồng bộ Danh mục ngành nghề cấp 1 từ HTTT về ứng dụng Kho CSDL,Danh mục ngành nghề cấp 1
33,Đồng bộ Danh mục ngành nghề cấp 2 từ HTTT về ứng dụng Kho CSDL,Danh mục ngành nghề cấp 2
34,Đồng bộ Danh mục trạng thái duyệt từ HTTT về ứng dụng Kho CSDL,Danh mục trạng thái duyệt
35,Đồng bộ Danh mục loại tần suất từ HTTT về ứng dụng Kho CSDL,Danh mục loại tần suất
36,Đồng bộ Danh mục tần suất từ HTTT về ứng dụng Kho CSDL,Danh mục tần suất
37,Đồng bộ Danh mục loại cảnh báo từ HTTT về ứng dụng Kho CSDL,Danh mục loại cảnh báo
38,Đồng bộ Danh mục mức độ cảnh báo từ HTTT về ứng dụng Kho CSDL,Danh mục mức độ cảnh báo
39,Đồng bộ Danh mục loại trạng thái xử lý báo cáo từ HTTT về ứng dụng Kho CSDL,Danh mục loại trạng thái xử lý báo cáo
40,Đồng bộ Danh mục trạng thái xử lý cảnh báo từ HTTT về ứng dụng Kho CSDL,Danh mục trạng thái xử lý cảnh báo
41,Đồng bộ Danh mục loại trạng thái thông báo từ HTTT về ứng dụng Kho CSDL,Danh mục loại trạng thái thông báo
42,Đồng bộ Danh mục trạng thái thông báo từ HTTT về ứng dụng Kho CSDL,Danh mục trạng thái thông báo
43,Đồng bộ Danh mục loại hình doanh nghiệp từ HTTT về ứng dụng Kho CSDL,Danh mục loại hình doanh nghiệp
44,Đồng bộ Danh mục loại hình quỹ đầu tư từ HTTT về ứng dụng Kho CSDL,Danh mục loại hình quỹ đầu tư
45,Đồng bộ Danh mục trạng thái hoạt động từ HTTT về ứng dụng Kho CSDL,Danh mục trạng thái hoạt động
46,Đồng bộ Danh mục loại hình cổ đông/nhà đầu tư từ HTTT về ứng dụng Kho CSDL,Danh mục loại hình cổ đông/nhà đầu tư
