Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
COUNTRY,ID,VARCHAR2(36 CHAR),Khóa chính (UUIDv7),PK,
COUNTRY,CODE,VARCHAR2(20 CHAR),Mã quốc gia,,
COUNTRY,NAME_VN,VARCHAR2(255 CHAR),Tên tiếng Việt,,
COUNTRY,NAME_EN,VARCHAR2(255 CHAR),Tên tiếng Anh,,
COUNTRY,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
COUNTRY,DISPLAY_LABEL,VARCHAR2(255 CHAR),Nhãn hiển thị,,
COUNTRY,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
COUNTRY,ACTIVE_REASON,CLOB,Lý do hoạt động,,
COUNTRY,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
COUNTRY,DELETED_REASON,CLOB,Lý do xóa,,
COUNTRY,VERSION,NUMBER(MAX),Phiên bản,,
COUNTRY,EFFECTIVE_START_DATE,TIMESTAMP(6),Ngày bắt đầu,,
COUNTRY,EFFECTIVE_END_DATE,TIMESTAMP(6),Ngày kết thúc,,
COUNTRY,OLD_ID,VARCHAR2(36 CHAR),ID cũ,,
COUNTRY,CREATED_AT,TIMESTAMP(6),Ngày tạo,,
COUNTRY,UPDATED_AT,TIMESTAMP(6),Ngày cập nhật,,
COUNTRY,CREATED_BY_ID,VARCHAR2(36 CHAR),Người tạo,,FK suy luận → UBCK_STAFF.ID
COUNTRY,CREATED_BY_NAME,VARCHAR2(255 CHAR),Tên người tạo,,FK suy luận → UBCK_STAFF.ID
COUNTRY,UPDATED_BY_ID,VARCHAR2(36 CHAR),Người cập nhật,,FK suy luận → UBCK_STAFF.ID
COUNTRY,UPDATED_BY_NAME,VARCHAR2(255 CHAR),Tên người cập nhật,,FK suy luận → UBCK_STAFF.ID
COUNTRY,STABLE_ID,VARCHAR2(36 CHAR),ID ổn định,,
COUNTRY,IDX_COUNTRY_ACTIVE,"ACTIVE, DELETED",,,
COUNTRY,IDX_COUNTRY_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
COUNTRY,IDX_COUNTRY_OLD_ID,OLD_ID,,,
COUNTRY,IDX_COUNTRY_STABLE_ID,STABLE_ID,,,
REGION,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
REGION,CODE,VARCHAR2(50 CHAR),*Mã **vùng*,,
REGION,NAME,VARCHAR2(255 CHAR),*Tên phân hệ*,,
REGION,COUNTRY_ID,VARCHAR2(36 CHAR),*Id country*,,FK suy luận → COUNTRY.ID
REGION,ACTIVE,NUMBER(1),"*Trạng thái (1: Active, 0: unactive)*",,
REGION,ACTIVE_REASON,CLOB,*Thời điểm tạo*,,
REGION,DELETED,NUMBER(1),*Thời điểm cập nhật*,,
REGION,VERSION,NUMBER(MAX),*Phiên bản*,,
REGION,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
REGION,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
REGION,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
REGION,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
REGION,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
REGION,CREATED_BY_ID,VARCHAR2(36 CHAR),*ID người tạo*,,FK suy luận → UBCK_STAFF.ID
REGION,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
REGION,UPDATED_BY_ID,VARCHAR2(36 CHAR),*ID người cập nhật*,,FK suy luận → UBCK_STAFF.ID
REGION,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
REGION,STABLE_ID,VARCHAR2(36 CHAR),*ID ổn định*,,
REGION,COUNTRY_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản cụ thể của quốc gia *,,
REGION,IDX_REGION_COUNTRY_ID,COUNTRY_ID,,,
REGION,IDX_REGION_ACTIVE,"ACTIVE, DELETED",,,
REGION,IDX_REGION_OLD_ID,OLD_ID,,,
REGION,IDX_REGION_STABLE_ID,STABLE_ID,,,
PROVINCE_NEW,ID,VARCHAR2(36 CHAR),Khóa chính (UUIDv7),PK,
PROVINCE_NEW,CODE,VARCHAR2(20 CHAR),*Mã tỉnh/thành phố'*,,
PROVINCE_NEW,NAME_VN,VARCHAR2(255 CHAR),*Tên tiếng Việt*,,
PROVINCE_NEW,NAME_EN,VARCHAR2(255 CHAR),*Tên tiếng Anh*,,
PROVINCE_NEW,REGION_ID,VARCHAR2(36 CHAR),*Stable Id** vùng/miền* *(Tham chiếu region.**stableId**)*,,FK suy luận → REGION.ID
PROVINCE_NEW,COUNTRY_ID,VARCHAR2(36 CHAR),*Stable Id** **quốc gia (tham **chiếu country.** stableId**)*,,FK suy luận → COUNTRY.ID
PROVINCE_NEW,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
PROVINCE_NEW,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
PROVINCE_NEW,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
