Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
USERS,Id,ID bản ghi,PK,
USERS,Deleted,Trạng thái xóa bản ghi: 0: Chưa xóa 1: Đã xóa,,
USERS,DateCreated,Ngày tạo,,
USERS,CreatedBy,Người tạo,,
USERS,DateModified,Ngày sửa,,
USERS,ModifyBy,Người sửa,,
USERS,UserName,Tài khoản,,
USERS,DisplayName,Họ tên,,
USERS,Password,Mật khẩu,,
USERS,Status,Trạng thái: 1: Hoạt động 0: Khóa,,
USERS,DateLogined,Ngày đăng nhập gần nhất,,
USERS,DateChangePassword,Ngày thay đổi mật khẩu,,
USERS,OrgPassword,Mật khẩu cũ,,
USERS,IsCer,Chứng thư số: 1: Sử dụng 0: Không sử dụng,,
USERS,Email,Email,,
USERS,IsDataMigration,Dữ liệu được đồng bộ: 1: Đồng bộ 0: Không đồng bộ,,
USERS,Description,Ghi chú,,
USERS,DepartmentId,Phòng ban: Dữ liệu lấy từ trường ID của bảng DEPARTMENT,FK,FK → DEPARTMENT.Id
USERS,JobTypeId,Chức vụ. Dữ liệu lấy từ trường ID của bảng JOBTYPE,FK,FK → JOBTYPE.Id
USERS,SystemObject,Loại đối tượng: 0: Ủy ban chứng khoán Nhà nước 1: Công ty QLQ 2: Công ty chứng khoán 3: Ngân hàng lưu ký 4: Trung tâm lưu ký 5: Sở giao dịch CK 6: Người đại diện CBTT 7: CN công ty QLQ NN tại VN,,
USERS,UnitId,ID Đơn vị. Dữ liệu lấy từ trường ID của bảng UNIT,FK,FK → UNIT.Id
USERS,AccountType,Loại tài khoản: 0: Tài khoản hệ thống 1: tài khoản gửi báo cáo,,
USERS,FundComId,ID đối tượng gửi báo cáo là công ty QLQ. Dữ liệu được lấy từ trường ID của bảng FUNDCOMPANY,FK,FK → FUNDCOMPANY.Id
USERS,SecComId,ID đối tượng gửi báo cáo là công ty chứng khoán. Dữ liệu được lấy từ trường ID của bảng SECURITIESCOMPANY,FK,FK → SECURITIESCOMPANY.Id
USERS,BankId,ID đối tượng gửi báo cáo là công ty ngân hàng lưu ký. Dữ liệu được lấy từ trường ID của bảng BANKMONI,FK,FK → BANKMONI.Id
