Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
AGENCIES,Id,RAW(16),Mã ID đại lý quỹ đầu tư (PK),PK,
AGENCIES,Name,NVARCHAR2(3000),Tên đại lý,,
AGENCIES,ShortName,NVARCHAR2(300),Tên viết tắt,,
AGENCIES,AgencyTypeId,RAW(16),Mã ID loại đại lý. FK → AGENCYTYPE.Id,FK,FK → AGENCYTYPE.Id
AGENCIES,Address,NVARCHAR2(3000),Địa chỉ,,
AGENCIES,Status,RAW(16),Mã ID trạng thái. FK → STATUS.Id,FK,FK → STATUS.Id
AGENCIES,Deleted,NUMBER(22),Trạng thái bản ghi,,
AGENCIES,CreatedBy,NVARCHAR2(300),Người tạo,,
AGENCIES,DateCreated,DATE,Ngày tạo,,
AGENCIES,DateModified,DATE,Ngày sửa,,
AGENCIES,ModifyBy,NVARCHAR2(300),Người sửa,,
AGENCIESBRA,Id,RAW(16),Mã ID CN/PGD đại lý quỹ đầu tư (PK),PK,
AGENCIESBRA,AgnId,RAW(16),Mã ID đại lý. FK → AGENCIES.Id,FK,FK → AGENCIES.Id
AGENCIESBRA,Name,NVARCHAR2(3000),Tên CN/PGD đại lý,,
AGENCIESBRA,Address,NVARCHAR2(3000),Địa chỉ CN/PGD,,
AGENCIESBRA,Status,NUMBER(22),Trạng thái,,
AGENCIESBRA,Deleted,NUMBER(22),Trạng thái bản ghi,,
AGENCIESBRA,DateCreated,DATE,Ngày tạo,,
AGENCIESBRA,DateModified,DATE,Ngày sửa,,
AGENCYTYPE,Id,RAW(16),Mã ID loại đại lý (PK),PK,
AGENCYTYPE,Name,NVARCHAR2(3000),Tên loại đại lý,,
AGENCYTYPE,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
AGENCYTYPE,IsDeleted,NUMBER(22),Trạng thái bản ghi,,
AGENCYTYPE,DateCreated,DATE,Ngày tạo,,
AGENCYTYPE,DateModified,DATE,Ngày sửa,,
AGENFUNDS,AgnId,RAW(16),Mã ID đại lý. FK → AGENCIES.Id,,FK suy luận → AGENCIES.Id
AGENFUNDS,FndId,RAW(16),Mã ID quỹ đầu tư. FK → FUNDS.Id,,FK suy luận → FUNDS.Id
BANKMONI,Id,RAW(16),Mã ID ngân hàng LKGS. Mã hệ thống tự sinh (PK),PK,
BANKMONI,Name,NVARCHAR2(3000),Tên ngân hàng LKGS,,
BANKMONI,ShortName,NVARCHAR2(300),Tên viết tắt,,
BANKMONI,Address,NVARCHAR2(3000),Địa chỉ,,
BANKMONI,Telephone,NVARCHAR2(300),Điện thoại,,
BANKMONI,Email,NVARCHAR2(300),Email,,
BANKMONI,Status,RAW(16),Mã ID trạng thái. FK → STATUS.Id,FK,FK → STATUS.Id
BANKMONI,Deleted,NUMBER(22),Trạng thái bản ghi,,
BANKMONI,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
BANKMONI,CreatedBy,NVARCHAR2(300),Người tạo,,
BANKMONI,DateCreated,DATE,Ngày tạo,,
BANKMONI,DateModified,DATE,Ngày sửa,,
BANKMONI,ModifyBy,NVARCHAR2(300),Người sửa,,
