STT,Tên bảng,Ý nghĩa bảng
1,AGENCIES,Danh sách đại lý Quỹ đầu tư
2,AGENCIESBRA,Danh sách CN/PGD của đại lý Quỹ đầu tư
3,AGENCYTYPE,Danh sách loại đại lý
4,AGENFUNDS,Bảng trung gian Map đại lý và quỹ đầu tư
5,BANKMONI,Danh sách ngân hàng lưu ký giám sát (LKGS)
6,BRANCHES,Danh sách CN/VPĐD công ty QLQ trong nước
7,BRCHBUP,Lịch sử chi tiết CN/VPĐD công ty QLQ trong nước
8,BUSINESS,Danh mục ngành nghề kinh doanh
9,CALENDAR,Danh sách lịch làm việc và lịch nghỉ
10,CERTFCATE,Danh sách chứng thư số của thành viên thị trường
11,DTSCBMN,Phân quyền dữ liệu ngân hàng LKGS cho chuyên viên QLQ
12,DTSCFND,Phân quyền dữ liệu QĐT cho chuyên viên vụ QLQ
13,DTSCFR,Phân quyền dữ liệu VPĐD/CN công ty QLQ NN cho chuyên viên
14,DTSCOPE,Phân quyền dữ liệu – phạm vi
15,FGBRBUP,Lịch sử chi tiết VPĐD/CN công ty QLQ NN tại VN
16,FGBUSINESS,Ngành nghề kinh doanh VPĐD/CN công ty QLQ NN tại VN
17,FNDBUP,Bản ghi chi tiết lịch sử quỹ đầu tư
18,FNDSBMN,Bảng trung gian FUNDS & BANKMONI
19,FORBRCH,Danh sách VPĐD/CN công ty QLQ NN tại VN
20,FUNDHISTORY,Lịch sử quỹ đầu tư
21,FUNDS,Danh sách quỹ đầu tư chứng khoán
22,INVES,Danh sách nhà đầu tư ủy thác
23,INVESACC,Danh sách tài khoản nhà đầu tư ủy thác
24,JOBTYPE,Danh sách loại chức vụ
25,LOCATION,Danh sách tỉnh/thành phố
26,MBCHANGE,Lịch sử thay đổi vốn góp nhà đầu tư quỹ
27,MBFUND,Danh sách nhà đầu tư quỹ
28,MENUS,Danh mục quyền chức năng
29,NATIONAL,Danh sách quốc gia/quốc tịch
30,NOTIFICATION,Thông báo hệ thống
31,PARAWARN,Danh sách tham số cảnh báo
32,PARVALUE,Danh sách mệnh giá cổ phần
33,RANK,Bảng xếp hạng theo kỳ đánh giá
34,RATINGPD,Danh sách kỳ đánh giá xếp loại
35,REFRESHTOKEN,Phiên làm việc (Token đăng nhập)
36,RELATION,Mối quan hệ cổ đông
37,REPRESENT,Danh sách ban đại diện/HĐQT Quỹ đầu tư
38,RNKFACTHISTORY,Lưu kết quả các lần lưu bảng tổng hợp đánh giá
39,RNKFACTOR,Bảng chấm điểm đánh giá xếp loại (nhân tố cha/con)
40,RNKGRFTOR,Bảng trung gian Ranks và RNKFACTOR
41,ROLES,Nhóm quyền chức năng
42,ROLESMENUS,Phân quyền menu theo nhóm quyền
43,RPTHTORY,Lịch sử thay đổi báo cáo đầu vào
44,RPTMBHS,Lịch sử báo cáo thành viên
45,RPTMEMBER,Báo cáo định kỳ của thành viên thị trường
46,RPTPDSHT,Bảng trung gian SHEETS và RPTPERIOD
47,RPTPERIOD,Kỳ báo cáo
48,RPTPROCESS,Lịch sử xử lý báo cáo thành viên
49,RPTTEMP,Danh sách biểu mẫu báo cáo đầu vào
50,RPTTPOUT,Danh sách biểu mẫu báo cáo đầu ra
51,RPTVALUES,Báo cáo giá trị – lưu dữ liệu import
52,SECBUP,Lịch sử chi tiết công ty QLQ (2 bản ghi trước/sau)
53,SECBUSINES,Ngành nghề kinh doanh của công ty QLQ
54,SECHISTORY,Lịch sử thông tin công ty QLQ
55,SECURITIES,Danh sách công ty QLQ trong nước
56,SECURITIESREPORT,Thiết lập hiển thị báo cáo công ty QLQ
57,SELFSETPD,Thành viên tự thiết lập gửi báo cáo
58,SHEET,Danh sách sheet báo cáo đầu vào
59,SHEETOUT,Danh sách sheet báo cáo đầu ra
60,STAKE,Danh sách các bên liên quan
61,STATUS,Danh sách trạng thái hoạt động
62,STFFGBRCH,Danh sách nhân sự VPĐD/CN công ty QLQ NN
63,STOCKHOLDERTYPE,Danh sách loại hình NĐT/cổ đông
64,STTRGTOUT,Cấu hình lấy dữ liệu báo cáo đầu ra
65,SYSEMAIL,Nội dung trao đổi thông tin
66,SYSVAR,Danh sách tham số hệ thống
67,TABSINFO,Thiết lập hiển thị dữ liệu
68,TLPRHISTORY,Lịch sử nhân sự
69,TLPROBUP,Chi tiết lịch sử nhân sự (2 bản ghi trước/sau)
70,TLProfiles,Danh sách nhân sự công ty QLQ
71,TOTSTTG,Bảng trung gian Cấu hình dữ liệu đầu ra với ô dữ liệu
72,TPOUTHTORY,Lịch sử thay đổi báo cáo đầu ra
73,TRANSFERMBF,Danh sách giao dịch chứng chỉ quỹ
74,TRSFERINDER,Danh sách giao dịch chuyển nhượng cổ phần
75,USERRPTO,Phân quyền người dùng UBCK với báo cáo đầu ra
76,USERS,Quản lý người dùng hệ thống
77,USERSESSIONS,Quản lý tài khoản đang truy cập
78,USERSMENUS,Phân quyền chức năng cho người dùng
79,VIOLT,Danh sách vi phạm
