STT,Tên bảng,Ý nghĩa bảng
1,INVESTOR_ACCOUNT,Thông tin tài khoản nhà đầu tư
2,INVESTOR_ACCOUNT_EXTEND_INFO,Thông tin mở rộng tài khoản nhà đầu tư
3,INVESTOR_ACCOUNT_HISTORY,Lịch sử thay đổi tài khoản
4,ACCOUNT_FINANCIAL_SERVICE,Dịch vụ tài chính của tài khoản
5,ACCOUNT_AUTHORIZATION,Thông tin ủy quyền tài khoản
6,ACCOUNT_GROUP,Nhóm tài khoản
7,ACCOUNT_GROUP_MEMBER,Thành viên nhóm tài khoản
8,ACCOUNT_GROUP_HISTORY,Lịch sử thay đổi nhóm tài khoản
9,ACCOUNT_RELATIONSHIP,Mối quan hệ giữa các tài khoản
10,COMPANY_EVENT,Sự kiện tổ chức niêm yết
11,COMPANY_EVENT_HISTORY,Lịch sử thay đổi sự kiện tổ chức niêm yết
12,SECURITIES_GROUP,Nhóm chứng khoán
13,SECURITIES_GROUP_MEMBER,Thành viên nhóm chứng khoán
14,SECURITIES_GROUP_HISTORY,Lịch sử thay đổi nhóm chứng khoán
15,CASE_FILE,Vụ việc
16,CASE_FILE_SECURITIES_CODE,Bảng trung gian giữa vụ việc và mã chứng khoán
17,CASE_ATTACH_FILE,File đính kèm vụ việc
18,CASE_FILE_WORKFLOW,Quy trình xử lý vụ việc
19,CASE_APPROVAL_STEP,Tiến trình gửi duyệt vụ việc
20,SUSPICIOUS_ACCOUNT,Tài khoản nghi vấn
21,SUSPICIOUS_ACCOUNT_GROUP,Nhóm tài khoản nghi vấn
22,ANALYSIS_REPORT,Báo cáo phân tích
23,ANALYSIS_ATTRIBUTE_DEFINE,Định nghĩa tiêu chí/công thức phân tích vụ việc
24,ANALYSIS_ATTRIBUTE_VALUE,Giá trị tiêu chí phân tích theo từng vụ việc/quy trình
25,ANALYSIS_DEFINE_REPORT_TEMPLATE,Tham số cấu hình các biểu mẫu báo cáo
26,ANALYSIS_EXECUTION_LOG,Thông tin trạng thái phân tích quy trình của từng biểu mẫu
27,ANALYSIS_SUSPICIOUS_ACCOUNT_CODE,Thông tin tài khoản nghi vấn của từng biểu mẫu
28,ANALYSIS_SUSPICIOUS_ACCOUNT,Phân tích tài khoản nghi vấn
29,ANALYSIS_ACCOUNT_RELATIONSHIP,Phân tích mối quan hệ giữa các tài khoản nghi vấn
