Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
COMPANY_PROFILES,ID,"NUMBER(19,0)",Khóa chính,PK,
COMPANY_PROFILES,COMPANY_NAME_VN,VARCHAR2(1020),Tên công ty (tiếng Việt),,
COMPANY_PROFILES,COMPANY_NAME_EN,VARCHAR2(1020),Tên công ty (tiếng Anh),,
COMPANY_PROFILES,BUSINESS_REG_NO,VARCHAR2(400),Mã số thuế,,
COMPANY_PROFILES,FIRST_REG_DATE,DATE,Ngày đăng ký lần đầu,,
COMPANY_PROFILES,LATEST_REG_DATE,DATE,Ngày đăng ký thay đổi gần nhất,,
COMPANY_PROFILES,LATEST_REG_PROV,VARCHAR2(200),Tỉnh/TP đăng ký gần nhất,,
COMPANY_PROFILES,CAPITAL_PAID_REPORTED,"NUMBER(18,0)",Vốn điều lệ,,
COMPANY_PROFILES,TREASURY_SHARES,"NUMBER(19,0)",Cổ phiếu quỹ,,
COMPANY_PROFILES,HEAD_OFFICE_ADDR,VARCHAR2(1020),Địa chỉ trụ sở,,
COMPANY_PROFILES,PROVINCE_ID,VARCHAR2(200),Tỉnh/TP,,FK suy luận → PROVINCES.ID
COMPANY_PROFILES,TRADING_OFFICE_ADDR,VARCHAR2(1020),Địa chỉ giao dịch,,
COMPANY_PROFILES,WEBSITE,VARCHAR2(1020),Website,,
COMPANY_PROFILES,PHONE_NO,VARCHAR2(80),Số điện thoại,,
COMPANY_PROFILES,FAX_NO,VARCHAR2(80),Số fax,,
COMPANY_PROFILES,CATEGORY_L1_ID,"NUMBER(19,0)",Ngành cấp 1,,FK suy luận → CATEGORIES.ID
COMPANY_PROFILES,CATEGORY_L2_ID,"NUMBER(19,0)",Ngành cấp 2,,FK suy luận → CATEGORIES.ID
COMPANY_PROFILES,ENTERPRISE_TYPE_CD,VARCHAR2(400),Loại doanh nghiệp,,
COMPANY_PROFILES,FINANCIAL_STMT_TYPE_CD,VARCHAR2(400),Loại báo cáo tài chính,,
COMPANY_PROFILES,SECURITIES_TYPE_CD,VARCHAR2(400),Loại chứng khoán,,
COMPANY_PROFILES,EQUITY_LISTING_EXCH,VARCHAR2(400),Sàn niêm yết,,
COMPANY_PROFILES,EQUITY_TICKER,VARCHAR2(80),Mã cổ phiếu,,
COMPANY_PROFILES,EQUITY_SECURITY_FLG,"NUMBER(1,0)",Cờ chứng khoán cổ phiếu,,
COMPANY_PROFILES,EQUITY_LISTED_QTY,"NUMBER(19,0)",Số lượng cổ phiếu niêm yết,,
COMPANY_PROFILES,BOND_LISTING_EXCH,VARCHAR2(80),Sàn trái phiếu,,
COMPANY_PROFILES,BOND_TICKER,VARCHAR2(80),Mã trái phiếu,,
COMPANY_PROFILES,BOND_SECURITY_FLG,"NUMBER(1,0)",Cờ chứng khoán trái phiếu,,
COMPANY_PROFILES,BOND_LISTED_QTY,"NUMBER(19,0)",Số lượng trái phiếu niêm yết,,
COMPANY_PROFILES,INTL_EXCH,VARCHAR2(80),Sàn quốc tế,,
COMPANY_PROFILES,INTL_TICKER,VARCHAR2(80),Mã quốc tế,,
COMPANY_PROFILES,STATUS_IDS_CD,VARCHAR2(400),Trạng thái,,
COMPANY_PROFILES,AUTO_APPROVAL_FLG,"NUMBER(1,0)",Tự động phê duyệt,,
COMPANY_PROFILES,COMPANY_LOGIN,VARCHAR2(200),Tài khoản đăng nhập,,
