Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
AUDITOR,ID,NUMBER,Khóa chính của bản ghi (ID số tự tăng),PK,
AUDITOR,AUDIT_FIRM_ID,NUMBER,FK -> audit_firm: Công ty kiểm toán của kiểm toán viên,FK,FK → AUDIT_FIRM.ID
AUDITOR,AUDITOR_NAME,VARCHAR2(200 CHAR),Họ tên kiểm toán viên,,
AUDITOR,PRACTICE_CERT_NUMBER,VARCHAR2(50 CHAR),Số chứng chỉ hành nghề kiểm toán,,
AUDITOR,APPROVAL_DATE,DATE,Ngày UBCKNN chấp thuận kiểm toán viên,,
AUDITOR,APPROVAL_REVOCATION_DATE,DATE,Ngày UBCKNN hủy chấp thuận kiểm toán viên,,
AUDIT_FIRM,ID,NUMBER,Khóa chính của bản ghi (ID số tự tăng),PK,
AUDIT_FIRM,DECISION_NUMBER,VARCHAR2(200 CHAR),Số quyết định thành lập/xử phạt,,
AUDIT_FIRM,DECISION_DATE,DATE,Ngày ban hành quyết định,,
AUDIT_FIRM,NAME,VARCHAR2(300 CHAR),Tên đầy đủ,,
AUDIT_FIRM,ADDRESS,VARCHAR2(500 CHAR),Địa chỉ,,
AUDIT_FIRM,PHONE,VARCHAR2(100 CHAR),Số điện thoại liên hệ,,
AUDIT_FIRM,FAX,VARCHAR2(100 CHAR),Số fax,,
AUDIT_FIRM,APPROVAL_YEAR,VARCHAR2(100 CHAR),Năm chấp thuận tổ chức kiểm toán được kiểm toán cho ĐVLICK,,
AUDIT_FIRM,APPROVED_AUDITOR_COUNT,VARCHAR2(20 CHAR),Số lượng kiểm toán viên được chấp thuận trong công ty,,
AUDIT_FIRM,TAX_CODE,VARCHAR2(100 CHAR),Mã số thuế doanh nghiệp,,
AUDIT_FIRM,MSG_PACKET_ID,NUMBER,FK -> msg_packet: Gói tin trao đổi liên quan,FK,FK → MSG_PACKET.ID
AUDIT_FIRM,BUSINESS_REG_CERT,VARCHAR2(100 BYTE),Số giấy phép đăng ký kinh doanh của công ty kiểm toán,,
AUDIT_FIRM,GUID,VARCHAR2(50 BYTE),Định danh duy nhất toàn cục (GUID/UUID) của bản ghi,,
CATALOG,ID,NUMBER,Khóa chính của bản ghi (ID số tự tăng),PK,
CATALOG,CODE,VARCHAR2(100 CHAR),Mã định danh (mã viết tắt nghiệp vụ),,
CATALOG,NAME,VARCHAR2(200 CHAR),Tên đầy đủ,,
CATALOG,CATALOG_GROUP_ID,NUMBER,FK -> catalog_group: Nhóm danh mục chứa mục này,FK,FK → CATALOG_GROUP.ID
CATALOG_GROUP,ID,NUMBER,Khóa chính của bản ghi (ID số tự tăng),PK,
CATALOG_GROUP,CODE,VARCHAR2(100 CHAR),Mã định danh (mã viết tắt nghiệp vụ),,
