Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
JAD_MARKETINFOR,HISTORYID,character varying,ID unique để lưu lịch sử,,
JAD_MARKETINFOR,ID,character varying,ID jadapter sinh,,
JAD_MARKETINFOR,MARKETINDEX,double precision,Giá trị index,,
JAD_MARKETINFOR,INDEXTIME,character varying,Thời gian ghi nhận,,
JAD_MARKETINFOR,INDEXCOLOR,character varying,Indicator index đang tăng/giảm,,
JAD_MARKETINFOR,INDEXCHANGE,double precision,Giá trị index thay đổi so với index cuối ngày hôm trước,,
JAD_MARKETINFOR,INDEXPERCENTCHANGE,double precision,% index thay đổi so với index cuối ngày hôm trước,,
JAD_MARKETINFOR,TOTALVOLUME,double precision,Tổng khối lượng đã khớp,,
JAD_MARKETINFOR,TOTALVALUE,double precision,Tổng giá trị đã khớp,,
JAD_MARKETINFOR,MARKETSTATUS,character varying,Trạng thái index,,
JAD_MARKETINFOR,ADVANCES,integer,Số lượng mã tăng,,
JAD_MARKETINFOR,DECLINES,integer,Số lượng mã giảm,,
JAD_MARKETINFOR,NOCHANGE,integer,Số lượng mã CK không tăng/giảm,,
JAD_MARKETINFOR,ADVANCESVOLUMN,bigint,Tổng khối lượng đã khớp của các mã tăng,,
JAD_MARKETINFOR,DECLINESVOLUMN,bigint,Tổng khối lượng đã khớp của các mã giảm,,
JAD_MARKETINFOR,NOCHANGEVOLUMN,bigint,Giá trị đã khớp mã CK không tăng/giảm,,
JAD_MARKETINFOR,MARKETID,character varying,ID thị trường - FSS tự quy định,,
JAD_MARKETINFOR,MARKETCODE,character varying,Mã thị trường - FSS tự quy định,,
JAD_MARKETINFOR,PRV_PRIOR_MARKET_INDEX,double precision,Index cuối cùng của phiên trước đó,,
JAD_MARKETINFOR,PT_TOTAL_QTTY,bigint,Tổng khối lượng giao dịch thỏa thuận.,,
JAD_MARKETINFOR,PT_TOTAL_VALUE,double precision,Tổng giá trị giao dịch thỏa thuận,,
JAD_MARKETINFOR,PT_TOTAL_TRADE,double precision,Tổng số giao dịch thỏa thuận,,
JAD_MARKETINFOR,NUMBEROFCE,integer,Số lượng mã đang trần,,
JAD_MARKETINFOR,NUMBEROFFL,integer,Số lượng mã đang sàn,,
JAD_MARKETINFOR,ODDLOTTOTALVALUE,double precision,Giá trị khớp lô lẻ,,
JAD_MARKETINFOR,ODDLOTTOTALVOLUME,bigint,Khối lượng khớp lô lẻ,,
JAD_MARKETINFOR,TRADINGDATE,character varying,Ngày giao dịch,,
JAD_MARKETINFOR,TSCPRODGRPID,character varying,Mã sản giao dịch (hose/hnx/upcom),,
JAD_MARKETINFOR,HALTRSNCODE,character varying,Lý do thị trường bị halt,,
JAD_MARKETINFOR,INDEXTYPECODE,character varying,Loại index - 1 lại mã Sở quy đinh,,
JAD_MARKETINFOR,OPEN,double precision,Index mở cửa,,
JAD_MARKETINFOR,LOW,double precision,Giá index thấp nhất tính đến thời điểm hiện tại,,
JAD_MARKETINFOR,HIGH,double precision,Index cao nhất tính đến thời điểm hiện tại,,
JAD_STOCKINFOR,HISTORYID,character varying,id cho từng dòng,,
JAD_STOCKINFOR,KID,character varying,ID của mã do jadapter tự sinh,,
JAD_STOCKINFOR,SYMBOL,character varying,Mã chứng khoán,,
JAD_STOCKINFOR,STOCKID,character varying,ID của chứng khoán trong hệ thống Sở,,
JAD_STOCKINFOR,FULLNAME,character varying,Tên chứng khoán (Tiếng Việt),,
JAD_STOCKINFOR,TRADINGDATE,character varying,Ngày giao dịch format dd/mm/yyyy,,
JAD_STOCKINFOR,FLOORCODE,character varying,"Mã sàn: 02-hnx,04-upcom,10-hose, 03 FDS (phái sinh), 06 corp-bond",,
JAD_STOCKINFOR,STOCKTYPE,character varying,"Loại chứng khoán Đối với HNX: {""BO"", ""1""}, {""ST"", ""2""}, {""MF"", ""3""}, {""FU"", ""4""}, {""OP"", ""5""}, {""EF"", ""6""} --> 1 = Trái phiếu; 2 = Cổ phiếu; 3 = Chứng chỉ quỹ; 4 = Futures (Phái sinh - Hợp đồng tương lai); 5 = Options (Phái sinh - Hợp đồng quyền chọn); 6 = ETF BO, ST… đối chiếu với trường  SECURITYTYPE msg SI, DI Đối với HOSE:   B- 1: Trái phiếu   S- 2: Cổ phiếu   U- 3: Chứng chỉ quỹ""   D- 1: Trái phiếu chuyển đổi   E- 3: Chứng chỉ quỹ   W- 4: Chứng quyền Trường này dùng để phân biết mã chứng khoán thuộc tab nào trên bảng giá.",,
JAD_STOCKINFOR,CEILING,double precision,Giá trần,,
JAD_STOCKINFOR,FLOOR,double precision,Giá sàn,,
JAD_STOCKINFOR,REFERENCE,double precision,Giá tham chiếu,,
JAD_STOCKINFOR,BIDPRICE3,double precision,Giá mua top 3,,
JAD_STOCKINFOR,BIDVOL3,bigint,Khối lượng mua top 3,,
JAD_STOCKINFOR,BIDPRICE2,double precision,Giá mua top 2,,
JAD_STOCKINFOR,BIDVOL2,bigint,Khối lượng mua top 2,,
JAD_STOCKINFOR,BIDPRICE1,double precision,Giá mua top 1,,
JAD_STOCKINFOR,BIDVOL1,bigint,Khối lượng mua top 1,,
JAD_STOCKINFOR,CLOSEPRICE,double precision,Giá khớp gần nhất,,
JAD_STOCKINFOR,CLOSEVOL,bigint,KL khớp gần nhất,,
JAD_STOCKINFOR,CHANGE,double precision,Thay đổi giữa giá khớp gần nhất và giá tham chiếu (+/-),,
JAD_STOCKINFOR,OFFERPRICE1,double precision,Giá bán top 1,,
JAD_STOCKINFOR,OFFERVOL1,bigint,Khối lượng bán top 1,,
JAD_STOCKINFOR,OFFERPRICE2,double precision,Giá bán top 2,,
JAD_STOCKINFOR,OFFERVOL2,bigint,Khối lượng bán top 2,,
JAD_STOCKINFOR,OFFERPRICE3,double precision,Giá bán top 3,,
JAD_STOCKINFOR,OFFERVOL3,bigint,Khối lượng bán top 3,,
JAD_STOCKINFOR,TOTALTRADING,bigint,Tổng khối lượng khớp từ đầu ngày,,
JAD_STOCKINFOR,TOTALTRADINGVALUE,double precision,Tổng giá trị khớp từ đầu ngày,,
JAD_STOCKINFOR,AVERAGEPRICE,double precision,Giá khớp trung bình,,
