Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
BATCH_JOB_EXECUTION,JOB_EXECUTION_ID,,PK,
BATCH_JOB_EXECUTION,VERSION,,,
BATCH_JOB_EXECUTION,JOB_INSTANCE_ID,,FK,FK → BATCH_JOB_INSTANCE.JOB_INS
BATCH_JOB_EXECUTION,CREATE_TIME,,,
BATCH_JOB_EXECUTION,START_TIME,,,
BATCH_JOB_EXECUTION,END_TIME,,,
BATCH_JOB_EXECUTION,STATUS,,,
BATCH_JOB_EXECUTION,LAST_UPDATED,,,
BATCH_JOB_EXECUTION,EXIT_CODE,,,
BATCH_JOB_EXECUTION,EXIT_MESSAGE,,,
BATCH_JOB_EXECUTION_CONTEXT,JOB_EXECUTION_ID,,PK/FK,FK → BATCH_JOB_EXECUTION.JOB_EX
BATCH_JOB_EXECUTION_CONTEXT,SERIALIZED_CONTEXT,,,
BATCH_JOB_EXECUTION_CONTEXT,SHORT_CONTEXT,,,
BATCH_JOB_EXECUTION_PARAMS,JOB_EXECUTION_ID,,FK,FK → BATCH_JOB_EXECUTION.JOB_EX
BATCH_JOB_EXECUTION_PARAMS,PARAMETER_NAME,,,
BATCH_JOB_EXECUTION_PARAMS,PARAMETER_TYPE,,,
BATCH_JOB_EXECUTION_PARAMS,IDENTIFYING,,,
BATCH_JOB_EXECUTION_PARAMS,PARAMETER_VALUE,,,
BATCH_JOB_INSTANCE,JOB_INSTANCE_ID,,PK,
BATCH_JOB_INSTANCE,VERSION,,,
BATCH_JOB_INSTANCE,JOB_NAME,,,
BATCH_JOB_INSTANCE,JOB_KEY,,,
BATCH_STEP_EXECUTION,STEP_EXECUTION_ID,,PK,
BATCH_STEP_EXECUTION,VERSION,,,
BATCH_STEP_EXECUTION,STEP_NAME,,,
BATCH_STEP_EXECUTION,JOB_EXECUTION_ID,,FK,FK → BATCH_JOB_EXECUTION.JOB_EX
BATCH_STEP_EXECUTION,CREATE_TIME,,,
BATCH_STEP_EXECUTION,START_TIME,,,
BATCH_STEP_EXECUTION,END_TIME,,,
BATCH_STEP_EXECUTION,STATUS,,,
BATCH_STEP_EXECUTION,COMMIT_COUNT,,,
BATCH_STEP_EXECUTION,READ_COUNT,,,
BATCH_STEP_EXECUTION,FILTER_COUNT,,,
BATCH_STEP_EXECUTION,WRITE_COUNT,,,
BATCH_STEP_EXECUTION,READ_SKIP_COUNT,,,
BATCH_STEP_EXECUTION,WRITE_SKIP_COUNT,,,
BATCH_STEP_EXECUTION,PROCESS_SKIP_COUNT,,,
BATCH_STEP_EXECUTION,ROLLBACK_COUNT,,,
BATCH_STEP_EXECUTION,LAST_UPDATED,,,
BATCH_STEP_EXECUTION,EXIT_CODE,,,
BATCH_STEP_EXECUTION,EXIT_MESSAGE,,,
BATCH_STEP_EXECUTION_CONTEXT,STEP_EXECUTION_ID,,PK/FK,FK → BATCH_STEP_EXECUTION.STEP_
BATCH_STEP_EXECUTION_CONTEXT,SERIALIZED_CONTEXT,,,
BATCH_STEP_EXECUTION_CONTEXT,SHORT_CONTEXT,,,
DATABASECHANGELOG,ID,,,
DATABASECHANGELOG,AUTHOR,,,
DATABASECHANGELOG,FILENAME,,,
DATABASECHANGELOG,DATEEXECUTED,,,
DATABASECHANGELOG,ORDEREXECUTED,,,
DATABASECHANGELOG,EXECTYPE,,,
DATABASECHANGELOG,MD5SUM,,,
DATABASECHANGELOG,DESCRIPTION,,,
DATABASECHANGELOG,COMMENTS,,,
DATABASECHANGELOG,TAG,,,
DATABASECHANGELOG,LIQUIBASE,,,
DATABASECHANGELOG,CONTEXTS,,,
DATABASECHANGELOG,LABELS,,,
DATABASECHANGELOG,DEPLOYMENT_ID,,,
DATABASECHANGELOGLOCK,ID,,PK,
DATABASECHANGELOGLOCK,LOCKED,,,
DATABASECHANGELOGLOCK,LOCKGRANTED,,,
DATABASECHANGELOGLOCK,LOCKEDBY,,,
EXPORT_FILE,ID,,PK,
EXPORT_FILE,FILE_NAME,,,
EXPORT_FILE,FILE_PATH,,,
EXPORT_FILE,FILE_LENGTH,,,
EXPORT_FILE,ERROR_MESSAGE,,,
EXPORT_FILE,EXECUTION_DETAILS,,,
EXPORT_FILE,STATUS,,,
EXPORT_FILE,CREATED_AT,,,
EXPORT_FILE,UPDATED_AT,,,
EXPORT_FILE,CREATED_BY_ID,,,
EXPORT_FILE,UPDATED_BY_ID,,,
EXPORT_FILE,CREATED_BY_NAME,,,
EXPORT_FILE,UPDATED_BY_NAME,,,
EXPORT_FILE,DELETED,,,
PERMISSION_GROUP,ID,Primary key,PK,
PERMISSION_GROUP,GROUP_NAME,Tên nhóm quyền,,
PERMISSION_GROUP,GROUP_DESCRIPTION,Mô tả,,
PERMISSION_GROUP,CREATED_AT,Ngày tạo,,
PERMISSION_GROUP,UPDATED_AT,Ngày sửa cuối,,
PERMISSION_GROUP,CREATED_BY_ID,User_id người tạo,,
PERMISSION_GROUP,UPDATED_BY_ID,User_id người cập nhật,,
PERMISSION_GROUP,CREATED_BY_NAME,Tên người tạo,,
PERMISSION_GROUP,UPDATED_BY_NAME,Tên người cập nhật,,
PERMISSION_GROUP,DELETED,Soft delete,,
PERMISSION_GROUP_INDICATOR,ID,Primary key,PK,
PERMISSION_GROUP_INDICATOR,GROUP_ID,Id nhóm quyền,FK,FK → PERMISSION_GROUP.ID
PERMISSION_GROUP_INDICATOR,INDICATOR_ID,Chỉ tiêu (indicator id),FK,FK suy luận → risk_indicator.id
PERMISSION_GROUP_INDICATOR,DELETED,Soft delete,,
PERMISSION_GROUP_INDICATOR,CREATED_AT,Ngày tạo,,
PERMISSION_GROUP_INDICATOR,UPDATED_AT,Ngày sửa cuối,,
PERMISSION_GROUP_INDICATOR,CREATED_BY_ID,User_id người tạo,,
PERMISSION_GROUP_INDICATOR,UPDATED_BY_ID,User_id người cập nhật,,
PERMISSION_GROUP_INDICATOR,CREATED_BY_NAME,Tên người tạo,,
PERMISSION_GROUP_INDICATOR,UPDATED_BY_NAME,Tên người cập nhật,,
PERMISSION_GROUP_USER,ID,Primary key,PK,
PERMISSION_GROUP_USER,GROUP_ID,Id nhóm quyền,FK,FK → PERMISSION_GROUP.ID
PERMISSION_GROUP_USER,USER_ID,Người dùng được phân quyền (user id),,
PERMISSION_GROUP_USER,CREATED_AT,Ngày tạo,,
PERMISSION_GROUP_USER,UPDATED_AT,Ngày sửa cuối,,
PERMISSION_GROUP_USER,CREATED_BY_ID,User_id người tạo,,
PERMISSION_GROUP_USER,UPDATED_BY_ID,User_id người cập nhật,,
PERMISSION_GROUP_USER,CREATED_BY_NAME,Tên người tạo,,
PERMISSION_GROUP_USER,UPDATED_BY_NAME,Tên người cập nhật,,
PERMISSION_GROUP_USER,DELETED,Soft delete,,
PERMISSION_GROUP_USER,DISPLAY_ORDER,,,
QRTZ_BLOB_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_TRIGGERS.SCHED_NAME
QRTZ_BLOB_TRIGGERS,TRIGGER_NAME,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_NAME
QRTZ_BLOB_TRIGGERS,TRIGGER_GROUP,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_GROU
