STT,Tên bảng,Ý nghĩa bảng
1,APPLICATIONS,"Hồ sơ đề nghị cấp/cấp lại CCHN: loại đăng ký, loại hồ sơ, mã hồ sơ, ngày nộp, lý do cấp lại, kết quả, trạng thái xử lý, thông tin nhận chứng chỉ"
2,APPLICATION_DECISIONS,Liên kết hồ sơ CCHN với quyết định tương ứng (một quyết định có thể áp dụng cho nhiều hồ sơ)
3,APPLICATION_FEES,"Thông tin lệ phí nộp hồ sơ CCHN: loại phí, số tiền, ngày yêu cầu, ngày thanh toán, ngày hết hạn, trạng thái, file chứng từ"
4,APPLICATION_GROUPS,"Nhóm hồ sơ CCHN xử lý tập thể (dạng batch): tên nhóm, số lượng hồ sơ, ngày tạo nhóm, ngày hoàn thành, quyết định ban hành"
5,APPLICATION_GROUP_MEMBERS,"Thành viên (hồ sơ) trong nhóm xử lý tập thể: hồ sơ nào thuộc nhóm nào, trạng thái, thứ tự"
6,APPLICATION_RE_EXAMS,Hồ sơ đăng ký thi lại: liên kết hồ sơ gốc với chi tiết bài thi và hồ sơ đăng ký lại
7,APPLICATION_SOURCES,"Danh mục nguồn/kênh nộp hồ sơ CCHN: nộp trực tiếp, qua TTHC, qua cổng dịch vụ công..."
8,APPLICATION_SPECIALIZATIONS,"Chuyên ngành đăng ký cấp CCHN trong hồ sơ: chuyên ngành nào, ngày cấp chứng chỉ chuyên môn, nơi cấp, trạng thái thẩm định"
9,APPLICATION_STATUSES,"Danh mục trạng thái hồ sơ CCHN: mã trạng thái, tên, nhãn hiển thị, thứ tự sắp xếp, cờ dữ liệu gốc"
10,BANKS,"Danh mục ngân hàng (dùng cho nộp phí thi): mã ngân hàng, tên đầy đủ, tên viết tắt, tên tiếng Anh, mã giao dịch"
11,CERTIFICATES,"Danh mục loại chứng chỉ hành nghề chứng khoán: tên CCHN, mô tả, số ngày xử lý, thứ tự hiển thị, trạng thái"
12,CERTIFICATE_DEPARTMENTS,Liên kết loại CCHN với phòng ban UBCKNN phụ trách cấp loại CCHN đó
13,CERTIFICATE_RECORDS,"Sổ đăng bộ CCHN (registry): từng CCHN được cấp cho NHNCK — số CCHN, ngày cấp, ngày thu hồi, trạng thái, cho phép cấp lại"
14,CERTIFICATE_RECORD_GROUPS,"Nhóm cấp CCHN theo loạt (batch): tên nhóm, loại nhóm (cấp mới/cấp lại/thu hồi), quyết định liên quan, số lượng"
15,CERTIFICATE_RECORD_GROUP_MEMBERS,"Thành viên trong nhóm cấp/thu hồi CCHN: bản ghi CCHN nào thuộc nhóm, cờ cấp lại, lý do thu hồi, thứ tự"
16,CERTIFICATE_RECORD_STATUS_HISTORIES,"Lịch sử thay đổi trạng thái CCHN: trạng thái cũ, mới, quyết định căn cứ, lý do, thời gian"
17,CERTIFICATE_SPECIALIZATIONS,"Liên kết loại CCHN với chuyên ngành được phép: loại tài liệu cần nộp, có bắt buộc không"
18,DECISIONS,"Quyết định hành chính liên quan đến NHNCK: số quyết định, tiêu đề, ngày ký, người ký, đơn vị ban hành, file đính kèm, loại quyết định"
19,DECISION_DOCUMENTS,"Tài liệu đính kèm của quyết định: loại tài liệu, số quyết định, người ký, file, trạng thái"
20,DEPARTMENTS,"Phòng ban trong từng đơn vị UBCKNN: mã phòng, tên phòng, thứ tự, trạng thái"
21,DOCUMENTS,"Danh mục tài liệu yêu cầu nộp trong hồ sơ CCHN: mã tài liệu, tên, căn cứ pháp lý, trạng thái, mã TTHC"
22,EDUCATION_LEVELS,"Danh mục trình độ học vấn: tên trình độ, hiển thị trên giao diện, cờ dữ liệu gốc, trạng thái"
23,EXAM_DETAILS,"Kết quả thi của từng NHNCK trong đợt thi: điểm luật, điểm chuyên ngành, kết quả từng phần và kết quả tổng thể"
24,EXAM_SESSIONS,"Đợt thi sát hạch cấp CCHN: tên đợt, mã đợt, năm, kỳ thi, đơn vị tổ chức, thời gian đăng ký/thi, địa điểm, phương thức nộp, quyết định, ngân hàng thu phí"
25,EXAM_SESSION_FEES,Mức phí thi sát hạch theo loại CCHN và đợt thi: phí thi và phí phúc khảo
26,MCDT_RESULT_OUTBOX,"Outbox đẩy kết quả xử lý hồ sơ CCHN ra Cổng Dịch vụ công quốc gia (MCĐT)"
27,ORGANIZATIONS,"Tổ chức kinh doanh chứng khoán sử dụng NHNCK: tên, mã, loại tổ chức, địa chỉ, đại diện, giấy phép, trạng thái, liên kết với FMS/SCMS"
28,ORGANIZATION_REPORTS,"Báo cáo thông tin NHNCK từ tổ chức: danh sách NHNCK, thông tin tuyển dụng/chấm dứt, trạng thái CCHN, loại báo cáo"
29,ORGANIZATION_REPORT_YEARLYS,"Báo cáo hàng năm của tổ chức: tên báo cáo, năm, loại, ngày nộp, file, trạng thái"
30,POSITIONS,"Danh mục chức vụ của cán bộ UBCKNN: tên chức vụ, trạng thái"
31,POST_CERT_TRAINING_COURSES,"Khóa đào tạo sau cấp CCHN (bồi dưỡng kiến thức định kỳ): mã khóa, tên khóa, mã lớp, trạng thái"
32,POST_CERT_TRAINING_RESULTS,TBD - cần bổ sung mô tả nghiệp vụ (bảng mới phát hiện qua DDL UAT)
33,PROFESSIONALS,"Hồ sơ người hành nghề chứng khoán (NHNCK): thông tin định danh cá nhân, quốc tịch, địa chỉ thường trú/tạm trú, chứng minh nhân thân, nơi làm việc, trình độ học vấn, trạng thái hành nghề và tài khoản đăng nhập"
34,PROFESSIONAL_HISTORIES,"Lịch sử thay đổi thông tin người hành nghề: snapshot toàn bộ thông tin NHNCK tại mỗi lần cập nhật, ghi lại lý do thay đổi"
35,PROFESSIONAL_RELATIONSHIPS,"Quan hệ gia đình của người hành nghề: bố, mẹ, vợ/chồng, con cái — thông tin nhân thân phục vụ xác minh hồ sơ"
36,PROFESSIONAL_WORK_HISTORIES,Lịch sử công tác của người hành nghề: quá trình làm việc tại các tổ chức kinh doanh chứng khoán theo thời gian
