Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
ORDER_BOOK_HOSE,TRADE_DATE,Character(8),Ngày giao dịch theo thị trường chứng khoán (yyyymmdd),,
ORDER_BOOK_HOSE,MARKET_ID,Character(3),"Mã thị trường: STO/BDO/RPO (HOSE), STX/UPX/BDX/DVX/HCX (HNX)",,
ORDER_BOOK_HOSE,SYMBOL,Character(12),Mã chứng khoán (ISIN hoặc mã sàn),,FK suy luận → Instrument.symbol
ORDER_BOOK_HOSE,CURRENCY,Character(3),Đơn vị tiền tệ (VND),,
ORDER_BOOK_HOSE,BOARD_TYPE,Character(2),Loại bảng giao dịch: G1 Main / G2 ATO / G3 ATC / G4 Odd lot / G7 Buy-in / G8 Sell-out / T1-T6 Thỏa thuận / R1 Repo,,
ORDER_BOOK_HOSE,ORDER_DATE,Character(8),Ngày đặt lệnh của người thực hiện giao dịch (yyyymmdd),,
ORDER_BOOK_HOSE,ORDER_TIME,Character(6),Thời gian đặt lệnh (hh24miss),,
ORDER_BOOK_HOSE,SESSION,Character(2),Phiên giao dịch: 00 Pre-market / 10 ATO / 20/40 Continuous / 30 ATC / 80 Odd lot / 90 Halt / 99 Close,,
ORDER_BOOK_HOSE,MODIFY_CANCEL,Character(1),Loại action: N=Lệnh mới / M=Sửa / C=Hủy,,
ORDER_BOOK_HOSE,ORDER_ACCEPT_ID,Number(11),Số thứ tự lệnh do KRX cấp trong ngày theo từng Symbol. Reset mỗi ngày mới.,PK (ngày+Symbol),
ORDER_BOOK_HOSE,ORIG_ORDER_ACCEPT_ID,Number(11),Số thứ tự lệnh gốc trước khi sửa/hủy. Trống nếu là lệnh mới.,,FK → ORDER_BOOK_HOSE.Order Accept #
ORDER_BOOK_HOSE,SIDE,Character(1),Chiều lệnh: B=Buy (Mua) / S=Sell (Bán),,
ORDER_BOOK_HOSE,BRK_ID,Character(3),"Mã công ty chứng khoán (thành viên giao dịch). VD: 003=SSI, 011=HSC",,FK suy luận → Member.member_code
ORDER_BOOK_HOSE,BRK,Character,Tên công ty chứng khoán (derived từ BRK #),,
ORDER_BOOK_HOSE,PIN,Character,Mã PIN của tài khoản giao dịch tại CTCK,,
ORDER_BOOK_HOSE,ACCT_NO,Character(13),Mã số tài khoản giao dịch của nhà đầu tư tại CTCK,,FK suy luận → Account.account_no
ORDER_BOOK_HOSE,NAME,Character,Tên nhà đầu tư / chủ tài khoản,,
ORDER_BOOK_HOSE,MARKET_MAKER_ORDER,Character(1),Cờ lệnh nhà tạo lập thị trường: Y=Có / N=Không,,
ORDER_BOOK_HOSE,CLIENT_HOUSE_CLASSIFICATION_CODE,Character(2),Phân loại: 10=Client trade (khách hàng) / 30=House trade (tự doanh CTCK),,
ORDER_BOOK_HOSE,INVEST_TYPE,Character(4),Phân loại nhà đầu tư: 8000=Cá nhân / 7000=NĐT NN / 3000=Quỹ / 4000=Ngân hàng / 5000=CTCK...,,
ORDER_BOOK_HOSE,FOREIGNER_INVESTOR_TYPE,Character(2),Phân loại NĐT nước ngoài: 00=Trong nước / 10=NN cư trú / 20=NN không cư trú,,
ORDER_BOOK_HOSE,ORDER_TYPE,Character(1),Loại lệnh theo giá: 1=Market / 2=Limit / 3=Stop Market / 4=Stop Limit,,
ORDER_BOOK_HOSE,ORDER_PRICE,Number(15),Giá đặt lệnh. 0 nếu Market order hoặc lệnh hủy.,,
ORDER_BOOK_HOSE,ORDER_VOL,Number(10),Khối lượng đặt lệnh,,
ORDER_BOOK_HOSE,ORDER_CONDITION,Character(1),Điều kiện khớp: 0=FAS / 1=GTC / 2=ATO / 3=FAK / 4=FOK / 6=GTD / 7=ATC / 9=MTL,,
ORDER_BOOK_HOSE,LTP,Number(15),Last Traded Price — giá khớp gần nhất trên thị trường tại thời điểm đặt lệnh,,
ORDER_BOOK_HOSE,EXECUTION_PRICE,Number(15),Giá khớp lệnh thực tế,,
ORDER_BOOK_HOSE,IMMED_MATCHED_VOL,Number(10),Khối lượng khớp ngay tại thời điểm hệ thống ghi nhận lệnh,,
ORDER_BOOK_HOSE,MATCHED_VOL,Number(10),Tổng khối lượng đã khớp của lệnh (tích lũy),,
ORDER_BOOK_HOSE,ORDER_RQTY,Number(10),Khối lượng còn lại chưa khớp. = Order VOL − Matched VOL − Cancelled VOL,,
ORDER_BOOK_HOSE,ORDER_PRICE_LTP,Number(15),Chênh lệch giữa giá đặt và LTP (derived),,
ORDER_BOOK_HOSE,MATCHED_RATIO,Number,Tỷ lệ khớp lệnh = Matched VOL / Order VOL (derived),,
ORDER_BOOK_HOSE,BUY_UP_SELL_DOWN_AMT,Number(15),Mức tăng/giảm giá so với giá tham chiếu theo giá trị tiền,,
ORDER_BOOK_HOSE,BUY_UP_SELL_DOWN_TICK,Number,Mức tăng/giảm theo số bước giá (tick),,
ORDER_BOOK_HOSE,NEW_HIGH_LOW_PRICE,Character,Đánh dấu nếu lệnh tạo giá cao/thấp mới trong ngày theo mã CK,,
ORDER_BOOK_HOSE,ORDER_STATUS,Character(1),Trạng thái: 0=New / 1=Partial Fill / 2=Filled / 3=Cancelled / 4=Rejected / 5=Expired / 6=Pending Cancel / 7=Pending Replace / 8=Replaced,,
ORDER_BOOK_HOSE,ICD_BUG_QTY,Number,Khối lượng điều chỉnh lỗi trong hệ thống giao dịch (operational),,
ORDER_BOOK_HOSE,EXPECTED_EXECUTION_PRICE,Number(15),"Giá khớp dự kiến dựa trên thị trường hiện tại (estimated, không phải confirmed)",,
ORDER_BOOK_HOSE,EXPECTED_EXECUTION_VOLUME,Number(10),Khối lượng khớp dự kiến (estimated),,
ORDER_BOOK_HOSE,SHORT_SELL_INDICATOR,Character(2),Phân loại bán khống: 00=Bình thường / 10=Lệnh bán khống,,
ORDER_BOOK_HOSE,TRADER_NO,Character,Mã định danh người thực hiện giao dịch tại CTCK,,
ORDER_BOOK_HOSE,TRADER_NAME,Character,Tên người thực hiện giao dịch tại CTCK,,
ORDER_BOOK_HOSE,REFERENCE_SEQUENCE_NO,Character(11),Số tham chiếu thứ tự giao dịch trong luồng dữ liệu,,
ORDER_BOOK_HOSE,ORDER_ID,Character(17),"Mã định danh logic của lệnh (17 ký tự, stable hơn Order Accept #)",,
ORDER_BOOK_HOSE,ORIG_ORDER_ID,Character(17),Order ID của lệnh gốc khi sửa/hủy,,FK → ORDER_BOOK_HOSE.Order ID
TRADE_BOOK_HOSE,TRADE_DATE,Character(8),Ngày giao dịch (yyyymmdd),,
TRADE_BOOK_HOSE,MARKET_ID,Character(3),Mã thị trường (STO/BDO/RPO/STX/UPX/BDX/DVX/HCX),,
TRADE_BOOK_HOSE,SYMBOL,Character(12),Mã chứng khoán,,FK suy luận → Instrument.symbol
TRADE_BOOK_HOSE,CURRENCY,Character(3),Đơn vị tiền tệ,,
TRADE_BOOK_HOSE,BOARD_TYPE,Character(2),Loại bảng giao dịch,,
TRADE_BOOK_HOSE,TRADE_ID,Number(11),Số thứ tự giao dịch khớp do KRX cấp trong ngày theo Symbol,PK (ngày+Symbol),
TRADE_BOOK_HOSE,TIME,Character(6),Thời điểm xảy ra giao dịch khớp (hh24miss),,
TRADE_BOOK_HOSE,SESSION,Character(2),Phiên giao dịch lúc khớp,,
TRADE_BOOK_HOSE,EXECUTION_EXEC_PRICE,Number(15),Giá khớp thực tế của giao dịch,,
TRADE_BOOK_HOSE,EXECUTION_EXEC_PRICE_LTP,Number(15),Chênh lệch giữa giá khớp và LTP trước đó,,
TRADE_BOOK_HOSE,EXECUTION_VOLUME,Number(10),Khối lượng khớp,,
TRADE_BOOK_HOSE,EXECUTION_VALUE,Number(20),Tổng giá trị = Exec Price × Exec Volume,,
TRADE_BOOK_HOSE,EXECUTION_LTP,Number(15),Last Traded Price của mã CK trước khi có Trade này,,
TRADE_BOOK_HOSE,EXECUTION_NEW_HIGH_LOW_PRICE,Character,Đánh dấu nếu Trade tạo giá mới trong ngày,,
TRADE_BOOK_HOSE,BUY_ORDER_DATE,Character(8),Ngày đặt lệnh mua,,
TRADE_BOOK_HOSE,BUY_ORDER_TIME,Character(6),Thời gian đặt lệnh mua,,
TRADE_BOOK_HOSE,BUY_ORDER_ACCEPT_ID,Number(11),Số thứ tự lệnh mua tại KRX — trường join về ORDER_BOOK_HOSE,,FK → ORDER_BOOK_HOSE.Order Accept #
TRADE_BOOK_HOSE,BUY_BRK_ID,Character(3),Mã CTCK bên mua,,FK suy luận → Member.member_code
TRADE_BOOK_HOSE,BUY_BRK,Character,Tên CTCK bên mua,,
TRADE_BOOK_HOSE,BUY_PIN,Character,Mã PIN tài khoản bên mua,,
TRADE_BOOK_HOSE,BUY_ACCT_NO,Character(13),Tài khoản NĐT bên mua,,FK suy luận → Account.account_no
TRADE_BOOK_HOSE,BUY_NAME,Character,Tên NĐT bên mua,,
TRADE_BOOK_HOSE,BUY_CLIENT_HOUSE_CLASSIFICATION_CODE,Character(2),Phân loại lệnh mua: 10=Client / 30=House,,
TRADE_BOOK_HOSE,BUY_INVEST_TYPE,Character(4),Loại hình NĐT bên mua,,
TRADE_BOOK_HOSE,BUY_FOREIGNER_INVESTOR_TYPE,Character(2),Phân loại NĐT nước ngoài bên mua,,
TRADE_BOOK_HOSE,BUY_ORDER_PRICE,Number(15),Giá đặt lệnh mua gốc,,
TRADE_BOOK_HOSE,BUY_ORDER_VOL,Number(10),Khối lượng đặt mua gốc,,
TRADE_BOOK_HOSE,BUY_TRADER_NO,Character,Mã người thực hiện đặt mua,,
TRADE_BOOK_HOSE,BUY_TRADER_NAME,Character,Tên người thực hiện đặt mua,,
TRADE_BOOK_HOSE,BUY_REFERENCE_SEQUENCE_NO,Character(11),Số tham chiếu thứ tự đặt mua,,
TRADE_BOOK_HOSE,SELL_ORDER_DATE,Character(8),Ngày đặt lệnh bán,,
TRADE_BOOK_HOSE,SELL_ORDER_TIME,Character(6),Thời gian đặt lệnh bán,,
TRADE_BOOK_HOSE,SELL_ORDER_ACCEPT_ID,Number(11),Số thứ tự lệnh bán tại KRX — trường join về ORDER_BOOK_HOSE,,FK → ORDER_BOOK_HOSE.Order Accept #
TRADE_BOOK_HOSE,SELL_BRK_ID,Character(3),Mã CTCK bên bán,,FK suy luận → Member.member_code
TRADE_BOOK_HOSE,SELL_BRK,Character,Tên CTCK bên bán,,
TRADE_BOOK_HOSE,SELL_PIN,Character,Mã PIN tài khoản bên bán,,
TRADE_BOOK_HOSE,SELL_ACCT_NO,Character(13),Tài khoản NĐT bên bán,,FK suy luận → Account.account_no
TRADE_BOOK_HOSE,SELL_NAME,Character,Tên NĐT bên bán,,
TRADE_BOOK_HOSE,SELL_CLIENT_HOUSE_CLASSIFICATION_CODE,Character(2),Phân loại lệnh bán: 10=Client / 30=House,,
TRADE_BOOK_HOSE,SELL_INVEST_TYPE,Character(4),Loại hình NĐT bên bán,,
TRADE_BOOK_HOSE,SELL_FOREIGNER_INVESTOR_TYPE,Character(2),Phân loại NĐT nước ngoài bên bán,,
TRADE_BOOK_HOSE,SELL_ORDER_PRICE,Number(15),Giá đặt lệnh bán gốc,,
TRADE_BOOK_HOSE,SELL_ORDER_VOL,Number(10),Khối lượng đặt bán gốc,,
TRADE_BOOK_HOSE,SELL_TRADER_NO,Character,Mã người thực hiện đặt bán,,
TRADE_BOOK_HOSE,SELL_TRADER_NAME,Character,Tên người thực hiện đặt bán,,
TRADE_BOOK_HOSE,SELL_REFERENCE_SEQUENCE_NO,Character(11),Số tham chiếu thứ tự đặt bán,,
ORDER_BOOK_HNX,TRADE_DATE,Character(8),Ngày giao dịch (yyyymmdd),,
ORDER_BOOK_HNX,MARKET_ID,Character(3),Mã thị trường (STX/UPX/BDX/DVX/HCX — HNX),,
ORDER_BOOK_HNX,BOARD_ID,Character(2),Loại bảng giao dịch (G1/G2/.../T1.../R1),,
ORDER_BOOK_HNX,ISSUE_CODE,Character(12),Mã định danh chứng khoán (ISIN hoặc mã sàn),,FK suy luận → Instrument.symbol
ORDER_BOOK_HNX,ORDER_ACCEPT_TIME,Character(9),Thời điểm KRX matching engine tiếp nhận lệnh (hh24misss). Dùng để xếp thứ tự ưu tiên khớp.,,
ORDER_BOOK_HNX,MEMBER_ID,Character(5),Mã thành viên giao dịch (CTCK) do Sở cấp,,FK suy luận → Member.member_code
ORDER_BOOK_HNX,SELL_BUY_CLASSIFICATION_CODE,Character(1),Chiều lệnh: 1=Sell / 2=Buy / 3=Sell/Buy,,
ORDER_BOOK_HNX,ACCOUNT_NUMBER,Character(13),Mã tài khoản giao dịch của NĐT tại CTCK,,FK suy luận → Account.account_no
ORDER_BOOK_HNX,ORDER_TYPE_CODE,Character(1),Loại lệnh: 1=Market / 2=Limit / 3=Stop Market / 4=Stop Limit / X=Same side limit / Y=Contrary side limit,,
ORDER_BOOK_HNX,ORDER_CONDITION_CODE,Character(1),Điều kiện khớp: 0=FAS / 1=GTC / 2=ATO / 3=FAK / 4=FOK / 6=GTD / 7=ATC / 9=MTL,,
ORDER_BOOK_HNX,CLIENT_HOUSE_CLASSIFICATION_CODE,Character(2),Phân loại: 10=Client / 30=House,,
ORDER_BOOK_HNX,INVESTOR_CLASSIFICATION_CODE,Character(4),Phân loại NĐT theo chuẩn KRX: 1000=CTCK / 2000=BH / 3000=Quỹ / 4000=Ngân hàng / 7100=Tổ chức / 8000=Cá nhân,,
ORDER_BOOK_HNX,ORDER_DATE,Character(8),Ngày ghi nhận lệnh (yyyymmdd),,
ORDER_BOOK_HNX,ORDER_REJECT_REASON_CODE,Character(4),Mã lý do từ chối lệnh (chỉ có giá trị khi bị Reject),,
ORDER_BOOK_HNX,ORDER_QUANTITY,Number(10),Khối lượng đặt lệnh,,
ORDER_BOOK_HNX,ORDER_PRICE,Number(15),Giá đặt lệnh (0 nếu Market order hoặc lệnh hủy),,
ORDER_BOOK_HNX,PUBLIC_QUANTITY,Number(10),Khối lượng hiển thị công khai của Iceberg order (≤ Order Quantity),,
ORDER_BOOK_HNX,CONDITION_PRICE,Number(15),Giá kích hoạt của Stop order,,
