STT,Tên bảng,Ý nghĩa bảng
1,risk_indicator_category,"Nhóm chỉ tiêu trong 1 bộ (Yếu tố vĩ mô, Yếu tố tiền tệ, Thị trường cổ phiếu, …)"
2,risk_indicator,Danh mục chỉ tiêu tài chính (trong nước & quốc tế)
3,risk_indicator_custom,Chỉ tiêu tự tạo
4,risk_indicator_value,Số liệu hiện tại của chỉ tiêu theo từng kỳ (ngày/tháng/quý/năm)
5,risk_indicator_value_history,Lịch sử thay đổi số liệu chỉ tiêu (tự động và thủ công)
6,risk_indicator_schedule,Cấu hình job đồng bộ chỉ tiêu
7,risk_report_type,Danh mục loại báo cáo
8,risk_report_placeholder_config,"Cấu hình ""đục lỗ"""
9,risk_report_upload_batch,Lượt upload file
10,risk_report_file,File đính kèm báo cáo
11,risk_alert_config,Cấu hình ngưỡng cảnh báo và người xử lý theo từng chỉ tiêu
12,risk_alert,Bản ghi cảnh báo thực tế được kích hoạt khi chỉ tiêu vượt ngưỡng
13,risk_alert_resolution,Bản ghi xử lý chi tiết cho cảnh báo
14,risk_alert_resolution_file,File đính kèm theo giải trình cảnh báo
15,risk_alert_history,Lịch sử xử lý cảnh báo theo dòng thời gian
16,risk_notification,Lưu trữ thông báo
17,permission_group,Nhóm quyền
18,permission_group_user,Phân quyền người dùng theo nhóm quyền
19,permission_group_indicator,Phân quyền chỉ tiêu theo nhóm quyền
