Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
ALERT_FINANCIAL_INDICATOR,ID,NUMBER(10),Khóa chính của bản ghi (ID tự tăng hoặc UUID),PK,
ALERT_FINANCIAL_INDICATOR,FORMULA,VARCHAR2(1000),Công thức tính toán giá trị ô,,
ALERT_FINANCIAL_INDICATOR,UNIT,VARCHAR2(50),null,,
ALERT_FINANCIAL_INDICATOR,INDICATOR_CODE,VARCHAR2(50),Mã chỉ tiêu,,
ALERT_FINANCIAL_INDICATOR,DESCRIPTION,VARCHAR2(2000),Mô tả chi tiết nội dung/mục đích của bản ghi,,
ALERT_FINANCIAL_INDICATOR,LAST_MODIFIED_AT,TIMESTAMP(6),Thời điểm cập nhật lần cuối (tự động ghi nhận bởi hệ thống),,
ALERT_FINANCIAL_INDICATOR,CREATED_AT,TIMESTAMP(6),Thời điểm tạo bản ghi (tự động ghi nhận bởi hệ thống),,
ALERT_FINANCIAL_INDICATOR,LAST_MODIFIED_BY,NUMBER(10),ID tài khoản người dùng cập nhật lần cuối,,FK suy luận → SYS_USER.ID
ALERT_FINANCIAL_INDICATOR,CREATED_BY,NUMBER(10),ID tài khoản người dùng tạo bản ghi,,FK suy luận → SYS_USER.ID
ALERT_FINANCIAL_INDICATOR,THRESHOLD_MAX,"NUMBER(38,2)",null,,
ALERT_FINANCIAL_INDICATOR,THRESHOLD_MIN,"NUMBER(38,2)",null,,
ALERT_FINANCIAL_INDICATOR,INDICATOR_GROUP_ID,NUMBER(10),null,,
ALERT_FINANCIAL_INDICATOR,INDICATOR_NAME,VARCHAR2(500),Tên chỉ tiêu,,
ALERT_FINANCIAL_INDICATOR,SORT_ORDER,NUMBER(10),Thứ tự sắp xếp hiển thị,,
ALERT_FINANCIAL_INDICATOR,RECORD_STATUS,NUMBER(1),Trang thai chi tieu tai chinh: 0 = Khong su dung; 1 = Dang su dung,,
ALERT_FINANCIAL_INDICATOR,WEIGHT,"NUMBER(38,2)",Trọng số của chỉ tiêu trong công thức tính điểm (%),,
ALERT_INDICATOR,ID,NUMBER(10),Khóa chính của bản ghi (ID tự tăng hoặc UUID),PK,
ALERT_INDICATOR,ALERT_CODE,NVARCHAR2(50),Mã chỉ tiêu cảnh báo,,
ALERT_INDICATOR,ALERT_NAME,NVARCHAR2(2000),Tên chỉ tiêu cảnh báo,,
ALERT_INDICATOR,LEGAL_REFERENCE_ID,NUMBER(10),Chua lien k?t d?n b?ng khac,,
ALERT_INDICATOR,LEGAL_REFERENCE,NVARCHAR2(2000),null,,
ALERT_INDICATOR,SEVERITY_LEVEL,NUMBER(3),C?p 1 ho?c 2 ho?c 3,,
ALERT_INDICATOR,NOTE,NVARCHAR2(2000),"Ghi chú bổ sung, không bắt buộc",,
ALERT_INDICATOR,DEFAULT_VALUE,NUMBER,Giá trị mặc định của ô khi khởi tạo,,
ALERT_INDICATOR,CREATED_BY,NUMBER(10),ID tài khoản người dùng tạo bản ghi,,FK suy luận → SYS_USER.ID
ALERT_INDICATOR,CREATED_AT,TIMESTAMP(6),Thời điểm tạo bản ghi (tự động ghi nhận bởi hệ thống),,
ALERT_INDICATOR,LAST_MODIFIED_BY,NUMBER(10),ID tài khoản người dùng cập nhật lần cuối,,FK suy luận → SYS_USER.ID
ALERT_INDICATOR,LAST_MODIFIED_AT,TIMESTAMP(6),Thời điểm cập nhật lần cuối (tự động ghi nhận bởi hệ thống),,
ALERT_INDICATOR,RECORD_STATUS,NUMBER(1),Trang thai chi tieu canh bao: 0 = Khong su dung; 1 = Dang su dung,,
ALERT_INDICATOR,SUM_FORMULA,CLOB,Công thức tổng hợp của ô (tính tổng nhiều ô),,
ALERT_INDICATOR,FORMULA_TEXT,CLOB,Mô tả công thức dạng văn bản để hiển thị cho người dùng,,
ALERT_INDICATOR,FORMULA,CLOB,Công thức tính toán giá trị ô,,
ALERT_INDICATOR,ALERT_INDICATOR_TYPE,NUMBER(1),Loai chi tieu canh bao: AN_TOAN_TAI_CHINH = An toan tai chinh; TUAN_THU = Tuan thu phap ly; RUI_RO = Rui ro hoat dong,,
ALERT_INDICATOR,UNIT,VARCHAR2(255),Đơn vị tính (Triệu đồng/Tỷ đồng/Phần trăm/Số lượng),,
ALERT_INDICATOR,INDICATOR_TYPE_ID,NUMBER(10),null,,
ALERT_INDICATOR,INDICATOR_CODE,VARCHAR2(255),Mã chỉ tiêu,,
ALERT_INDICATOR,DESCRIPTION,VARCHAR2(255),Mô tả chi tiết nội dung/mục đích của bản ghi,,
ALERT_INDICATOR,SEVERITY,NUMBER(10),"Mức độ nghiêm trọng: 1=Thấp, 2=Trung bình, 3=Cao",,
