STT,Tên bảng,Ý nghĩa bảng
1,ALERT_FINANCIAL_INDICATOR,Chỉ tiêu tài chính cảnh báo
2,ALERT_INDICATOR,Chỉ tiêu cảnh báo
3,ALERT_INDICATOR_CONDITION,Điều kiện kích hoạt cảnh báo chỉ tiêu
4,ALERT_RUN,Lần chạy cảnh báo
5,AUDITOR,Kiểm toán viên
6,AUDIT_FIRM,Công ty kiểm toán
7,BANK,Ngân hàng
8,BANK_HISTORY,Lịch sử ngân hàng
9,BANK_PERIODIC_REPORT,Báo cáo định kỳ ngân hàng
10,BANK_PERIODIC_REPORT_HISTORY,Lịch sử báo cáo định kỳ ngân hàng
11,CATEGORY,Danh mục chung
12,CAT_ALERT,Danh mục cảnh báo
13,CAT_BUSINESS_LINE,Danh mục ngành nghề kinh doanh
14,CAT_COMPANY_TYPE,Danh mục loại công ty
15,CAT_DISTRICT,Danh mục quận/huyện
16,CAT_EVENT_TYPE,Danh mục loại sự kiện
17,CAT_INDICATOR,Danh mục chỉ tiêu
18,CAT_INDICATOR_CATALOG,Danh mục nhóm chỉ tiêu
19,CAT_INDICATOR_STATISTIC,Danh mục chỉ tiêu thống kê
20,CAT_NATIONALITY,Danh mục quốc tịch
21,CAT_POSITION,Danh mục chức vụ
22,CAT_PROFILE_STATUS,Danh mục trạng thái hồ sơ
23,CAT_PROVINCE,Danh mục tỉnh/thành phố
24,CAT_RELATIONSHIP,Danh mục mối quan hệ
25,CAT_SC_FIRM_POSITION,Danh mục vị trí tại công ty chứng khoán
26,CAT_SC_FIRM_STATUS,Danh mục trạng thái công ty chứng khoán
27,CAT_SERVICE,Danh mục dịch vụ chứng khoán
28,CAT_SERVICE_LEGAL_CAPITAL,Danh mục vốn pháp định dịch vụ
29,CAT_SHAREHOLDER_TRANSACTION_TYPE,Danh mục loại giao dịch cổ đông
30,CAT_STATISTIC,Danh mục mã thống kê
31,CAT_VIOLATION_TYPE,Danh mục loại vi phạm
32,CAT_WARD,Danh mục phường/xã
33,CUSTODIAN_BANK,Ngân hàng lưu ký
34,DIGITAL_CERTIFICATE,Chứng thư số
35,DISCLOSURE_NEWS,Tin tức công bố thông tin
36,DISCLOSURE_NEWS_FILE,Tệp đính kèm tin tức CBTT
37,DISCLOSURE_REPORT,Báo cáo công bố thông tin
38,DISCLOSURE_SECURITIES_OFFERING,Thông tin chào bán chứng khoán
39,DISCLOSURE_SHAREHOLDER,Thông tin cổ đông công bố
40,DOCUMENT_FOLDER,Thư mục tài liệu
41,DOCUMENT_STORAGE,Lưu trữ tài liệu
42,FORM_INDICATOR_DATA_SOURCE,Nguồn dữ liệu chỉ tiêu biểu mẫu
43,FORM_INDICATOR_FIELD_META,Metadata trường chỉ tiêu biểu mẫu
44,FORM_INDICATOR_INPUT,Dữ liệu nhập chỉ tiêu biểu mẫu
45,FORM_INDICATOR_REFERENCE_VALUE,Giá trị tham chiếu chỉ tiêu biểu mẫu
46,FORM_REPORT,Biểu mẫu báo cáo
47,FORM_REPORT_DEEP_CONFIG,Cấu hình chi tiết biểu mẫu báo cáo
48,FORM_REPORT_HISTORY,Lịch sử biểu mẫu báo cáo
49,FORM_REPORT_PERIODIC,Kỳ báo cáo của biểu mẫu
50,FORM_ROW_HEADER,Tiêu đề hàng biểu mẫu
51,FORM_ROW_HEADER_COLUMN,Cột tiêu đề hàng biểu mẫu
52,FORM_SHEET,Sheet của biểu mẫu báo cáo
53,FORM_SHEET_CELL,Ô dữ liệu trong sheet biểu mẫu
54,FORM_SHEET_COLUMN,Cột dữ liệu trong sheet biểu mẫu
55,FORM_SHEET_ROW,Hàng dữ liệu trong sheet biểu mẫu
56,HELP_DOCUMENT,Tài liệu hỗ trợ
57,LEGAL_DOCUMENT_LOOKUP,Tra cứu văn bản pháp luật
58,LNK_EVENT_TYPE_FORM,Liên kết loại sự kiện và biểu mẫu
59,LNK_FUNCTION_USER,Liên kết chức năng và người dùng
60,LNK_FUNCTION_USER_GROUP,Liên kết chức năng và nhóm người dùng
61,LNK_PRACTITIONER_BUSINESS_LINE,Liên kết người hành nghề và ngành nghề
62,LNK_SC_FIRM_BUSINESS_LINE,Liên kết CTCK và ngành nghề kinh doanh
63,LNK_SC_FIRM_FOREIGN_BRANCH_SERVICE,Liên kết chi nhánh nước ngoài và dịch vụ
64,LNK_SC_FIRM_REPORT,Liên kết công ty chứng khoán và báo cáo
65,LNK_SC_FIRM_SERVICE,Liên kết công ty chứng khoán và dịch vụ
66,LNK_SC_FIRM_STATUS_REPORT,Liên kết trạng thái CTCK và báo cáo
67,LNK_SERVICE_SC_FIRM_REPORT,"Liên kết dịch vụ, CTCK và báo cáo"
68,LNK_TRANSACTION_OFFICE_SERVICE,Liên kết phòng giao dịch và dịch vụ
69,LNK_USER_BANK,Liên kết người dùng và ngân hàng
70,LNK_USER_GROUP,Liên kết người dùng và nhóm
71,LNK_USER_GROUP_REPORT,Liên kết nhóm người dùng và báo cáo
72,LNK_USER_REPORT,Liên kết người dùng và báo cáo
73,LNK_USER_SC_FIRM,Liên kết người dùng và công ty chứng khoán
74,MEMBER_REPORT,Báo cáo định kỳ của đơn vị thành viên
75,MEMBER_REPORT_HISTORY,Lịch sử báo cáo của đơn vị thành viên
76,MEMBER_REPORT_PROCESSING,Xử lý báo cáo của đơn vị thành viên
77,MESSAGE,Tin nhắn nội bộ
78,MESSAGE_RECIPIENT,Người nhận tin nhắn
79,NOTIFICATION,Thông báo hệ thống
80,OUTPUT_REPORT_EXTRACTION,Trích xuất báo cáo đầu ra
81,OUTPUT_REPORT_EXTRACTION_VALUE,Giá trị trích xuất báo cáo đầu ra
82,PERMISSION_DATA,Phân quyền dữ liệu
83,PERMISSION_INPUT_REPORT,Phân quyền nhập liệu báo cáo
84,PERMISSION_INPUT_REPORT_EVENT,Phân quyền sự kiện nhập liệu báo cáo
85,PERMISSION_OUTPUT_REPORT,Phân quyền khai thác báo cáo
86,PERMISSION_OUTPUT_REPORT_FORM,Phân quyền biểu mẫu báo cáo khai thác
87,REPORT_CELL_VALUE,Giá trị ô trong báo cáo
88,REPORT_DYNAMIC_ROW_VALUE,Giá trị hàng động trong báo cáo
89,REPORT_INPUT_CELL_VALUE,Giá trị ô nhập liệu báo cáo
90,REPORT_INPUT_SUBMISSION,Lần nộp báo cáo nhập liệu
91,REPORT_INPUT_SUBMISSION_FILE,Tệp đính kèm nộp báo cáo
92,REPORT_VIOLATION,Vi phạm trong báo cáo
93,RISK_INDICATOR,Chỉ tiêu quản lý rủi ro
94,RISK_INDICATOR_GROUP,Nhóm chỉ tiêu rủi ro
95,RISK_REPORTING_PERIOD,Kỳ báo cáo rủi ro
96,RISK_REPORTING_PERIOD_SC_FIRM,Kỳ báo cáo rủi ro theo công ty chứng khoán
97,RISK_SCORING_SCALE,Thang điểm đánh giá rủi ro
98,RISK_SCORING_SC_FIRM_DETAIL,Chi tiết điểm rủi ro công ty chứng khoán
99,RISK_SUMMARY,Tổng hợp rủi ro
100,RISK_SUMMARY_DETAIL,Chi tiết tổng hợp rủi ro
101,SCMS_SHEDLOCK,Khóa phân tán tác vụ định kỳ
102,SCMS_SYSTEM_PARAM,Tham số hệ thống SCMS
103,SCMS_WORKING_DAY,Ngày làm việc SCMS
104,SC_FIRM_ADHOC_REPORT,Báo cáo đột xuất công ty chứng khoán
105,SC_FIRM_ADHOC_REPORT_HISTORY,Lịch sử báo cáo đột xuất
106,SC_FIRM_ADMIN_PENALTY_DECISION,Quyết định xử phạt hành chính
107,SC_FIRM_ADMIN_SANCTION,Xử lý hành chính công ty chứng khoán
108,SC_FIRM_ALERT_VIOLATION,Cảnh báo vi phạm công ty chứng khoán
109,SC_FIRM_BRANCH,Chi nhánh của công ty chứng khoán
110,SC_FIRM_COMPLAINT_PETITION,"Khiếu nại, kiến nghị công ty chứng khoán"
111,SC_FIRM_DELETION_HISTORY,Lịch sử xóa hồ sơ công ty chứng khoán
112,SC_FIRM_DOMESTIC_REP_OFFICE,Văn phòng đại diện trong nước
113,SC_FIRM_FOREIGN_BRANCH,Chi nhánh nước ngoài
114,SC_FIRM_FOREIGN_BRANCH_HISTORY,Lịch sử chi nhánh nước ngoài
115,SC_FIRM_FOREIGN_BRANCH_PERIODIC_REPORT,Báo cáo định kỳ chi nhánh nước ngoài
116,SC_FIRM_FOREIGN_BRANCH_PERSONNEL,Nhân sự chi nhánh nước ngoài
117,SC_FIRM_FOREIGN_BRANCH_PERSONNEL_HISTORY,Lịch sử nhân sự chi nhánh nước ngoài
118,SC_FIRM_FOREIGN_REP_OFFICE,Văn phòng đại diện nước ngoài
119,SC_FIRM_FOREIGN_REP_OFFICE_HISTORY,Lịch sử văn phòng đại diện nước ngoài
120,SC_FIRM_FOREIGN_REP_OFFICE_PERIODIC_REPORT,Báo cáo định kỳ văn phòng đại diện nước ngoài
121,SC_FIRM_FOREIGN_REP_OFFICE_PERSONNEL,Nhân sự văn phòng đại diện nước ngoài
122,SC_FIRM_FOREIGN_REP_OFFICE_VN,Văn phòng đại diện nước ngoài tại Việt Nam
123,SC_FIRM_INFO,Thông tin công ty chứng khoán
124,SC_FIRM_INSIDER_RELATION,Quan hệ người nội bộ công ty chứng khoán
125,SC_FIRM_INSIDER_RELATION_HISTORY,Lịch sử quan hệ người nội bộ
126,SC_FIRM_INSPECTION_SCHEDULE,Lịch kiểm tra công ty chứng khoán
127,SC_FIRM_LICENSED_PRACTITIONER,Người hành nghề chứng khoán
128,SC_FIRM_MAJOR_SHAREHOLDER_RELATION,Quan hệ cổ đông lớn
129,SC_FIRM_OWNERSHIP_RELATION,Quan hệ sở hữu công ty chứng khoán
130,SC_FIRM_PERIODIC_REPORT,Báo cáo định kỳ công ty chứng khoán
131,SC_FIRM_PERIODIC_REPORT_HISTORY,Lịch sử báo cáo định kỳ công ty chứng khoán
132,SC_FIRM_PROFILE_CHANGE,Thay đổi hồ sơ công ty chứng khoán
133,SC_FIRM_PROFILE_HISTORY,Lịch sử hồ sơ công ty chứng khoán
134,SC_FIRM_RELATED_PERSON,Người liên quan công ty chứng khoán
135,SC_FIRM_REP_OFFICE,Văn phòng đại diện trong nước
136,SC_FIRM_SENIOR_PERSONNEL,Nhân sự cao cấp công ty chứng khoán
137,SC_FIRM_SERVICE,Dịch vụ của công ty chứng khoán
138,SC_FIRM_SHAREHOLDER,Cổ đông của công ty chứng khoán
139,SC_FIRM_SHAREHOLDER_OWNERSHIP_CHANGE,Thay đổi sở hữu cổ đông
140,SC_FIRM_SHAREHOLDER_RELATION,Quan hệ cổ đông
141,SC_FIRM_SHAREHOLDER_REPRESENTATIVE,Người đại diện cổ đông
142,SC_FIRM_SHAREHOLDER_TRANSFER,Chuyển nhượng cổ phần
143,SC_FIRM_TRANSACTION_OFFICE,Phòng giao dịch của công ty chứng khoán
144,SMSNEWS,Dữ liệu tin tức SMS
145,SMSOFFEROFSTOCKS,Dữ liệu đề nghị cổ phiếu SMS
146,SMSREPORTDATA,Dữ liệu báo cáo SMS
147,SMSTLLOG,Log SMS tăng trưởng
148,SMSVW_SECURITIES,Danh sách chứng khoán SMS
149,SMSVW_TLPROFILES,Hồ sơ SMS
150,SSC_NOTIFICATION,Thông báo SSC
151,SSC_NOTIFICATION_RECIPIENT,Người nhận thông báo SSC
152,SYS_AUDIT_LOG,Log kiểm tra hệ thống
153,SYS_CONFIG_PARAM,Tham số cấu hình hệ thống
154,SYS_EXPORT_FULL_01,Xuất dữ liệu toàn bộ (phần 1)
155,SYS_EXPORT_FULL_02,Xuất dữ liệu toàn bộ (phần 2)
156,SYS_FUNCTION,Chức năng hệ thống
157,SYS_FUNCTION_DETAIL,Chi tiết chức năng hệ thống
158,SYS_ORGANIZATION,Cơ cấu tổ chức
159,SYS_USER,Người dùng hệ thống
160,SYS_USER_BACKUP,Sao lưu dữ liệu người dùng
