STT,Tên bảng,Ý nghĩa bảng
1,ADHOC_ADMIN_VIOLATION_REPORT,"Báo cáo đột xuất, theo yêu cầu về hoạt động xử lý VPHC"
2,ADHOC_ANTI_CORRUPTION_REPORT,"Báo cáo đột xuất, theo yêu cầu về hoạt động PCTN"
3,ADHOC_INSPECTION_REPORT,"Báo cáo đột xuất hoặc theo yêu cầu về hoạt động thanh tra, kiểm tra"
4,ADMIN_VIOLATION_REPORT_OUTLINE,Đề cương báo cáo thi hành pháp luật xử lý VPHC (TT 19/2025/TT-BTP)
5,ANTI_CORRUPTION_DOCUMENT,"Văn bản chỉ đạo và triển khai công tác phòng, chống tham nhũng tại UBCKNN"
6,ANTI_CORRUPTION_PERIODIC_REPORT,Báo cáo định kỳ PCTN theo biểu mẫu TT 06/2025/TT-TTCP
7,ANTI_CORRUPTION_REPORT_OUTLINE,Đề cương BC công tác PCTN (Mẫu số 03 TT 06/2025/TT-TTCP)
8,ANTI_MONEY_LAUNDERING_DOCUMENT,"Văn bản chỉ đạo và triển khai công tác phòng, chống rửa tiền trong lĩnh vực chứng khoán"
9,ANTI_MONEY_LAUNDERING_REPORT,Báo cáo định kỳ và theo yêu cầu về hoạt động PCRT/PCTKB/PCTTPBVKHDHL
10,CITIZEN_COMPLAINT_REPORT_OUTLINE,"Đề cương BC công tác tiếp công dân, giải quyết KN-TC (Mẫu số 02 TT 06/2025/TT-TTCP)"
11,CITIZEN_RECEPTION,Thông tin tiếp công dân tại Thanh tra UBCKNN
12,CODE_SEQUENCE_COUNTER,Counter sinh số thứ tự cho mã tự động (SELECT FOR UPDATE)
13,DOCUMENT_ATTACHMENT,Văn bản/File đính kèm dùng chung cho nhiều thực thể (polymorphic)
14,DOCUMENT_TEMPLATE,Biểu mẫu Word — header; phiên bản file lưu ở document_template_version
15,DOCUMENT_TEMPLATE_KEY_ASSIGN,Biểu mẫu — các key (placeholder) được phép dùng / đã gán (N-N)
16,DOCUMENT_TEMPLATE_KEY_DEFINITION,Danh mục placeholder (key) quy định theo loại biểu mẫu — dùng khi gán key lên mẫu Word
17,DOCUMENT_TEMPLATE_VERSION,Lịch sử phiên bản file .docx của biểu mẫu
18,DYNAMICCOLUMNS,
19,DYNAMICCONNECTIONS,
20,DYNAMICGENERATORCONFIG,
21,DYNAMICGENERATORSEQ,
22,DYNAMICTABLES,
23,EXAMINATION_ANNUAL_PLAN,Kế hoạch kiểm tra chuyên đề hằng năm. Mỗi năm chỉ 1 kế hoạch
24,EXAMINATION_ANNUAL_PLAN_TARGET,Đối tượng dự kiến kiểm tra trong kế hoạch hàng năm
25,EXAMINATION_RESULT_NOTICE,"Thông báo kết quả kiểm tra gắn với hồ sơ đoàn, mỗi thông báo gắn 1 đối tượng"
26,EXAMINATION_RESULT_NOTICE_REMEDIAL,Danh sách biện pháp khắc phục trong thông báo kết quả kiểm tra
27,EXAMINATION_TEAM,Hồ sơ đoàn kiểm tra (định kỳ/đột xuất). Mã tự sinh: HSKT-YYYY-XXX
28,EXAMINATION_TEAM_MEMBER,Thành phần nhân sự đoàn kiểm tra
29,EXAMINATION_TEAM_TARGET,Đối tượng kiểm tra trong hồ sơ đoàn
30,FORM_TEMPLATE,Biểu mẫu văn bản sử dụng trong phân hệ thanh tra chứng khoán
31,FORM_TEMPLATE_PLACEHOLDER,Cấu hình trường dữ liệu động (placeholder) trong biểu mẫu
32,FORM_TEMPLATE_VERSION,"Lịch sử phiên bản biểu mẫu, hỗ trợ xem lịch sử và khôi phục"
33,INSPECTION_ANNUAL_PLAN,Kế hoạch thanh tra định kỳ hằng năm của Thanh tra UBCKNN
34,INSPECTION_ANNUAL_PLAN_TARGET,Đối tượng dự kiến thanh tra trong kế hoạch hàng năm
35,INSPECTION_CONCLUSION,"Kết luận thanh tra gắn với hồ sơ đoàn, mỗi kết luận gắn 1 đối tượng"
36,INSPECTION_CONCLUSION_REMEDIAL,Danh sách biện pháp khắc phục trong kết luận thanh tra
37,INSPECTION_REPORT_OUTLINE,Đề cương báo cáo công tác thanh tra (Mẫu số 01 - TT 06/2025/TT-TTCP)
38,INSPECTION_TEAM,Hồ sơ đoàn thanh tra (định kỳ và đột xuất). Mã tự sinh: HSTT-YYYY-XXX
39,INSPECTION_TEAM_MEMBER,Thành phần nhân sự đoàn thanh tra
40,INSPECTION_TEAM_TARGET,Đối tượng thanh tra trong hồ sơ đoàn
41,LEGAL_DOCUMENT,Danh mục Văn bản pháp luật
42,NOTIFICATION,
43,PENALTY_DECISION,"Quyết định xử phạt VPHC, liên kết hồ sơ VPHC và BB VPHC"
44,PENALTY_DECISION_APPROVAL_HISTORY,"Lịch sử phê duyệt, ký số, ban hành QĐ xử phạt"
45,PENALTY_DECISION_CIRCUMSTANCE,Tình tiết tăng nặng/giảm nhẹ theo hành vi vi phạm
46,PENALTY_DECISION_SUBJECT,Đối tượng vi phạm trong QĐ xử phạt + theo dõi thi hành nộp phạt
47,PENALTY_DECISION_SUBJECT_BEHAVIOR,"Hành vi vi phạm theo từng đối tượng trong QĐ xử phạt, kèm khung phạt và mức phạt"
48,PENALTY_DECISION_VIOLATION_RECORD,Bảng trung gian N-N: Quyết định xử phạt ↔ Biên bản VPHC
49,PENALTY_TYPE,Danh mục hình thức xử phạt vi phạm hành chính trong lĩnh vực chứng khoán
50,PENALTY_TYPE_VIOLATION_BEHAVIOR,Bảng trung gian N-N: Hành vi vi phạm - Hình thức xử phạt BỔ SUNG
51,PETITION,Đơn thư nhận tại Thanh tra UBCKNN. Mã vụ việc tự sinh: [2 ký tự CV][YY][STT]
52,PETITION_DOCUMENT,"Phiếu/Công văn xử lý đơn thư, mỗi văn bản gắn 1 đơn thư. File xuất qua document_attachment"
53,POST_INSPECTION_PROCESSING,
54,PRIVATE_CATALOG_ITEM,
55,PROACTIVE_NOTICE,
56,PROACTIVE_NOTICE_RECIPIENT,
57,SECURITY_MEASURE_DECISION,"QĐ áp dụng biện pháp phòng ngừa, ngăn chặn VPPL về chứng khoán và TTCK"
58,SECURITY_MEASURE_DECISION_RECIPIENT,"Tổ chức nhận QĐ biện pháp phòng ngừa, ngăn chặn - theo dõi trạng thái nhận"
59,SECURITY_MEASURE_DECISION_SUBJECT,"Đối tượng bị áp dụng biện pháp phòng ngừa, ngăn chặn"
60,SECURITY_MEASURE_EXECUTION,"Tình hình thực hiện QĐ biện pháp phòng ngừa, ngăn chặn do tổ chức/cá nhân báo cáo"
61,SUPERVISION_ACTIVITY_REPORT,Báo cáo hoạt động kiểm tra của Ban nghiệp vụ gửi Thanh tra
62,VIOLATION_BEHAVIOR,Danh mục hành vi vi phạm hành chính trong lĩnh vực chứng khoán và TTCK
63,VIOLATION_BEHAVIOR_LEGAL_DOCUMENT,Liên kết nhiều-nhiều Hành vi vi phạm - Văn bản pháp luật
64,VIOLATION_CASE,"Hồ sơ xử lý VPHC - đối tượng trung tâm kết nối BB VPHC, QĐ xử phạt, công văn"
65,VIOLATION_CASE_OUTPUT_DOCUMENT,
66,VIOLATION_CASE_RECEIVED_DOCUMENT,Văn bản tiếp nhận trong hồ sơ xử lý VPHC
67,VIOLATION_CASE_STATUS_HISTORY,Lịch sử chuyển trạng thái hồ sơ xử lý VPHC
68,VIOLATION_RECORD,"Biên bản VPHC (giấy/điện tử), liên kết hồ sơ VPHC và đoàn thanh tra/kiểm tra"
69,VIOLATION_RECORD_BEHAVIOR,Hành vi vi phạm ghi nhận trong biên bản VPHC
70,VPHC_PROCESS_OFFICIAL_LETTER,Tạo công văn theo biểu mẫu CMS — liên kết hồ sơ / biên bản / quyết định VPHC
71,flyway_schema_history,
