source_system,description
DCST,Dữ liệu Cơ quan Thuế từ Tổng cục Thuế
ECAT,Danh mục điện tử dùng chung
FIMS,Hệ thống quản lý giám sát nhà đầu tư nước ngoài
FMS,Phần hệ quản lý giám sát công ty chứng khoán và quỹ đầu tư chứng khoán
GSGD,Phần hệ giám sát giao dịch
IDS,Phần hệ quản lý công ty đại chúng & công ty kiểm toán
MDDS,Hệ thống dữ liệu giao dịch thị trường từ các SGDCK
NHNCK,Hệ thống Quản lý giám sát người hành nghề chứng khoán
QLRR,Phần hệ quản lý rủi ro
SCMS,Phần hệ quản lý giám sát công ty chứng khoán
ThanhTra,Phần hệ phục vụ công tác thanh tra chứng khoán
