physical_name,logical_name,bcv_core_object,files_merged,sources,warnings
dscl_ahr,Disclosure Authorization,Arrangement,1,FIMS,0
dscr_ivsm_ac,Discretionary Investment Account,Arrangement,1,FMS,0
frgn_ivsr_scr_ac,Foreign Investor Securities Account,Arrangement,1,FIMS,0
frgn_ivsr_stk_prtfl_snpst,Foreign Investor Stock Portfolio Snapshot,Arrangement,1,FIMS,0
ivsr_ac_rltnp,Investor Account Relationship,Arrangement,1,GSGD,0
ivsr_tdg_ac,Investor Trading Account,Arrangement,1,GSGD,0
ivsr_tdg_ac_ahr,Investor Trading Account Authorization,Arrangement,1,GSGD,0
ivsr_tdg_ac_fnc_svc,Investor Trading Account Financial Service,Arrangement,1,GSGD,0
pblc_co_ste_cptl,Public Company State Capital,Arrangement,1,IDS,0
stk_hldr_tdg_ac,Stock Holder Trading Account,Arrangement,1,IDS,0
aml_nfrc_case,AML Enforcement Case,Business Activity,1,ThanhTra,0
aml_nfrc_dcsn,AML Enforcement Decision,Business Activity,1,ThanhTra,0
aml_prd_rpt,AML Periodic Report,Business Activity,1,ThanhTra,0
anti-corruption_rpt,Anti-Corruption Report,Business Activity,1,ThanhTra,0
ap_rvw_workflow,Atomic - Application Review Workflow – source TTHC.WorkflowIndex,Business Activity,1,TTHC,0
audt_firm_sanction,Audit Firm Sanction,Business Activity,1,IDS,0
audt_firm_wrn,Audit Firm Warning,Business Activity,1,IDS,0
cpln_nfrc_dcsn,Complaint Enforcement Decision,Business Activity,1,ThanhTra,0
cpln_pcs_case,Complaint Processing Case,Business Activity,1,ThanhTra,0
cpln_pcs_conclusion,Complaint Processing Conclusion,Business Activity,1,ThanhTra,0
cpln_petition,Complaint Petition,Business Activity,1,ThanhTra,0
cpln_pny_ancm,Complaint Penalty Announcement,Business Activity,1,ThanhTra,0
dscl_rpt_subm,Disclosure Report Submission,Business Activity,1,SCMS,0
dscl_scr_ofrg,Disclosure Securities Offering,Business Activity,1,SCMS,0
dscl_shrhlr_chg,Disclosure Shareholder Change,Business Activity,1,SCMS,0
fnd_mgt_conduct_vln,Fund Management Conduct Violation,Business Activity,1,FMS,0
insp_anul_pln,Inspection Annual Plan,Business Activity,1,ThanhTra,0
insp_anul_pln_sbj,Inspection Annual Plan Subject,Business Activity,1,ThanhTra,0
insp_case,Inspection Case,Business Activity,1,ThanhTra,0
insp_case_conclusion,Inspection Case Conclusion,Business Activity,1,ThanhTra,0
insp_case_ofcr_asgnm,Inspection Case Officer Assignment,Business Activity,1,ThanhTra,0
insp_dcsn,Inspection Decision,Business Activity,1,ThanhTra,0
insp_dcsn_sbj,Inspection Decision Subject,Business Activity,1,ThanhTra,0
insp_dcsn_team_mbr,Inspection Decision Team Member,Business Activity,1,ThanhTra,0
insp_pny_ancm,Inspection Penalty Announcement,Business Activity,1,ThanhTra,0
ivsm_fnd_ivsr_cptl_chg_log,Investment Fund Investor Capital Change Log,Business Activity,1,FMS,0
mbr_conduct_vln,Member Conduct Violation,Business Activity,1,FIMS,0
mbr_prd_rpt_st_log,Member Periodic Report Status Log,Business Activity,1,FMS,0
mkt_surveil_ac_grp_anl_rslt,Market Surveillance Account Group Analysis Result,Business Activity,1,GSGD,0
mkt_surveil_ac_grp_mbr_anl_rslt,Market Surveillance Account Group Member Analysis Result,Business Activity,1,GSGD,0
mkt_surveil_ac_rltnp_anl_rslt,Market Surveillance Account Relationship Analysis Result,Business Activity,1,GSGD,0
mkt_surveil_anl_exec_log,Market Surveillance Analysis Execution Log,Business Activity,1,GSGD,0
mkt_surveil_anl_sspcs_ac_snpst,Market Surveillance Analysis Suspicious Account Snapshot,Business Activity,1,GSGD,0
mkt_surveil_case,Market Surveillance Case,Business Activity,1,GSGD,0
mkt_surveil_case_aprv_step_log,Market Surveillance Case Approval Step Log,Business Activity,1,GSGD,0
mkt_surveil_case_workflow_step,Market Surveillance Case Workflow Step,Business Activity,1,GSGD,0
mkt_surveil_sspcs_ac_anl_rslt,Market Surveillance Suspicious Account Analysis Result,Business Activity,1,GSGD,0
pblc_co_cptl_incr,Public Company Capital Increase,Business Activity,1,IDS,0
pblc_co_cptl_mobilization,Public Company Capital Mobilization,Business Activity,1,IDS,0
pblc_co_insp,Public Company Inspection,Business Activity,1,IDS,0
pblc_co_pny,Public Company Penalty,Business Activity,1,IDS,0
pblc_co_scr_ofrg,Public Company Securities Offering,Business Activity,1,IDS,0
pblc_co_tender_ofr,Public Company Tender Offer,Business Activity,1,IDS,0
rsk_alert_rsl,Risk Alert Resolution,Business Activity,1,QLRR,0
rsk_rpt_upload_btch,Risk Report Upload Batch,Business Activity,1,QLRR,0
scr_co_admn_pny,Securities Company Administrative Penalty,Business Activity,1,SCMS,0
scr_co_rpt_vln,Securities Company Report Violation,Business Activity,1,SCMS,0
scr_prac_conduct_vln,Securities Practitioner Conduct Violation,Business Activity,1,NHNCK,0
scr_prac_license_ap_pcs_avy_log,Securities Practitioner License Application Processing Activity Log,Business Activity,1,NHNCK,0
scr_prac_license_ap_verf_st,Securities Practitioner License Application Verification Status,Business Activity,1,NHNCK,0
scr_prac_license_ctf_doc_avy_log,Securities Practitioner License Certificate Document Activity Log,Business Activity,1,NHNCK,0
scr_prac_license_ctf_doc_st_hist,Securities Practitioner License Certificate Document Status History,Business Activity,1,NHNCK,0
scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Enrollment,Business Activity,1,NHNCK,0
surveil_nfrc_case,Surveillance Enforcement Case,Business Activity,1,ThanhTra,0
surveil_nfrc_dcsn,Surveillance Enforcement Decision,Business Activity,1,ThanhTra,0
surveil_pny_ancm,Surveillance Penalty Announcement,Business Activity,1,ThanhTra,0
tax_vln_pny_dcsn,Tax Violation Penalty Decision,Business Activity,1,KNT,0
ccy,Currency,Common,1,ECAT,0
cdr_dt,Calendar Date,Common,1,ECAT,0
rsk_ind,Risk Indicator,Common,2,QLRR,0
rsk_ind_cgy,Risk Indicator Category,Common,1,QLRR,0
dscl_ancm,Disclosure Announcement,Communication,1,FIMS,0
dscl_notf,Disclosure Notification,Communication,1,IDS,0
mbr_prd_rpt,Member Periodic Report,Communication,2,"FMS, SCMS",22
rsk_alert_notf,Risk Alert Notification,Communication,1,QLRR,0
scr_ordr,Securities Order,Communication,2,OrderTrade,37
scr_prac_id_verf_rcrd,Securities Practitioner Identity Verification Record,Communication,1,NHNCK,0
scr_prac_qualf_exam_ases,Securities Practitioner Qualification Examination Assessment,Communication,1,NHNCK,0
scr_prac_qualf_exam_ases_rslt,Securities Practitioner Qualification Examination Assessment Result,Communication,1,NHNCK,0
dscl_form_defn,Disclosure Form Definition,Condition,1,IDS,0
dscl_notf_config,Disclosure Notification Config,Condition,1,IDS,0
fnc_rpt_clmn_tpl,Financial Report Column Template,Condition,1,IDS,0
fnc_rpt_ctlg,Financial Report Catalog,Condition,1,IDS,0
fnc_rpt_row_tpl,Financial Report Row Template,Condition,1,IDS,0
mbr_rtg_prd,Member Rating Period,Condition,1,FMS,0
mkt_surveil_anl_criterion,Market Surveillance Analysis Criterion,Condition,1,GSGD,0
mkt_surveil_anl_criterion_val,Market Surveillance Analysis Criterion Value,Condition,1,GSGD,0
mkt_surveil_cmpln_rpt_tpl,Market Surveillance Compliance Report Template,Condition,1,GSGD,0
pblc_co_frgn_own_lmt,Public Company Foreign Ownership Limit,Condition,1,IDS,0
prd_rpt_form,Periodic Report Form,Condition,1,IDS,0
prd_rpt_form_clmn_tpl,Periodic Report Form Column Template,Condition,1,IDS,0
prd_rpt_form_row_tpl,Periodic Report Form Row Template,Condition,1,IDS,0
rpt_prd,Reporting Period,Condition,2,"FIMS, FMS",5
rpt_subm_oblg,Report Submission Obligation,Condition,1,SCMS,0
rpt_subm_shd,Report Submission Schedule,Condition,1,SCMS,0
rsk_alert_config,Risk Alert Config,Condition,1,QLRR,0
rsk_ind_shd,Risk Indicator Schedule,Condition,1,QLRR,0
rtg_criterion,Rating Criterion,Condition,1,FMS,0
scr_prac_qualf_exam_ases_fee,Securities Practitioner Qualification Examination Assessment Fee,Condition,1,NHNCK,0
stk_cntl,Stock Control,Condition,1,IDS,0
abnormal_tdg_rpt,Abnormal Trading Report,Documentation,1,GSGD,0
abnormal_tdg_rpt_file_attch,Abnormal Trading Report File Attachment,Documentation,1,GSGD,0
aml_case_doc_attch,AML Case Document Attachment,Documentation,1,ThanhTra,0
ap_eform_fld_val,Atomic - Application Eform Field Value – source TTHC.BooleanFieldIndex,Documentation,12,TTHC,0
auditor_aprv,Auditor Approval,Documentation,1,IDS,0
audt_firm_aprv,Audit Firm Approval,Documentation,1,IDS,0
cpln_pcs_case_doc_attch,Complaint Processing Case Document Attachment,Documentation,1,ThanhTra,0
insp_anul_pln_doc_attch,Inspection Annual Plan Document Attachment,Documentation,1,ThanhTra,0
insp_case_doc_attch,Inspection Case Document Attachment,Documentation,1,ThanhTra,0
insp_dcsn_doc_attch,Inspection Decision Document Attachment,Documentation,1,ThanhTra,0
mbr_reg_rpt,Member Regulatory Report,Documentation,1,FIMS,0
mbr_rpt_ind_val,Member Report Indicator Value,Documentation,1,SCMS,0
mbr_rpt_val,Member Report Value,Documentation,1,FIMS,0
mkt_surveil_anl_rpt,Market Surveillance Analysis Report,Documentation,1,GSGD,0
mkt_surveil_case_doc_attch,Market Surveillance Case Document Attachment,Documentation,1,GSGD,0
mkt_surveil_cmpln_rpt_clmn_config,Market Surveillance Compliance Report Column Config,Documentation,1,GSGD,0
mkt_surveil_cmpln_rpt_instn,Market Surveillance Compliance Report Instance,Documentation,1,GSGD,0
mkt_surveil_cmpln_rpt_row_data,Market Surveillance Compliance Report Row Data,Documentation,1,GSGD,0
pblc_co_fnc_rpt_val,Public Company Financial Report Value,Documentation,1,IDS,0
pblc_co_rpt_subm,Public Company Report Submission,Documentation,1,IDS,0
rpt_impr_val,Report Import Value,Documentation,1,FMS,0
rpt_tpl,Report Template,Documentation,2,"FIMS, SCMS",10
rsk_alert_rsl_file,Risk Alert Resolution File,Documentation,1,QLRR,0
rsk_rpt_file,Risk Report File,Documentation,1,QLRR,0
rsk_rpt_tp,Risk Report Type,Documentation,1,QLRR,0
scr_ofrg_ap,Atomic - Securities Offering Application – source TTHC.ContentItemIndex,Documentation,1,TTHC,0
scr_prac_license_ap,Securities Practitioner License Application,Documentation,1,NHNCK,0
scr_prac_license_ap_doc_attch,Securities Practitioner License Application Document Attachment,Documentation,1,NHNCK,0
scr_prac_license_ap_ed_ctf_doc,Securities Practitioner License Application Education Certificate Document,Documentation,1,NHNCK,0
scr_prac_license_ctf_doc,Securities Practitioner License Certificate Document,Documentation,1,NHNCK,0
scr_prac_license_ctf_grp_doc,Securities Practitioner License Certificate Group Document,Documentation,1,NHNCK,0
scr_prac_license_ctf_grp_mbr,Securities Practitioner License Certificate Group Member,Documentation,1,NHNCK,0
scr_prac_license_dcsn_doc,Securities Practitioner License Decision Document,Documentation,1,NHNCK,0
scr_prac_org_emp_rpt,Securities Practitioner Organization Employment Report,Documentation,1,NHNCK,0
surveil_case_doc_attch,Surveillance Case Document Attachment,Documentation,1,ThanhTra,0
surveil_nfrc_dcsn_file_attch,Surveillance Enforcement Decision File Attachment,Documentation,1,ThanhTra,0
tax_dbt_nfrc_ordr,Tax Debt Enforcement Order,Documentation,1,KNT,0
tax_fnc_stmt,Tax Financial Statement,Documentation,1,KNT,0
tax_fnc_stmt_itm,Tax Financial Statement Item,Documentation,1,KNT,0
tax_inv_nfrc_ordr,Tax Invoice Enforcement Order,Documentation,1,KNT,0
tax_inv_nfrc_ordr_itm,Tax Invoice Enforcement Order Item,Documentation,1,KNT,0
list_co_corp_ev,Listed Company Corporate Event,Event,1,GSGD,0
rsk_alert,Risk Alert,Event,1,QLRR,0
rsk_alert_hist,Risk Alert History,Event,1,QLRR,0
scr_prac_prof_trn_clss,Securities Practitioner Professional Training Class,Event,1,NHNCK,0
ac_ivsr_grp,Account Investor Group,Group,1,GSGD,0
ac_ivsr_grp_mbr,Account Investor Group Member,Group,1,GSGD,0
indx_constituent_snpst,Index Constituent Snapshot,Group,1,MDDS,0
mkt_indx_snpst,Market Index Snapshot,Group,1,MDDS,0
mkt_snpst,Market Snapshot,Group,1,MDDS,0
scr_watchlist_grp,Securities Watchlist Group,Group,1,GSGD,0
audt_firm,Audit Firm,Involved Party,2,"IDS, SCMS",7
audt_firm_lgl_rprs,Audit Firm Legal Representative,Involved Party,1,IDS,0
audt_firm_prac,Audit Firm Practitioner,Involved Party,1,SCMS,0
cstd_bnk,Custodian Bank,Involved Party,2,"FIMS, FMS",6
depst_cntr,Depository Center,Involved Party,1,FIMS,0
dscl_rprs,Disclosure Representative,Involved Party,1,FIMS,0
dscl_rprs_key_psn,Disclosure Representative Key Person,Involved Party,1,FIMS,0
dscr_ivsm_ivsr,Discretionary Investment Investor,Involved Party,1,FMS,0
fnd_dstr_agnt,Fund Distribution Agent,Involved Party,1,FMS,0
fnd_dstr_agnt_ou,Fund Distribution Agent Organization Unit,Involved Party,1,FMS,0
fnd_mgt_co,Fund Management Company,Involved Party,3,"FIMS, FMS, ThanhTra",22
fnd_mgt_co_key_psn,Fund Management Company Key Person,Involved Party,1,FMS,0
fnd_mgt_co_ou,Fund Management Company Organization Unit,Involved Party,2,"FIMS, FMS",14
frgn_fnd_mgt_ou,Foreign Fund Management Organization Unit,Involved Party,1,FMS,0
frgn_fnd_mgt_ou_stff,Foreign Fund Management Organization Unit Staff,Involved Party,1,FMS,0
frgn_ivsr,Foreign Investor,Involved Party,1,FIMS,0
frgn_rprs_offc,Foreign Representative Office,Involved Party,1,SCMS,0
hrsk_taxpayer_ases_snpst,High Risk Taxpayer Assessment Snapshot,Involved Party,1,KNT,0
insp_ofcr,Inspection Officer,Involved Party,1,ThanhTra,0
insp_sbj_othr_p,Inspection Subject Other Party,Involved Party,1,ThanhTra,0
ip_alt_identn,Involved Party Alternative Identification,Involved Party,28,"FIMS, FMS, IDS, KNT, NHNCK, SCMS",322
ivsm_fnd,Investment Fund,Involved Party,1,FMS,0
ivsm_fnd_ivsr_mbr,Investment Fund Investor Membership,Involved Party,1,FMS,0
ivsm_fnd_rprs_board_mbr,Investment Fund Representative Board Member,Involved Party,1,FMS,0
mbr_rtg,Member Rating,Involved Party,1,FMS,0
mkt_surveil_sspcs_ac,Market Surveillance Suspicious Account,Involved Party,1,GSGD,0
mkt_surveil_sspcs_ac_grp,Market Surveillance Suspicious Account Group,Involved Party,1,GSGD,0
pblc_co,Public Company,Involved Party,3,"IDS, ThanhTra",9
pblc_co_lgl_rprs,Public Company Legal Representative,Involved Party,1,IDS,0
pblc_co_rel_ent,Public Company Related Entity,Involved Party,1,IDS,0
reg_ahr_ou,Regulatory Authority Organization Unit,Involved Party,2,NHNCK,4
rgst_taxpayer,Registered Taxpayer,Involved Party,1,KNT,0
scr_co,Securities Company,Involved Party,3,"FIMS, SCMS, ThanhTra",21
scr_co_ou,Securities Company Organization Unit,Involved Party,3,SCMS,11
scr_co_shrhlr,Securities Company Shareholder,Involved Party,1,SCMS,0
scr_co_shrhlr_rel_p,Securities Company Shareholder Related Party,Involved Party,1,SCMS,0
scr_co_shrhlr_rprs,Securities Company Shareholder Representative,Involved Party,1,SCMS,0
scr_co_snr_psn,Securities Company Senior Personnel,Involved Party,1,SCMS,0
scr_co_svc_rgst,Securities Company Service Registration,Involved Party,1,SCMS,0
scr_org_refr,Securities Organization Reference,Involved Party,1,NHNCK,0
scr_prac,Securities Practitioner,Involved Party,2,"NHNCK, SCMS",9
scr_prac_rel_p,Securities Practitioner Related Party,Involved Party,1,NHNCK,0
stk_exg,Stock Exchange,Involved Party,1,FIMS,0
stk_hldr,Stock Holder,Involved Party,1,IDS,0
stk_hldr_rltnp,Stock Holder Relationship,Involved Party,1,IDS,0
taxpayer_rprs,Taxpayer Representative,Involved Party,1,KNT,0
geo,Geographic Area,Location,10,"ECAT, FIMS, SCMS",27
ip_elc_adr,Involved Party Electronic Address,Location,33,"FIMS, FMS, IDS, KNT, NHNCK, SCMS, ThanhTra",630
ip_pst_adr,Involved Party Postal Address,Location,33,"FIMS, FMS, IDS, KNT, NHNCK, SCMS, ThanhTra",277
corp_bond_tdg_snpst,Corporate Bond Trading Snapshot,Product,1,MDDS,0
scr,Security,Product,1,ECAT,0
scr_tdg_snpst,Security Trading Snapshot,Product,1,MDDS,0
corp_bond_mtch_log,Corporate Bond Match Log,Transaction,1,MDDS,0
fnd_mgt_co_shr_tfr,Fund Management Company Share Transfer,Transaction,1,FMS,0
ivsm_fnd_ctf_tfr,Investment Fund Certificate Transfer,Transaction,1,FMS,0
pblc_co_trsr_stk_avy,Public Company Treasury Stock Activity,Transaction,1,IDS,0
rsk_ind_val,Risk Indicator Value,Transaction,1,QLRR,0
rsk_ind_val_chg,Risk Indicator Value Change,Transaction,1,QLRR,0
scr_co_shrhlr_tfr,Securities Company Shareholder Transfer,Transaction,1,SCMS,0
scr_mtch_log,Security Match Log,Transaction,1,MDDS,0
scr_prac_license_ap_fee,Securities Practitioner License Application Fee,Transaction,1,NHNCK,0
scr_trd,Securities Trade,Transaction,2,OrderTrade,17
