file,entity,comment_old,comment_new
dm_atm_mbr_prd_rpt_st_log-FMS.RPTMBHS.yaml,Member Periodic Report Status Log,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Changed By Officer Id. Classification: Source System Code = 'FMS_TLProfiles'.,Lookup pair: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_code. Pair with changed_by_ofcr_id. Classification: Source System Code = 'FMS_TLProfiles'.
dm_atm_rtg_criterion-FMS.RNKFACTOR.yaml,Rating Criterion,FK target: Rating Criterion.Rating Criterion Id. Null = nhân tố gốc. Classification: Source System Code = 'FMS_RNKFACTOR'.,FK target: rtg_criterion.rtg_criterion_id. Null = nhân tố gốc. Classification: Source System Code = 'FMS_RNKFACTOR'.
dm_atm_cstd_bnk-FMS.BANKMONI.yaml,Custodian Bank,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. ID quốc gia lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_cstd_bnk-FMS.BANKMONI.yaml,Custodian Bank,Lookup pair: Geographic Area.Geographic Area Code. Pair with Country of Registration Id. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with cty_of_rgst_id. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_fnd_mgt_co-FMS.SECURITIES.yaml,Fund Management Company,FK target: Geographic Area.Geographic Area Id. ID quốc gia lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. ID quốc gia lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_fnd_mgt_co-FMS.SECURITIES.yaml,Fund Management Company,Lookup pair: Geographic Area.Geographic Area Code. Pair with Country of Registration Id. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with cty_of_rgst_id. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_fnd_mgt_co_ou-FMS.BRANCHES.yaml,Fund Management Company Organization Unit,FK target: Fund Management Company Organization Unit.Fund Management Company Organization Unit Id. BrIdowner là Id nguồn — ETL cần resolve sang surrogate. Classification: Source System Code = 'FMS_BRANCHES'.,FK target: fnd_mgt_co_ou.fnd_mgt_co_ou_id. BrIdowner là Id nguồn — ETL cần resolve sang surrogate. Classification: Source System Code = 'FMS_BRANCHES'.
dm_atm_fnd_mgt_co_ou-FMS.BRANCHES.yaml,Fund Management Company Organization Unit,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Legal Representative Id. Classification: Source System Code = 'FMS_TLProfiles'.,Lookup pair: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_code. Pair with lgl_rprs_id. Classification: Source System Code = 'FMS_TLProfiles'.
dm_atm_fnd_mgt_co_ou-FMS.BRANCHES.yaml,Fund Management Company Organization Unit,FK target: Geographic Area.Geographic Area Id. Quốc gia công ty mẹ lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Quốc gia công ty mẹ lấy từ bảng NATIONAL. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_fnd_mgt_co_ou-FMS.BRANCHES.yaml,Fund Management Company Organization Unit,Lookup pair: Geographic Area.Geographic Area Code. Pair with Country of Registration Id. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with cty_of_rgst_id. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_alt_identn-FMS.BRANCHES.yaml,Involved Party Alternative Identification,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BRANCHES'.,Lookup pair: fnd_mgt_co_ou.fnd_mgt_co_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_BRANCHES'.
dm_atm_ip_alt_identn-FMS.FORBRCH.yaml,Involved Party Alternative Identification,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_ip_alt_identn-FMS.FUNDS.yaml,Involved Party Alternative Identification,Lookup pair: Investment Fund.Investment Fund Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ip_id. Classification: Source System Code = 'FMS_FUNDS'.
dm_atm_ip_alt_identn-FMS.INVES.yaml,Involved Party Alternative Identification,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_INVES'.,Lookup pair: dscr_ivsm_ivsr.dscr_ivsm_ivsr_code. Pair with ip_id. Classification: Source System Code = 'FMS_INVES'.
dm_atm_ip_alt_identn-FMS.SECURITIES.yaml,Involved Party Alternative Identification,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_alt_identn-FMS.TLProfiles.yaml,Involved Party Alternative Identification,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_TLProfiles'.,Lookup pair: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_code. Pair with ip_id. Classification: Source System Code = 'FMS_TLProfiles'.
dm_atm_ip_elc_adr-FMS.BANKMONI.yaml,Involved Party Electronic Address,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BANKMONI'.,Lookup pair: cstd_bnk.cstd_bnk_code. Pair with ip_id. Classification: Source System Code = 'FMS_BANKMONI'.
dm_atm_ip_elc_adr-FMS.BANKMONI.yaml,Involved Party Electronic Address,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BANKMONI'.,Lookup pair: cstd_bnk.cstd_bnk_code. Pair with ip_id. Classification: Source System Code = 'FMS_BANKMONI'.
dm_atm_ip_elc_adr-FMS.BRANCHES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BRANCHES'.,Lookup pair: fnd_mgt_co_ou.fnd_mgt_co_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_BRANCHES'.
dm_atm_ip_elc_adr-FMS.BRANCHES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BRANCHES'.,Lookup pair: fnd_mgt_co_ou.fnd_mgt_co_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_BRANCHES'.
dm_atm_ip_elc_adr-FMS.FORBRCH.yaml,Involved Party Electronic Address,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_ip_elc_adr-FMS.FORBRCH.yaml,Involved Party Electronic Address,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_ip_elc_adr-FMS.SECURITIES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_elc_adr-FMS.SECURITIES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_elc_adr-FMS.SECURITIES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_elc_adr-FMS.SECURITIES.yaml,Involved Party Electronic Address,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_pst_adr-FMS.AGENCIES.yaml,Involved Party Postal Address,Lookup pair: Fund Distribution Agent.Fund Distribution Agent Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_AGENCIES'.,Lookup pair: fnd_dstr_agnt.fnd_dstr_agnt_code. Pair with ip_id. Classification: Source System Code = 'FMS_AGENCIES'.
