attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Involved Party Id,FK đến Registered Taxpayer,Surrogate Key,false,false,draft,DCST.THONG_TIN_DK_THUE.ID,FK target: Registered Taxpayer.Registered Taxpayer Id. Shared entity — không có PK surrogate riêng.,,
Involved Party Code,Mã NNT,Text,false,false,draft,DCST.THONG_TIN_DK_THUE.ID,Lookup pair: Registered Taxpayer.Registered Taxpayer Code. Pair with Involved Party Id.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=DCST.THONG_TIN_DK_THUE,
Electronic Address Type Code,Loại kênh liên lạc — điện thoại trụ sở.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=PHONE_HEAD_OFFICE,
Electronic Address Value,Số điện thoại trụ sở chính,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.DIEN_THOAI,,IP_ELEC_ADDR_TYPE=PHONE_HEAD_OFFICE,
Electronic Address Type Code,Loại kênh liên lạc — fax trụ sở.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=FAX_HEAD_OFFICE,
Electronic Address Value,Fax trụ sở chính,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.FAX,,IP_ELEC_ADDR_TYPE=FAX_HEAD_OFFICE,
Electronic Address Type Code,Loại kênh liên lạc — điện thoại kinh doanh.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=PHONE_BUSINESS,
Electronic Address Value,Số điện thoại kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.DIEN_THOAI_KD,,IP_ELEC_ADDR_TYPE=PHONE_BUSINESS,
Electronic Address Type Code,Loại kênh liên lạc — email kinh doanh.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=EMAIL_BUSINESS,
Electronic Address Value,Email kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.EMAIL_KD,,IP_ELEC_ADDR_TYPE=EMAIL_BUSINESS,
Electronic Address Type Code,Loại kênh liên lạc — fax kinh doanh.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=FAX_BUSINESS,
Electronic Address Value,Fax kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.FAX_KD,,IP_ELEC_ADDR_TYPE=FAX_BUSINESS,
