attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Involved Party Id,FK đến Registered Taxpayer,Surrogate Key,false,false,draft,DCST.THONG_TIN_DK_THUE.ID,FK target: Registered Taxpayer.Registered Taxpayer Id. Shared entity — không có PK surrogate riêng.,,
Involved Party Code,Mã NNT,Text,false,false,draft,DCST.THONG_TIN_DK_THUE.ID,FK target: Registered Taxpayer.Registered Taxpayer Code. Pair with Involved Party Id.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=DCST.THONG_TIN_DK_THUE
Address Type Code,Loại địa chỉ — trụ sở chính.,Classification Value,false,false,draft,,,IP_ADDR_TYPE=HEAD_OFFICE
Address Value,Địa chỉ trụ sở chính,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.DIA_CHI_TSC,,IP_ADDR_TYPE=HEAD_OFFICE,
Address Type Code,Loại địa chỉ — kinh doanh.,Classification Value,false,false,draft,,,IP_ADDR_TYPE=BUSINESS
Address Value,Mô tả địa chỉ kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MOTA_DIACHI_KD,,IP_ADDR_TYPE=BUSINESS,
Province Code,Mã tỉnh kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MA_TINH_KD,,IP_ADDR_TYPE=BUSINESS,
Province Name,Tên tỉnh kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.TEN_TINH_KD,,IP_ADDR_TYPE=BUSINESS,
District Code,Mã huyện kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MA_HUYEN_KD,,IP_ADDR_TYPE=BUSINESS,
District Name,Tên huyện kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.TEN_HUYEN_KD,,IP_ADDR_TYPE=BUSINESS,
Ward Code,Mã xã kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.MA_XA_KD,,IP_ADDR_TYPE=BUSINESS,
Ward Name,Tên xã kinh doanh,Text,true,false,draft,DCST.THONG_TIN_DK_THUE.TEN_XA,,IP_ADDR_TYPE=BUSINESS,
