attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Application Fee Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Transaction"" (Event). Phí thanh toán liên quan đến hồ sơ.",,
License Application Fee Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.ApplicationFees.Id,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.ApplicationFees,
License Application Id,FK đến hồ sơ,Surrogate Key,false,false,draft,NHNCK.qlnhn.ApplicationFees.ApplicationId,FK target: Securities Practitioner License Application.License Application Id.,,
License Application Code,Mã hồ sơ,Text,false,false,draft,NHNCK.qlnhn.ApplicationFees.ApplicationId,FK target: Securities Practitioner License Application.License Application Code. Pair with License Application Id.,,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,true,false,draft,NHNCK.qlnhn.ApplicationFees.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,true,false,draft,NHNCK.qlnhn.ApplicationFees.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Fee Type Code,Loại phí,Classification Value,true,false,draft,NHNCK.qlnhn.ApplicationFees.FeeType,Scheme: FEE_TYPE.,,
Fee Amount,Số tiền phí (VNĐ),Currency Amount,true,false,draft,NHNCK.qlnhn.ApplicationFees.Fee,,,
Fee Content,Nội dung phí,Text,true,false,draft,NHNCK.qlnhn.ApplicationFees.Content,,,
Fee Note,Ghi chú,Text,true,false,draft,NHNCK.qlnhn.ApplicationFees.Note,,,
Payment Status Code,Trạng thái thanh toán,Classification Value,true,false,draft,NHNCK.qlnhn.ApplicationFees.Status,Scheme: PAYMENT_STATUS.,,
Request Date,Ngày yêu cầu thanh toán,Date,true,false,draft,NHNCK.qlnhn.ApplicationFees.RequestDate,,,
Payment Date,Ngày thanh toán,Date,true,false,draft,NHNCK.qlnhn.ApplicationFees.PaymentDate,,,
Expiry Date,Ngày hết hạn thanh toán,Date,true,false,draft,NHNCK.qlnhn.ApplicationFees.ExpiryDate,,,
Created By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.qlnhn.ApplicationFees.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.qlnhn.ApplicationFees.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.ApplicationFees.CreatedAt,,,
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.ApplicationFees.UpdatedAt,,,
