attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Certificate Group Member Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. Junction: Certificate ↔ Group.,,
License Certificate Group Member Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.CertificateRecordGroupMembers.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.CertificateRecordGroupMembers,
License Certificate Group Document Id,FK đến nhóm chứng chỉ,Surrogate Key,false,false,draft,NHNCK.CertificateRecordGroupMembers.CertificateRecordGroupId,FK target: Securities Practitioner License Certificate Group Document.License Certificate Group Document Id.,,
License Certificate Group Document Code,Mã nhóm,Text,false,false,draft,NHNCK.CertificateRecordGroupMembers.CertificateRecordGroupId,FK target: Securities Practitioner License Certificate Group Document.License Certificate Group Document Code. Pair with License Certificate Group Document Id.,,
License Certificate Document Id,FK đến chứng chỉ,Surrogate Key,false,false,draft,NHNCK.CertificateRecordGroupMembers.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.,,
License Certificate Document Code,Mã chứng chỉ,Text,false,false,draft,NHNCK.CertificateRecordGroupMembers.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.,,
Order Index,Thứ tự sắp xếp trong nhóm,Small Counter,true,false,draft,NHNCK.CertificateRecordGroupMembers.OrderIndex,,,
Is Reissue Indicator,Cờ cho phép cấp lại,Boolean,true,false,draft,NHNCK.CertificateRecordGroupMembers.IsReissue,,,
Revocation Reason,Lý do thu hồi/hủy,Text,true,false,draft,NHNCK.CertificateRecordGroupMembers.RevocationReason,,,
Member Status Code,Trạng thái thành viên nhóm,Classification Value,true,false,draft,NHNCK.CertificateRecordGroupMembers.Status,Scheme: GROUP_MEMBER_STATUS.,,
