attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
License Certificate Document Activity Log Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. ETL Pattern — activity log.,,
License Certificate Document Activity Log Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.CertificateRecordLogs.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.CertificateRecordLogs,
License Certificate Document Id,FK đến chứng chỉ,Surrogate Key,false,false,draft,NHNCK.CertificateRecordLogs.CertificateRecordId,FK target: Securities Practitioner License Certificate Document.License Certificate Document Id.,,
License Certificate Document Code,Mã chứng chỉ,Text,false,false,draft,NHNCK.CertificateRecordLogs.CertificateRecordId,Lookup pair: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.,,
Activity Type Code,Loại hành động,Classification Value,true,false,draft,NHNCK.CertificateRecordLogs.ActionType,Scheme: CERTIFICATE_ACTIVITY_TYPE.,,
Certificate Number,Số chứng chỉ tại thời điểm ghi log,Text,true,false,draft,NHNCK.CertificateRecordLogs.CertificateNumber,Snapshot — số chứng chỉ tại thời điểm hoạt động.,,
License Decision Document Id,FK đến quyết định,Surrogate Key,true,false,draft,NHNCK.CertificateRecordLogs.DecisionId,FK target: Securities Practitioner License Decision Document.License Decision Document Id.,,
License Decision Document Code,Mã quyết định,Text,true,false,draft,NHNCK.CertificateRecordLogs.DecisionId,Lookup pair: Securities Practitioner License Decision Document.License Decision Document Code. Pair with License Decision Document Id.,,
Issue Date,Ngày quyết định,Date,true,false,draft,NHNCK.CertificateRecordLogs.IssueDate,Ngày ban hành quyết định liên quan.,,
Activity Note,Ghi chú hoạt động,Text,true,false,draft,NHNCK.CertificateRecordLogs.Note,,,
Processed By Officer Id,FK đến người xử lý,Surrogate Key,true,false,draft,NHNCK.CertificateRecordLogs.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Processed By Officer Code,Mã người xử lý,Text,true,false,draft,NHNCK.CertificateRecordLogs.CreatedBy,Lookup pair: Regulatory Authority Officer.Officer Code. Pair with Processed By Officer Id.,,
