attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Examination Assessment Result Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Assessment"" (Communication). Kết quả thi của thí sinh.",,
Examination Assessment Result Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.ExamDetails.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.ExamDetails,
Examination Assessment Id,FK đến đợt thi,Surrogate Key,false,false,draft,NHNCK.ExamDetails.ExamSessionId,FK target: Securities Practitioner Qualification Examination Assessment.Examination Assessment Id.,,
Examination Assessment Code,Mã đợt thi,Text,false,false,draft,NHNCK.ExamDetails.ExamSessionId,FK target: Securities Practitioner Qualification Examination Assessment.Examination Assessment Code. Pair with Examination Assessment Id.,,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.ExamDetails.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.ExamDetails.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Certificate Type Code,Mã loại chứng chỉ dự thi,Classification Value,true,false,draft,NHNCK.ExamDetails.CertificateId,Scheme: CERTIFICATE_TYPE.,,
License Application Id,FK đến hồ sơ,Surrogate Key,true,false,draft,NHNCK.ExamDetails.ApplicationId,FK target: Securities Practitioner License Application.License Application Id.,,
License Application Code,Mã hồ sơ,Text,true,false,draft,NHNCK.ExamDetails.ApplicationId,FK target: Securities Practitioner License Application.License Application Code. Pair with License Application Id.,,
Sequence Number,Số thứ tự trong đợt thi,Small Counter,true,false,draft,NHNCK.ExamDetails.SequenceNumber,,,
Exam Number,Số báo danh,Text,true,false,draft,NHNCK.ExamDetails.ExamNumber,,,
Law Score,Điểm pháp luật,Text,true,false,draft,NHNCK.ExamDetails.LawScore,"Text vì có thể dạng text (VD: ""Vắng"", ""Miễn thi"").",,
Law Result Indicator,"Kết quả luật (1: Đạt, 0: Không đạt)",Boolean,true,false,draft,NHNCK.ExamDetails.LawResult,,,
Specialization Score,Điểm chuyên môn,Text,true,false,draft,NHNCK.ExamDetails.SpecializationScore,Tương tự Law Score.,,
Specialization Result Indicator,"Kết quả chuyên môn (1: Đạt, 0: Không đạt)",Boolean,true,false,draft,NHNCK.ExamDetails.SpecializationResult,,,
Examination Result Code,"Kết quả tổng (1: Đạt, 0: Không đạt)",Classification Value,true,false,draft,NHNCK.ExamDetails.Result,Scheme: EXAMINATION_RESULT.,,
Examination Note,Ghi chú,Text,true,false,draft,NHNCK.ExamDetails.Note,,,
Created By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.ExamDetails.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.ExamDetails.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.ExamDetails.CreatedAt,,,
