attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Professional Training Class Enrollment Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,"PK surrogate. BCV: ""Business Activity"" — đăng ký học viên + kết quả.",,
Professional Training Class Enrollment Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.SpecializationCourseDetails.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=NHNCK.SpecializationCourseDetails,
Professional Training Class Id,FK đến khóa học,Surrogate Key,false,false,draft,NHNCK.SpecializationCourseDetails.SpecializationCourseId,FK target: Securities Practitioner Professional Training Class.Professional Training Class Id.,,
Professional Training Class Code,Mã khóa học,Text,false,false,draft,NHNCK.SpecializationCourseDetails.SpecializationCourseId,FK target: Securities Practitioner Professional Training Class.Professional Training Class Code. Pair with Professional Training Class Id.,,
Practitioner Id,FK đến Securities Practitioner,Surrogate Key,false,false,draft,NHNCK.SpecializationCourseDetails.ProfessionalId,FK target: Securities Practitioner.Practitioner Id.,,
Practitioner Code,Mã người hành nghề,Text,false,false,draft,NHNCK.SpecializationCourseDetails.ProfessionalId,FK target: Securities Practitioner.Practitioner Code. Pair with Practitioner Id.,,
Full Name,Họ và tên học viên (snapshot),Text,true,false,draft,NHNCK.SpecializationCourseDetails.Fullname,Denormalized snapshot tại thời điểm đăng ký.,,
Date Of Birth,Ngày sinh (snapshot),Date,true,false,draft,NHNCK.SpecializationCourseDetails.BirthDate,Denormalized snapshot.,,
Place Of Birth,Nơi sinh (snapshot),Text,true,false,draft,NHNCK.SpecializationCourseDetails.PlaceOfDate,Denormalized snapshot.,,
Identification Number,Số định danh (snapshot),Text,true,false,draft,NHNCK.SpecializationCourseDetails.IdentityNumber,Denormalized snapshot.,,
Exam Number,Số dự thi,Text,true,false,draft,NHNCK.SpecializationCourseDetails.ExamNumber,,,
Enrollment Description,Mô tả,Text,true,false,draft,NHNCK.SpecializationCourseDetails.Description,,,
Assessment Score,Điểm thi,Text,true,false,draft,NHNCK.SpecializationCourseDetails.ExamScore,"Text vì có thể dạng text (VD: ""Vắng"").",,
Assessment Result Code,"Kết quả thi (1: Đạt, 0: Không đạt)",Classification Value,true,false,draft,NHNCK.SpecializationCourseDetails.Result,Scheme: TRAINING_RESULT.,,
Enrollment Note,Ghi chú,Text,true,false,draft,NHNCK.SpecializationCourseDetails.Note,,,
Enrollment Status Code,"Trạng thái (0: Chờ thẩm định, 1: Xác nhận, 2: Yêu cầu nộp lại, 3: Từ chối)",Classification Value,true,false,draft,NHNCK.SpecializationCourseDetails.Status,Scheme: ENROLLMENT_STATUS.,,
Assignee Officer Id,FK đến cán bộ xử lý,Surrogate Key,true,false,draft,NHNCK.SpecializationCourseDetails.AssigneeId,FK target: Regulatory Authority Officer.Officer Id.,,
Assignee Officer Code,Mã cán bộ xử lý,Text,true,false,draft,NHNCK.SpecializationCourseDetails.AssigneeId,FK target: Regulatory Authority Officer.Officer Code. Pair with Assignee Officer Id.,,
Created By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.SpecializationCourseDetails.CreatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Created By Officer Code,Mã người tạo,Text,true,false,draft,NHNCK.SpecializationCourseDetails.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.,,
Updated By Officer Id,FK đến Officer,Surrogate Key,true,false,draft,NHNCK.SpecializationCourseDetails.UpdatedBy,FK target: Regulatory Authority Officer.Officer Id.,,
Updated By Officer Code,Mã người cập nhật,Text,true,false,draft,NHNCK.SpecializationCourseDetails.UpdatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Updated By Officer Id.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.SpecializationCourseDetails.CreatedAt,,,
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.SpecializationCourseDetails.UpdatedAt,,,
