attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Officer Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. Cán bộ/chuyên viên UBCKNN sử dụng hệ thống.,,
Officer Code,Mã định danh (tự động tăng). BK,Text,false,false,draft,NHNCK.qlnhn.Users.Id,BK chính.,,
Source System Code,Mã nguồn dữ liệu. Giá trị: NHNCK.Users,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,,
Username,Tên đăng nhập,Text,true,false,draft,NHNCK.qlnhn.Users.Username,Không lưu PasswordHash — loại bỏ thông tin bảo mật.,,
Full Name,Họ và tên,Text,true,false,draft,NHNCK.qlnhn.Users.FullName,"BCV: ""Full Name"" (Involved Party).",,
Email,Email,Text,true,false,draft,NHNCK.qlnhn.Users.Email,,,
Phone Number,Điện thoại,Text,true,false,draft,NHNCK.qlnhn.Users.Phone,,,
Individual Gender Code,Giới tính,Classification Value,true,false,draft,NHNCK.qlnhn.Users.Gender,Scheme: INDIVIDUAL_GENDER.,,
Organization Unit Id,FK đến Regulatory Authority Organization Unit — đơn vị,Surrogate Key,true,false,draft,NHNCK.qlnhn.Users.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Id.,,
Organization Unit Code,Mã đơn vị,Text,true,false,draft,NHNCK.qlnhn.Users.UnitId,FK target: Regulatory Authority Organization Unit.Organization Unit Code. Pair with Organization Unit Id.,,
Department Organization Unit Id,FK đến Regulatory Authority Organization Unit — phòng ban,Surrogate Key,true,false,draft,NHNCK.qlnhn.Users.DepartmentId,"FK target: Regulatory Authority Organization Unit.Organization Unit Id. FK thứ 2 đến cùng entity — phân biệt bằng prefix ""Department"".",,
Department Organization Unit Code,Mã phòng ban,Text,true,false,draft,NHNCK.qlnhn.Users.DepartmentId,FK target: Regulatory Authority Organization Unit.Organization Unit Code. Pair with Department Organization Unit Id.,,
Position Code,Chức vụ,Classification Value,true,false,draft,NHNCK.qlnhn.Users.PositionId,Scheme: POSITION.,,
Officer Status Code,Trạng thái,Classification Value,true,false,draft,NHNCK.qlnhn.Users.Status,Scheme: OFFICER_STATUS.,,
Created Timestamp,Ngày tạo,Timestamp,true,false,draft,NHNCK.qlnhn.Users.CreatedAt,,,
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.Users.UpdatedAt,,,
